"","auth","piece","line"
"0","sakaguchi","sobomu.txt","蒼茫夢"
"1","sakaguchi","sobomu.txt","坂口安吾"
"2","sakaguchi","sobomu.txt",""
"3","sakaguchi","sobomu.txt","-------------------------------------------------------"
"4","sakaguchi","sobomu.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","sobomu.txt",""
"6","sakaguchi","sobomu.txt","《》：ルビ"
"7","sakaguchi","sobomu.txt","（例）瞶めて"
"8","sakaguchi","sobomu.txt",""
"9","sakaguchi","sobomu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","sakaguchi","sobomu.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"11","sakaguchi","sobomu.txt","（例）※"
"12","sakaguchi","sobomu.txt",""
"13","sakaguchi","sobomu.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"14","sakaguchi","sobomu.txt","（例）バタ／＼"
"15","sakaguchi","sobomu.txt","-------------------------------------------------------"
"16","sakaguchi","sobomu.txt",""
"17","sakaguchi","sobomu.txt","一"
"18","sakaguchi","sobomu.txt",""
"19","sakaguchi","sobomu.txt","冬の明方のことだつた。"
"20","sakaguchi","sobomu.txt","夜はまだ明けない。"
"21","sakaguchi","sobomu.txt","然し夜明けが近づかうとしてゐるのだ。"
"22","sakaguchi","sobomu.txt","夜の不気味な妖しさが衰へて、巨大な虚しい悲しさが闇の全てに漲りはじめてゐる。"
"23","sakaguchi","sobomu.txt","草吉はそのとき自然に目を覚した。"
"24","sakaguchi","sobomu.txt",""
"25","sakaguchi","sobomu.txt","室内も窓の彼方も一色の深い暗闇ではあつたが、重量の加はりはじめた寒気と、胸苦しい悲しみの気配によつて、もはや夜明けに近いことを推定することができた。"
"26","sakaguchi","sobomu.txt","四時半前後であらうと思つた。"
"27","sakaguchi","sobomu.txt",""
"28","sakaguchi","sobomu.txt","草吉の日毎の目覚めは衰亡の中へ滑りこむやうに展らかれてくるので、殆んど愉しいものではなかつた。"
"29","sakaguchi","sobomu.txt","それに目覚めた数分のあひだ、奇妙に不吉なことばかり頭に浮んでくるのであつた。"
"30","sakaguchi","sobomu.txt","ひとつには理性の失はれた時間のせゐであつたらうか。"
"31","sakaguchi","sobomu.txt","たとへば肉体を腐せてゆく悪疾の気色の悪い映像であつた。"
"32","sakaguchi","sobomu.txt","病魔は肉体を黒色にむしくひ、汚水のたまつた脳漿の中を蛆虫のやうに蠢めきまはつてゆくのである。"
"33","sakaguchi","sobomu.txt","目覚めにそれを瞶めてゐる数分のあひだ、然し草吉の心に湧き起るものは不快でもなければ恐怖でもなかつた。"
"34","sakaguchi","sobomu.txt","全てがひとえに静寂であつた。"
"35","sakaguchi","sobomu.txt","それを包む全ての心が無のやうであつた。"
"36","sakaguchi","sobomu.txt","生あるものは不吉な映像それのみであり、それは遥かな虚無の中に生れ出で、虚無を観客にちらめきうつり、さうして冬空の星の如くにそれ自らも凍りついてゐるのであつた。"
"37","sakaguchi","sobomu.txt","全てが凍るといふ冷静な感じであり、草吉の苦痛も悲しみも、在るといへばそれは確かに凍りついて在るのであつた。"
"38","sakaguchi","sobomu.txt",""
"39","sakaguchi","sobomu.txt","その悪疾は、今は草吉の妻であり、以前は港の売春婦であつた忍が彼にうつしたものであつた。"
"40","sakaguchi","sobomu.txt","夫にうつした悪疾のことを思ひだすとき、世間なみの感情を忘れた冷涙の女が、顔をうつむけて涙を流す。"
"41","sakaguchi","sobomu.txt",""
"42","sakaguchi","sobomu.txt","とりわけ不快とよぶほどの映像ではなかつたのだが、然し草吉はそれらのものを考へまいとして、目覚めた瞬間の心の中で美くしい風景を思ひださうとすることもあつた。"
"43","sakaguchi","sobomu.txt","ひろい海原もみえるのだつた。"
"44","sakaguchi","sobomu.txt","はるかな山岳も映るのだ。"
"45","sakaguchi","sobomu.txt","雲も、曠野も、異国の街も、押しつけがましく入れ換り立ち換りに現れてくるが、悲しさを脱ぎすてたやうな気持にはならない。"
"46","sakaguchi","sobomu.txt",""
"47","sakaguchi","sobomu.txt","その未明おのづと草吉が目を覚して暫くの時がすぎたとき、ほのかな一ときれの白が空の奥手に浮かびでたやうな気配がした。"
"48","sakaguchi","sobomu.txt","気配はしたがそれは草吉の気のせゐであつた。"
"49","sakaguchi","sobomu.txt","実際は明るくなつてゐなかつた。"
"50","sakaguchi","sobomu.txt","然し夜明けが近づいたと彼は改めて明確に意識したのだ。"
"51","sakaguchi","sobomu.txt","さうして起きて机に向はうと考へた。"
"52","sakaguchi","sobomu.txt","そこで起きる動作にとりかからうとする身構えの途中で、彼の意識は始めて藪小路当太郎の存在にひつかかつたのであつた。"
"53","sakaguchi","sobomu.txt","当太郎はゆふべから草吉の家へ遊びにきて、彼の隣席にねむつてゐる筈であつた。"
"54","sakaguchi","sobomu.txt",""
"55","sakaguchi","sobomu.txt","客のねむりを妨げはしないかといふ思ひつきから、草吉は立ち上る姿勢の途中で電燈をつけることに躊躇を覚え、そこで暫く身動きを失つた。"
"56","sakaguchi","sobomu.txt","ところが立ち上つてしまつたときには、投げやりなくらゐアッサリと電燈をつけてしまつてゐた。"
"57","sakaguchi","sobomu.txt","なるほど、当太郎を思ひだすことが遅れたのは、その場所に音がなかつたからであつた。"
"58","sakaguchi","sobomu.txt","見れば当太郎はゐないのだ。"
"59","sakaguchi","sobomu.txt","寝床はもぬけのからであつた。"
"60","sakaguchi","sobomu.txt",""
"61","sakaguchi","sobomu.txt","藪小路当太郎は忍が港の曖昧屋でカクテルシェーカを振つてゐた頃、繁々とその店を訪れた常連の一人であつた。"
"62","sakaguchi","sobomu.txt","草吉も亦さうだつた。"
"63","sakaguchi","sobomu.txt","二人はその店で知りあつたのだ。"
"64","sakaguchi","sobomu.txt","当太郎は草吉よりも五つ年少の二十五歳といふ若者だつた。"
"65","sakaguchi","sobomu.txt",""
"66","sakaguchi","sobomu.txt","「いすらえる」といふその酒場は毛唐と日本人と半々ぐらゐの常客があつたが、港でも場末の店の通例で、毛唐の質は至つてよろしくない。"
"67","sakaguchi","sobomu.txt","その大部分は印度、露西亜、ヒリッピン、支那人なぞの行商人や下級社員で、白人の方は飛入りの船員は別として、露店商人とか自称音楽教師、乃至は外国語個人教授なぞといふ看板をぶらさげた怪しげな裏道商売のてあひであつたが、然しこのてあひに限つて、目と鼻のどんな近い四ツ角からでも必ず自動車をのりつけてくる、「こんばんは、お花しやん」なぞと呟きながら、いやに重つ苦しい面魂に、むつとする安香水の匂ひをプンプン発散させながら這入つてくるのが普通であつた。"
"68","sakaguchi","sobomu.txt",""
"69","sakaguchi","sobomu.txt","かういふ店へ、藪小路当太郎は誰に誘はれもせず、一人ぼつちで舞ひこんできた。"
