"","auth","piece","line"
"0","sakaguchi","sogano_abarenbo.txt","曾我の暴れん坊"
"1","sakaguchi","sogano_abarenbo.txt","坂口安吾"
"2","sakaguchi","sogano_abarenbo.txt",""
"3","sakaguchi","sogano_abarenbo.txt","-------------------------------------------------------"
"4","sakaguchi","sogano_abarenbo.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","sogano_abarenbo.txt",""
"6","sakaguchi","sogano_abarenbo.txt","《》：ルビ"
"7","sakaguchi","sogano_abarenbo.txt","（例）大人"
"8","sakaguchi","sogano_abarenbo.txt",""
"9","sakaguchi","sogano_abarenbo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","sogano_abarenbo.txt","（例）連れ子｜箱王"
"11","sakaguchi","sogano_abarenbo.txt","-------------------------------------------------------"
"12","sakaguchi","sogano_abarenbo.txt",""
"13","sakaguchi","sogano_abarenbo.txt","出家の代り元服して勘当のこと"
"14","sakaguchi","sogano_abarenbo.txt",""
"15","sakaguchi","sogano_abarenbo.txt","ある朝、曾我の太郎が庭へでてみると、大切にしている桜の若木がスッポリ切られている。"
"16","sakaguchi","sogano_abarenbo.txt",""
"17","sakaguchi","sogano_abarenbo.txt","「何者のイタズラかな」"
"18","sakaguchi","sogano_abarenbo.txt","しかし切口を見ると、おどろいた。"
"19","sakaguchi","sogano_abarenbo.txt","直径二寸五分ほどもある幹を一刀両断にしたもの、実に見事な切口。"
"20","sakaguchi","sogano_abarenbo.txt","凡手の業ではない。"
"21","sakaguchi","sogano_abarenbo.txt","しかし、かほど腕のたつ大人がこんなイタズラはしそうもない。"
"22","sakaguchi","sogano_abarenbo.txt","イタズラしそうな奴といえば女房の連れ子｜箱王ぐらいのものだが、奴め剣術の稽古は無類に好きとはいえ、まだ十一の子供。"
"23","sakaguchi","sogano_abarenbo.txt",""
"24","sakaguchi","sogano_abarenbo.txt","「コレ、コレ、箱王。"
"25","sakaguchi","sogano_abarenbo.txt","まさかキサマではあるまいな、この桜を切ったのは」"
"26","sakaguchi","sogano_abarenbo.txt","「イイエ。"
"27","sakaguchi","sogano_abarenbo.txt","ボクです。"
"28","sakaguchi","sogano_abarenbo.txt","工藤｜祐経に見えたので、うっかり切ってしまいました」"
"29","sakaguchi","sogano_abarenbo.txt","「ウーム。"
"30","sakaguchi","sogano_abarenbo.txt","見事な腕前。"
"31","sakaguchi","sogano_abarenbo.txt","驚き入った」"
"32","sakaguchi","sogano_abarenbo.txt","「怒らないのですか」"
"33","sakaguchi","sogano_abarenbo.txt","ワシントンとちがって、親父の怒るのをサイソクしている。"
"34","sakaguchi","sogano_abarenbo.txt","もし怒ったら親父を相手に一勝負、これぞ望むところという不敵な料簡が顔にアリアリ現れている。"
"35","sakaguchi","sogano_abarenbo.txt","豪胆な奴だと太郎は舌をまいて部屋へ入ったが、これを垣間見ておどろき悲んだのは母親の満江。"
"36","sakaguchi","sogano_abarenbo.txt",""
"37","sakaguchi","sogano_abarenbo.txt","前夫｜河津三郎が祐経に殺されたので曾我の太郎と再婚したが、一万箱王の二子（後の十郎五郎）は敵の大将の孫というので頼朝に殺されるところを畠山重忠の口添えで辛くも命を助けてもらった。"
"38","sakaguchi","sogano_abarenbo.txt","祐経を父の仇と剣の稽古に励んでいるなぞと人の口の端に上るようになれば、こんどこそ命がない。"
"39","sakaguchi","sogano_abarenbo.txt",""
"40","sakaguchi","sogano_abarenbo.txt","「おそろしい子供……」"
"41","sakaguchi","sogano_abarenbo.txt","兄の一万は学問好きで柔和だが、弟の箱王は無類の暴れん坊。"
"42","sakaguchi","sogano_abarenbo.txt","手がつけられない。"
"43","sakaguchi","sogano_abarenbo.txt","うっかりすると、この子のために再び鎌倉へ召し出されるハメになり、兄の一万も義父の曾我もともに成敗をうけるようなことになりかねない。"
"44","sakaguchi","sogano_abarenbo.txt","これはもう坊主にでもしてしまうのが何よりと考えたから、箱根の別当へ預け、ゆくゆくは坊主にすることにした。"
"45","sakaguchi","sogano_abarenbo.txt",""
"46","sakaguchi","sogano_abarenbo.txt","ここには二十何人も坊主がいる。"
"47","sakaguchi","sogano_abarenbo.txt","箱王、朝の勤めがすむと山へもぐりこんで一日中戻らない。"
"48","sakaguchi","sogano_abarenbo.txt","この箱王という子供は肉が無性に好きなのである。"
"49","sakaguchi","sogano_abarenbo.txt","オカユとナッパというような坊主の食物が我慢ができない。"
"50","sakaguchi","sogano_abarenbo.txt","手製の弓矢をつくり、鳥獣をとらえて食い、山の石を押し倒して力を鍛えたり、木立を相手に立廻りの稽古に没頭したり、日が暮れるまで山で遊んでいる。"
"51","sakaguchi","sogano_abarenbo.txt","先輩の坊主にこの乱行を見届けられて、"
"52","sakaguchi","sogano_abarenbo.txt","「キサマ、坊主の身でありながら、鳥獣を殺して食うとは何事だ」"
"53","sakaguchi","sogano_abarenbo.txt","「イエ、ありがたい経文を唱え、引導をわたして食べますから、成仏ができてありがたいと云って鳥獣がオナカの中で手をついて礼をのべております」"
"54","sakaguchi","sogano_abarenbo.txt","箱根の別当はこれをきいて、子供のころの暴れん坊は大人になると案外大物になるものだ。"
"55","sakaguchi","sogano_abarenbo.txt","将来見どころがあるようだから、ナニ、子供のうちは仕放題にやらせておけ、と笑ってすましてくれた。"
"56","sakaguchi","sogano_abarenbo.txt","そのおかげで、箱王は十一から十七の年まで箱根山中でたらふく肉を食い大いに鍛錬して育つことができた。"
"57","sakaguchi","sogano_abarenbo.txt","ついに身長六尺、力の底が知れないという怪童ができあがった。"
"58","sakaguchi","sogano_abarenbo.txt","谷底へ大石を突き落す、大木をひッこぬく、強弓の遠矢は目にもとまらず谷を渡るというグアイで、箱根の山は連日噴火か地震のよう。"
"59","sakaguchi","sogano_abarenbo.txt","師の坊もたまりかね、"
"60","sakaguchi","sogano_abarenbo.txt","「お前も大人になる年頃だから京都へ行って得度して一人前の出家になりなさい。"
"61","sakaguchi","sogano_abarenbo.txt","明日その垂れ髪を切り頭を丸めて、京都へ出発だ」"
"62","sakaguchi","sogano_abarenbo.txt","冗談にも程があると箱王は思った。"
"63","sakaguchi","sogano_abarenbo.txt","毎日存分に肉をくい、仕放題ができるから寺にいてやったのに、坊主になれとはとんでもない。"
"64","sakaguchi","sogano_abarenbo.txt","坊主の得度は武士の元服と同じものだ。"
"65","sakaguchi","sogano_abarenbo.txt","髪を切られないうちに逃げだして、得度の代りに元服いたそうと腹をきめた。"
"66","sakaguchi","sogano_abarenbo.txt",""
"67","sakaguchi","sogano_abarenbo.txt","さっそくその夜のうちに箱根の山を逃げ下りて、兄十郎の閑居の戸を叩いた。"
"68","sakaguchi","sogano_abarenbo.txt","一万はすでに元服して十郎となり、別に一軒をもらって閑居している。"
"69","sakaguchi","sogano_abarenbo.txt",""
"70","sakaguchi","sogano_abarenbo.txt","「箱王ではないか。"
"71","sakaguchi","sogano_abarenbo.txt","夜中にどうした」"
"72","sakaguchi","sogano_abarenbo.txt","「明日頭を丸めて坊主にするというものですから逃げてきました。"
"73","sakaguchi","sogano_abarenbo.txt","坊主になっては父の仇も討てませんからね。"
"74","sakaguchi","sogano_abarenbo.txt","坊主になる代りに元服したいと思うのですが」"
"75","sakaguchi","sogano_abarenbo.txt","「それがよい。"
"76","sakaguchi","sogano_abarenbo.txt","では即刻鎌倉へ参り北条どのにお願いして烏帽子親になっていただこう」"
"77","sakaguchi","sogano_abarenbo.txt","その夜のうちにうちつれて出発、北条時政を訪ねて元服の式を終り、ここに箱王は五郎｜時致となった。"
"78","sakaguchi","sogano_abarenbo.txt",""
"79","sakaguchi","sogano_abarenbo.txt","兄弟は大喜び。"
"80","sakaguchi","sogano_abarenbo.txt","いよいよ力を合せて父の仇討ちに精を入れようというわけで、まず元服の報告に母を訪ねると、喜んでくれるかと思いのほか、母はにわかに顔面蒼白、気を失わんばかりによろめく身体をようやく支えて、"
"81","sakaguchi","sogano_abarenbo.txt","「出家して父の後生を弔ってくれるかと思いのほか、一人ぎめの元服とは言語道断。"
"82","sakaguchi","sogano_abarenbo.txt","私には箱王という子供はあったが、五郎時致なぞという子供はありません。"
"83","sakaguchi","sogano_abarenbo.txt","母でも子でもない。"
"84","sakaguchi","sogano_abarenbo.txt","ただいま勘当いたすから、心を入れかえて出家するまでは二度と母に顔を見せてはなりませんぞ。"
"85","sakaguchi","sogano_abarenbo.txt","五郎時致なぞは野たれ死するがよい」"
"86","sakaguchi","sogano_abarenbo.txt","即坐に勘当されてしまった。"
"87","sakaguchi","sogano_abarenbo.txt",""
"88","sakaguchi","sogano_abarenbo.txt",""
"89","sakaguchi","sogano_abarenbo.txt","女難により居候失脚のこと"
"90","sakaguchi","sogano_abarenbo.txt",""
"91","sakaguchi","sogano_abarenbo.txt","勘当の五郎を放っておくわけにいかないから、十郎は弟につきそって、親類を転々と居候して歩いた。"
"92","sakaguchi","sogano_abarenbo.txt",""
"93","sakaguchi","sogano_abarenbo.txt","特に力になってくれる親類はと云えば、二人の姉が二宮太郎と結婚している。"
"94","sakaguchi","sogano_abarenbo.txt","また叔母が三浦義澄と結婚している。"
"95","sakaguchi","sogano_abarenbo.txt","その娘、つまり従妹が平六兵衛と結婚している。"
"96","sakaguchi","sogano_abarenbo.txt","これらはいずれも親身に力になってくれる人たちだ。"
"97","sakaguchi","sogano_abarenbo.txt",""
"98","sakaguchi","sogano_abarenbo.txt","ところが十郎は学問のタシナミも深く、まことに品のよい好男子で、非常に女に好かれる。"
"99","sakaguchi","sogano_abarenbo.txt","当時は豪傑万能、豪傑だらけの時代であるから、女の子が豪傑に食傷しているせいか、どこへ行っても十郎は大もて。"
"100","sakaguchi","sogano_abarenbo.txt","その上、彼は少年時代から風情を解し人情風流をたしなむ素質があって、とかく事が起きがちだ。"
"101","sakaguchi","sogano_abarenbo.txt",""
"102","sakaguchi","sogano_abarenbo.txt","たとえば平六兵衛の女房は十郎と一しょに育った従妹だが、その時分からもう関係ができていた。"
"103","sakaguchi","sogano_abarenbo.txt","そうとは知らない平六が結婚を申しこみ、また曾我の太郎も気がつかないから、この結婚に許しを与える。"
"104","sakaguchi","sogano_abarenbo.txt","女の方はおどろいた。"
"105","sakaguchi","sogano_abarenbo.txt","まさか十郎は黙っていまい、親に打ちあけて何とかしてくれるだろうと思っていたのに、何もしない。"
"106","sakaguchi","sogano_abarenbo.txt","ひそかに十郎に文をやってサイソクしたのに、返事もよこさず、あくまで知らんフリをしているので、泣く泣く平六と結婚したのである。"
"107","sakaguchi","sogano_abarenbo.txt","結婚してからも、あなたのところへ逃げて行きたいという手紙をだしたが、これにも返事がこなかった。"
"108","sakaguchi","sogano_abarenbo.txt",""
"109","sakaguchi","sogano_abarenbo.txt","そこへ居候にころがりこんだから、平六の女房は大喜びで下へもおかぬモテナシをしてくれるけれども、人のおらぬ物陰で、十郎はしきりに口説かれる。"
"110","sakaguchi","sogano_abarenbo.txt","十郎も閉口して、"
"111","sakaguchi","sogano_abarenbo.txt","「明日ここを出ようじゃないか」"
"112","sakaguchi","sogano_abarenbo.txt","「こんなに待遇のよいうちを急にでる必要はないね。"
