"","auth","piece","line"
"0","sakaguchi","suiri_shosetsuni_tsuite.txt","推理小説について"
"1","sakaguchi","suiri_shosetsuni_tsuite.txt","坂口安吾"
"2","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"3","sakaguchi","suiri_shosetsuni_tsuite.txt","-------------------------------------------------------"
"4","sakaguchi","suiri_shosetsuni_tsuite.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"6","sakaguchi","suiri_shosetsuni_tsuite.txt","《》：ルビ"
"7","sakaguchi","suiri_shosetsuni_tsuite.txt","（例）凄がる"
"8","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"9","sakaguchi","suiri_shosetsuni_tsuite.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","suiri_shosetsuni_tsuite.txt","（例）ギュウ／＼"
"11","sakaguchi","suiri_shosetsuni_tsuite.txt","-------------------------------------------------------"
"12","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"13","sakaguchi","suiri_shosetsuni_tsuite.txt","探偵小説の愛好者としての立場から、終戦後の二、三の推理小説に就て、感想を述べてみよう。"
"14","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"15","sakaguchi","suiri_shosetsuni_tsuite.txt","横溝正史氏の「蝶々殺人事件」は終戦後のみならず、日本における推理小説では最も本格的な秀作で、大阪の犯行を東京の犯行と思わせるトリック、そのトリックを不自然でなく成立せしめる被害者のエキセントリックな性格の創造、まことによく構成されておって、このトリックの点では世界的名作と比肩して劣らぬ構成力を示している。"
"16","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"17","sakaguchi","suiri_shosetsuni_tsuite.txt","然し、敢てこの名作から三つの欠点をとりだして、一アマチュアの立場から、探偵小説全般の欠点に就て、不満と希望をのべてみたいと思う。"
"18","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"19","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"20","sakaguchi","suiri_shosetsuni_tsuite.txt","★"
"21","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"22","sakaguchi","suiri_shosetsuni_tsuite.txt","第一に、なぞのために人間性を不当にゆがめている、ということ。"
"23","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"24","sakaguchi","suiri_shosetsuni_tsuite.txt","犯人が奪った宝石をトロンボンのチューヴの中に隠しておいて、それを取りだすところを雨宮に見られたのでトッサに殺す。"
"25","sakaguchi","suiri_shosetsuni_tsuite.txt","この死体を縄でよじりあげて五階の窓の外につるし、縄のよじれがもどって死体が外れて墜落するまでの時間に、階下へ下りて人々のたまりに顔をだしてアリバイをつくる。"
"26","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"27","sakaguchi","suiri_shosetsuni_tsuite.txt","隠した宝石をとりだすだけでも人に見つかる、それほどの危い綱渡りの中で、トッサにこんな手のこんだトリックをする、これが先ず人間性という点から不当なことで、死体を残して慌てて逃げだすのが当然である。"
"28","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"29","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"30","sakaguchi","suiri_shosetsuni_tsuite.txt","★"
"31","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"32","sakaguchi","suiri_shosetsuni_tsuite.txt","第一、これだけ苦心してアリバイをつくっても、五階から落ちた死体が落ちた瞬間に目撃者がなければ、苦心のアリバイもアリバイにならない。"
"33","sakaguchi","suiri_shosetsuni_tsuite.txt","そして、すぐ目撃者がある程度に人目のあるところから死体を縄によじって窓の外につるすという緩慢複雑な動作が人目に隠れて行えるものではない。"
"34","sakaguchi","suiri_shosetsuni_tsuite.txt","もしまたその仕掛が人にさとられずに行えるほど無人のところなら死体が落ちてもすぐには発見されず、ほど経て発見された際には苦心のアリバイも役に立たず、五階の窓の外に仕掛けた縄を改めて取りこむだけ余計な危険にさらされているに過ぎないのである。"
"35","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"36","sakaguchi","suiri_shosetsuni_tsuite.txt","要するに人間性という点からありうべからざるアリバイで、かゝる無理を根底として謎が組み立てられている限り、謎ときゲームとして読者の方が謎ときに失敗するのは当然なのである。"
"37","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"38","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"39","sakaguchi","suiri_shosetsuni_tsuite.txt","★"
"40","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"41","sakaguchi","suiri_shosetsuni_tsuite.txt","角田喜久雄氏の「高木家の惨劇」では、吾郎という青年が自分でも何のためにアリバイをつくらねばならぬか知らないほどの漠然たる不安に、殺人犯人でもやらないような芝居がかったアリバイのつくり方、全然人間性というものを無視している。"
"42","sakaguchi","suiri_shosetsuni_tsuite.txt","一方、吾郎にこうして三時のアリバイをつくらせる友子が、三時の銃声に吾郎の犯行と思ってピストルを隠す。"
"43","sakaguchi","suiri_shosetsuni_tsuite.txt","この実際の犯罪を怖れたから吾郎にアリバイをつくらせておるのではないか。"
"44","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"45","sakaguchi","suiri_shosetsuni_tsuite.txt","やっぱりそうか、よかった、とホッとはしても、吾郎の犯罪と思うはずはなく、この小説はピンからキリまで人間性をゆがめ放題にゆがめている。"
"46","sakaguchi","suiri_shosetsuni_tsuite.txt","読者に犯人の当るはずはない。"
"47","sakaguchi","suiri_shosetsuni_tsuite.txt",""
"48","sakaguchi","suiri_shosetsuni_tsuite.txt",""
