"","auth","piece","line"
"0","sakaguchi","suiri_shosetsuron.txt","推理小説論"
"1","sakaguchi","suiri_shosetsuron.txt","坂口安吾"
"2","sakaguchi","suiri_shosetsuron.txt",""
"3","sakaguchi","suiri_shosetsuron.txt","-------------------------------------------------------"
"4","sakaguchi","suiri_shosetsuron.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","suiri_shosetsuron.txt",""
"6","sakaguchi","suiri_shosetsuron.txt","《》：ルビ"
"7","sakaguchi","suiri_shosetsuron.txt","（例）却々"
"8","sakaguchi","suiri_shosetsuron.txt",""
"9","sakaguchi","suiri_shosetsuron.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","suiri_shosetsuron.txt","（例）ヒョイ／＼"
"11","sakaguchi","suiri_shosetsuron.txt","-------------------------------------------------------"
"12","sakaguchi","suiri_shosetsuron.txt",""
"13","sakaguchi","suiri_shosetsuron.txt","日本の探偵作家の間に、探偵小説芸術論という一風潮があって、ドストエフスキーは探偵小説だというような説があるが、こういうのを暴論と称する。"
"14","sakaguchi","suiri_shosetsuron.txt",""
"15","sakaguchi","suiri_shosetsuron.txt","すべて、すぐれた文学は人間をトコトンまで突きつめていくものだから、犯罪、それから、戦争、という大きな崖に突きあがってしまう。"
"16","sakaguchi","suiri_shosetsuron.txt","これは当然の成行で、犯罪や戦争は人間の追求から必然的に到達するものであり、決して犯罪は探偵小説の専売ではない。"
"17","sakaguchi","suiri_shosetsuron.txt","又、犯罪を取り扱うに当って、それが人間追求の手段としてであっても、読者の興をひくために探偵趣味をそそるような展開法を用いるのも、文学本来の技巧であって、バルザックやドストエフスキーはこういう手法の名手でもあった。"
"18","sakaguchi","suiri_shosetsuron.txt","谷崎、芥川、佐藤春夫なども、小型ではあるが、この技法を縦横に使いこなしている。"
"19","sakaguchi","suiri_shosetsuron.txt","だいたい小説に於て「おあとは如何になりゆくか」ということ自体が探偵的なものであって、大小説家はこの技法を天分的に身につけているものであるから、探偵小説専門家よりも本質的に、探偵小説的技法の骨子を会得しているのが当然なのである。"
"20","sakaguchi","suiri_shosetsuron.txt",""
"21","sakaguchi","suiri_shosetsuron.txt","推理小説というものは推理をたのしむ小説で、芸術などと無縁である方がむしろ上質品だ。"
"22","sakaguchi","suiri_shosetsuron.txt","これは高級娯楽の一つで、パズルを解くゲームであり、作者と読者の智恵くらべでもあって、ほかに余念のないものだ。"
"23","sakaguchi","suiri_shosetsuron.txt",""
