"","auth","piece","line"
"0","sakaguchi","supotsu_bungaku_seiji.txt","スポーツ・文学・政治"
"1","sakaguchi","supotsu_bungaku_seiji.txt","坂口安吾"
"2","sakaguchi","supotsu_bungaku_seiji.txt",""
"3","sakaguchi","supotsu_bungaku_seiji.txt","-------------------------------------------------------"
"4","sakaguchi","supotsu_bungaku_seiji.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","supotsu_bungaku_seiji.txt",""
"6","sakaguchi","supotsu_bungaku_seiji.txt","《》：ルビ"
"7","sakaguchi","supotsu_bungaku_seiji.txt","（例）米"
"8","sakaguchi","supotsu_bungaku_seiji.txt",""
"9","sakaguchi","supotsu_bungaku_seiji.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","supotsu_bungaku_seiji.txt","（例）四百｜米"
"11","sakaguchi","supotsu_bungaku_seiji.txt",""
"12","sakaguchi","supotsu_bungaku_seiji.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","supotsu_bungaku_seiji.txt","（例）（文責在記者）"
"14","sakaguchi","supotsu_bungaku_seiji.txt","-------------------------------------------------------"
"15","sakaguchi","supotsu_bungaku_seiji.txt",""
"16","sakaguchi","supotsu_bungaku_seiji.txt","スポーツ談議"
"17","sakaguchi","supotsu_bungaku_seiji.txt",""
"18","sakaguchi","supotsu_bungaku_seiji.txt","いま僕の書いている『スキヤキから一つの歴史がはじまる』は、はじめにスポーツマンが主人公になっているせいか、スポーツ精神といったものを書いているせいか、とにかくスポーツマンに評判がいゝ。"
"19","sakaguchi","supotsu_bungaku_seiji.txt","ボクをスポーツ精神の真髄に徹した大スポーツマンだと思っているらしい。"
"20","sakaguchi","supotsu_bungaku_seiji.txt","ところが、あれは大体、スポーツをやった男の心理はこんなものだろうと想像で描いているだけで、ボクはそれほど実際のスポーツマンじゃない。"
"21","sakaguchi","supotsu_bungaku_seiji.txt","またモデルだって一人も実際のはいはしない。"
"22","sakaguchi","supotsu_bungaku_seiji.txt","スポーツでボクがやったのはジャンプ――三段跳び、走高跳び――水泳、それから柔道、これは割に強くて段つきになったが、立業では敗けたことがない。"
"23","sakaguchi","supotsu_bungaku_seiji.txt","たゞどうも寝業は苦手で弱かった。"
"24","sakaguchi","supotsu_bungaku_seiji.txt",""
"25","sakaguchi","supotsu_bungaku_seiji.txt","日本野球のさる選手がボクを大選手、大先輩とあがめているという話だが、野球はそんなにうまいわけじゃない。"
"26","sakaguchi","supotsu_bungaku_seiji.txt","むしろヘタクソだ。"
"27","sakaguchi","supotsu_bungaku_seiji.txt","この間文士のチームをつくって文藝春秋新社と試合したが、一番うまいのは井上友一郎、それから河上徹太郎、石川達三もまあかなりうまい、ボクなんか非常にヘタなんだが、たゞ一所懸命敢闘する、全力でやる、敢闘精神だけは実に旺盛なんだ。"
"28","sakaguchi","supotsu_bungaku_seiji.txt",""
"29","sakaguchi","supotsu_bungaku_seiji.txt","この前東大病院に入院していたときも、内村教授から外出を許して貰って後楽園へよく野球見物に行った。"
"30","sakaguchi","supotsu_bungaku_seiji.txt","内村という人は日本の野球界の大先輩だが、あれくらい一流の人物になると、すべて万事に通じている。"
"31","sakaguchi","supotsu_bungaku_seiji.txt","エライ人で戦後のニュー・フェイスの一人だね。"
"32","sakaguchi","supotsu_bungaku_seiji.txt","あの人が野球評論を書き出したんだが、実に思想が新しく、大胆で、これまで日本になかったものを持っている。"
"33","sakaguchi","supotsu_bungaku_seiji.txt",""
"34","sakaguchi","supotsu_bungaku_seiji.txt","別府星野組の荒巻という投手、あいつは非常な秀才なんだそうで、学校を首席で出て、職業野球に入らないで東大に入りたい気持があるというので、東大野球部の連中がぜひ引っぱるように内村さんのところへたのみに来たんだ。"
"35","sakaguchi","supotsu_bungaku_seiji.txt","すると、内村さんは、どうせ東大を卒業しても職業野球に入り、野球で飯を食うべき人なんだから、三年無駄にしないで、今すぐ野球に入った方がいゝ、と答えたんだ。"
"36","sakaguchi","supotsu_bungaku_seiji.txt","こうした考え方なんか終戦までなかったんだ。"
"37","sakaguchi","supotsu_bungaku_seiji.txt","実に新鮮な思想だよ。"
"38","sakaguchi","supotsu_bungaku_seiji.txt",""
"39","sakaguchi","supotsu_bungaku_seiji.txt","ところが日本の職業野球では、学校で鳴らした選手でもプロに来てからは二・三年みっちり下積みをやらなきゃ一人前になれぬようにいう、そういうのは古い、イケナイ考方だよ。"
"40","sakaguchi","supotsu_bungaku_seiji.txt","アメリカの大リーグの投手で野球をはじめてから一年にならんのに抜擢された奴もいる。"
"41","sakaguchi","supotsu_bungaku_seiji.txt","天才はいきなりでも天才なんだ。"
"42","sakaguchi","supotsu_bungaku_seiji.txt","沢村が米国の編成チームを向うにまわして活躍したのも、弱冠京商を出たばかりのときだったじゃないか。"
"43","sakaguchi","supotsu_bungaku_seiji.txt",""
"44","sakaguchi","supotsu_bungaku_seiji.txt","あのときベーブルースを見たが、スケールが大きい、一流の俳優だね。"
"45","sakaguchi","supotsu_bungaku_seiji.txt","一芸に達するとは恐ろしいことだ。"
"46","sakaguchi","supotsu_bungaku_seiji.txt","とにかく全力を出しきっている。"
"47","sakaguchi","supotsu_bungaku_seiji.txt","スタンドプレーにしても、そのプレーは堂に入っていて、しかもその遊びが決して低くない。"
"48","sakaguchi","supotsu_bungaku_seiji.txt","全力を出しきって、中味が充実していることが美の要素なんだ。"
"49","sakaguchi","supotsu_bungaku_seiji.txt","スピード問題にしても、そういう問題が起ったことは当然の気がする。"
"50","sakaguchi","supotsu_bungaku_seiji.txt",""
"51","sakaguchi","supotsu_bungaku_seiji.txt","これからのスポーツはスピードが中心になる。"
"52","sakaguchi","supotsu_bungaku_seiji.txt","昔は長距離選手は、スピードがない、短距離選手は持続しないときめられていたが、今では四百｜米の走者は最初から百米のスピードでゆく、また四百米の走者が千五百米をやらなきゃ駄目だということになって来た。"
"53","sakaguchi","supotsu_bungaku_seiji.txt","四百米四六秒という独逸のハルビッヒの記録などを見てもスプリント走法で全コースを走っていることは明瞭だ。"
"54","sakaguchi","supotsu_bungaku_seiji.txt",""
"55","sakaguchi","supotsu_bungaku_seiji.txt","古橋だって最初の百米からふっとばす泳ぎ方であの大記録を立てゝいるんだ。"
