"","auth","piece","line"
"0","sakaguchi","taimoo_idaku_kappa.txt","大望をいだく河童"
"1","sakaguchi","taimoo_idaku_kappa.txt","坂口安吾"
"2","sakaguchi","taimoo_idaku_kappa.txt",""
"3","sakaguchi","taimoo_idaku_kappa.txt","-------------------------------------------------------"
"4","sakaguchi","taimoo_idaku_kappa.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","taimoo_idaku_kappa.txt",""
"6","sakaguchi","taimoo_idaku_kappa.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"7","sakaguchi","taimoo_idaku_kappa.txt","（例）"
"8","sakaguchi","taimoo_idaku_kappa.txt","-------------------------------------------------------"
"9","sakaguchi","taimoo_idaku_kappa.txt",""
"10","sakaguchi","taimoo_idaku_kappa.txt",""
"11","sakaguchi","taimoo_idaku_kappa.txt","昔、池袋にすんでいたころ、小学校の生徒に頻りに敬礼されて、その界隈を遠廻りに敬遠して歩かねばならなくなったが、僕に似た先生がいたに相違ない。"
"12","sakaguchi","taimoo_idaku_kappa.txt",""
"13","sakaguchi","taimoo_idaku_kappa.txt","戦争中、神田の創元社へよく遊びにでかけたが、日大生に時々敬礼された。"
"14","sakaguchi","taimoo_idaku_kappa.txt","何先生が僕に似ているのか気にかかった。"
"15","sakaguchi","taimoo_idaku_kappa.txt",""
"16","sakaguchi","taimoo_idaku_kappa.txt","まだ焼けて幾日にもならぬ高田馬場駅で、夜であったが、軍服の青年（将校らしい）に挨拶され、第二高等学院の何々先生ではありませんか、とこれは明らかに名前を言われたのだが、忘れてしまった。"
"17","sakaguchi","taimoo_idaku_kappa.txt","間違われて挨拶を受けるのはキマリの悪いもので、蒲田の易者は僕が手をだすと、"
"18","sakaguchi","taimoo_idaku_kappa.txt","「旦那からかっちゃアいけませんや」という。"
"19","sakaguchi","taimoo_idaku_kappa.txt","本職の名人と思ってるのか、蒲田の顔役に似た旦那がいるのかも知れぬ。"
"20","sakaguchi","taimoo_idaku_kappa.txt",""
