"","auth","piece","line"
"0","sakaguchi","takeyabuno_ie.txt","竹藪の家"
"1","sakaguchi","takeyabuno_ie.txt","坂口安吾"
"2","sakaguchi","takeyabuno_ie.txt",""
"3","sakaguchi","takeyabuno_ie.txt","-------------------------------------------------------"
"4","sakaguchi","takeyabuno_ie.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","takeyabuno_ie.txt",""
"6","sakaguchi","takeyabuno_ie.txt","《》：ルビ"
"7","sakaguchi","takeyabuno_ie.txt","（例）孟宗"
"8","sakaguchi","takeyabuno_ie.txt",""
"9","sakaguchi","takeyabuno_ie.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","takeyabuno_ie.txt","（例）主人｜野越与里"
"11","sakaguchi","takeyabuno_ie.txt",""
"12","sakaguchi","takeyabuno_ie.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","takeyabuno_ie.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","sakaguchi","takeyabuno_ie.txt","（例）※"
"15","sakaguchi","takeyabuno_ie.txt",""
"16","sakaguchi","takeyabuno_ie.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","takeyabuno_ie.txt","（例）カラ／＼"
"18","sakaguchi","takeyabuno_ie.txt","-------------------------------------------------------"
"19","sakaguchi","takeyabuno_ie.txt",""
"20","sakaguchi","takeyabuno_ie.txt","一"
"21","sakaguchi","takeyabuno_ie.txt",""
"22","sakaguchi","takeyabuno_ie.txt","――首縊つて死んぢまへ！お前が、さう言つたんぢやないか。"
"23","sakaguchi","takeyabuno_ie.txt","早く首縊れつたら。"
"24","sakaguchi","takeyabuno_ie.txt","莫迦莫迦莫迦ア！なぜ早く首縊らないのだ――"
"25","sakaguchi","takeyabuno_ie.txt",""
"26","sakaguchi","takeyabuno_ie.txt","家の裏手には一面に、はや年を経た孟宗のひつそりとした林が深い。"
"27","sakaguchi","takeyabuno_ie.txt","朝朝の陽射しが水泡のやうにキラキラと濡れて、深い奥にもまばらに零れ、葉が落ちて濡れてふやけた篁の土肌から、いきれた臭気がムウンと顔に噎せながら其処ら一面に澱んでゐる――その篁が曲者であつた。"
"28","sakaguchi","takeyabuno_ie.txt",""
"29","sakaguchi","takeyabuno_ie.txt","郊外の（一足踏み出せば、もはや涯も無い武蔵野の田園が展けてゐる――）この傾いた破れ長屋に居候を始めてから丁度二週間にもなるのだが、硝子窓を炒るやうな鋭く冴えた朝朝の太陽に蹴散らかされて、樅原駄夫が濁つた目覚めを迎へると、それが晴れた日の合唱ででもあるやうに、裏の篁から夫婦喧嘩のざわめきが、この上もなく朗らかに聴きとれてくる。"
"30","sakaguchi","takeyabuno_ie.txt","駄夫はアアアンと変にショボショボ欠伸をして、間の抜けた朝の陽気にてれ乍ら、まだ散漫な神経を搾る様に寄せ集めて、篁の高い物声を捉へるために二つの耳をジインと澄ませる。"
"31","sakaguchi","takeyabuno_ie.txt","寝床から其れのみ擡げられた一つの首が、明るい朝の光線の中へ花瓶のやうにユラユラと浮び上つて揺らめいてゐる、其れが又晴れたる朝の序曲でもあつた。"
"32","sakaguchi","takeyabuno_ie.txt",""
"33","sakaguchi","takeyabuno_ie.txt","――お前は首を縊つて自殺するのだと、いま断言したではないか！なぜ早く死なないのだ。"
"34","sakaguchi","takeyabuno_ie.txt","早く首縊れつたら、首を縊つて足をバタバタ顫はせて、ギュッと※みたいに唸つてくたばれ！それがお前に一番よく似合ふ恰好だあ。"
"35","sakaguchi","takeyabuno_ie.txt","気の強いおん坊なんざ惚れちまは。"
"36","sakaguchi","takeyabuno_ie.txt","邪魔せずに眺めてゐるから、早く首縊つて牛肉屋の牛肉みたいに温和しいブラブラになりやがれ！早く牛肉にならないか、不潔な肉の魂めえ！"
"37","sakaguchi","takeyabuno_ie.txt","――お前こそ汚い性慾の塊ぢやないか！人殺しの半鐘泥棒だ！お前こそブラブラぶら下つたら、裏なりの糸瓜みたいに長く細くつて良く恰好が取れてらあ。"
"38","sakaguchi","takeyabuno_ie.txt","栄養不良の糸瓜ぢやないか！ブラブラ竹藪にブラ下つて、日の暮れるまで風に吹かれて揺れてろ！ア、ア、ア、痛々々々……ア、痛い！人殺し！ヒ、人殺し！畜生！弱い女を打つ奴があるものか！食物の中へ猫イラズを仕込んでやるから覚えてろ！"
"39","sakaguchi","takeyabuno_ie.txt","――チェッ、悪女め、ぬかしやがつた。"
"40","sakaguchi","takeyabuno_ie.txt","てめえこそ妲妃のお百だあ。"
"41","sakaguchi","takeyabuno_ie.txt","出て行きやがれ！てめえなんざ不潔極まる肉魂だぞ。"
"42","sakaguchi","takeyabuno_ie.txt","悪徳と性慾の掃溜みたいな奴だ。"
"43","sakaguchi","takeyabuno_ie.txt","醜悪でえ！"
"44","sakaguchi","takeyabuno_ie.txt","――フ、フ、フン。"
"45","sakaguchi","takeyabuno_ie.txt","お前が死ぬまで出て行かないからさう思へ！紫色の斑になつてお墓へ行け！坊主に払ふお布施も無いや。"
"46","sakaguchi","takeyabuno_ie.txt","死に損ひの肺病やみい！札附きの気狂ひで出来損ひの落伍者ぢやないか！共同墓地へ埋まつて、雨の降る晩にお化けになれ！アアいい気味だ。"
"47","sakaguchi","takeyabuno_ie.txt","ざまみろ！…………"
"48","sakaguchi","takeyabuno_ie.txt","この家の主人｜野越与里、野越総江の両名は、篁の深い沈黙に於てのみ夫婦喧嘩を試みる居常の習慣也と思はる。"
"49","sakaguchi","takeyabuno_ie.txt","思ふにそれは、老いたる母への気兼ねから此の篁へ隠れ去るものとも推定されるが、又何等かの由来があつて、此の篁と其の争論と、彼等の心に密接な共鳴作用を起すものかも知れなかつた。"
"50","sakaguchi","takeyabuno_ie.txt","まことに、野越与里、野越総江の口論は、恰も村の往還を日日通ふ幌馬車のやうに、律儀頑固な鉄則を以て定められた晴れたる朝の合唱であつた。"
"51","sakaguchi","takeyabuno_ie.txt","――昔は心に思ふこともろくろく口に出す術を知らなかつた与里であるが、暫く会はずに経過した数年来の生活苦に変れば変るものでもある。"
"52","sakaguchi","takeyabuno_ie.txt","思へば人の一生は（重荷を負うて坂道を登る如しか！糞喰へ！）一番貴重な物までが（――それはあの悪の華の詩人に由つて――朦朧と浮く不思議なる雲の類と歌はれてゐるが）得体の知れない宿命に残酷なまで飜弄されるもののやうにも思はれる。"
"53","sakaguchi","takeyabuno_ie.txt","思へば何か感慨の心に騒ぐ気配もし、苦い胃液の鋭く喉に込みあげてくる思ひもする――そんな気持もするにはするが、それは又唯それだけの当然な話で――ウツラウツラと寝床に伏して流れ込む朝の光を舐めてゐると、何事もそれは結局それだけのことで、古今東西一として驚愕に価する物もない、さういふ虚しい肯定のみが別に確たる根拠もなく唯ひしひしと煙のやうに漂うてくる、しづ心なく花の散るらむ――なぞと言へば余り莫迦げた長閑さすぎると思はれるかも知れないが、何んだかヂッと瞑目して明るい日向に項垂れてゐると、胃嚢の中にヒソヒソと頻りに花の降る音が遠く遥かに続いてゐる。"
"54","sakaguchi","takeyabuno_ie.txt","時として、何故とも知らずホッと洩らした溜息の引き去るあとに耳を澄ますと、朝も闌けた篁の懶い沈黙から、筍の幽かに幽かに太る気配が聴かれたやうに思はれて了ふ。"
"55","sakaguchi","takeyabuno_ie.txt","気がつけば、あの癇高い争ひの声は益々劇しく響いてくるが、深く耳を澄してゐると、其れも撒かれた霧のやうに明るい空の百方へヂンヂンとして掠れてしまふ。"
"56","sakaguchi","takeyabuno_ie.txt","言ひやうもない静けさ！駄夫は煙草に火を点けて、白い日向へ押し込むやうに煙をふかした。"
"57","sakaguchi","takeyabuno_ie.txt","煙はか細くユラユラと揺れ、幾｜条の淡く柔らかな縺れとなつて暫く部屋に漂うてゐるが、やがて生き生きと動き出し、素早く長い糸となつて光の澱んだ窓の外へふいと流れて逸れてしまふ。"
"58","sakaguchi","takeyabuno_ie.txt","明るい日向に泳ぎ出で、キララな光線の中へ顔を擡げてヂッとしてゐる。"
"59","sakaguchi","takeyabuno_ie.txt","空洞な眼蓋を大きく開いて涯しない蒼空の奥へまで長い視線を注いでゐるが、何一つ定まる物は見てゐないのだ。"
"60","sakaguchi","takeyabuno_ie.txt","燦々と降る光の泡に胸は一杯に息を塞がれ、広い視界は唯｜一つの、白金の光芒を放つて、チリチリと旋回する一点の塵と化してゐる。"
"61","sakaguchi","takeyabuno_ie.txt","――一匹の蜂がだんだら模様の腹をうねらせ硝子窓に跳ね反つたり……"
"62","sakaguchi","takeyabuno_ie.txt","……やがて階下にコトコトと無器用な足駄の音が鳴りはじめる。"
"63","sakaguchi","takeyabuno_ie.txt","高歯の足駄を庭先へ持ち出して、さも大儀げにそれを引きずる跫音である。"
"64","sakaguchi","takeyabuno_ie.txt","わづかに数歩行くうちに其の跫音は立ち止る。"
"65","sakaguchi","takeyabuno_ie.txt","破れた石垣に手を掛けて危険な枝や横棒なぞを払ふために工夫を凝らしてゐるのであらう、間もなく、其処も通過して、朽葉をガサガサと踏み分けながら、室の静かな奥へ消え去つてしまふ――"
"66","sakaguchi","takeyabuno_ie.txt","「……もう止しませんか、これ……」"
"67","sakaguchi","takeyabuno_ie.txt","ふと気がついて耳を澄ますと、ムウンと深い篁の奥の澱みが漂うてきた……"
"68","sakaguchi","takeyabuno_ie.txt","篁へ消えた跫音は与里の老いたる母であつた。"
