"","auth","piece","line"
"0","sakaguchi","tandokuhankoni_arazu.txt","単独犯行に非ず"
"1","sakaguchi","tandokuhankoni_arazu.txt","坂口安吾"
"2","sakaguchi","tandokuhankoni_arazu.txt",""
"3","sakaguchi","tandokuhankoni_arazu.txt",""
"4","sakaguchi","tandokuhankoni_arazu.txt","普通の時間に家を出て登庁せずに三越へ行って開店するまでに無理な自動車散歩までして開店に間に合ったということは、誰かと会見するような何か重大な約束があったのではなかろうかと考えられる。"
"5","sakaguchi","tandokuhankoni_arazu.txt","その約束は国鉄労組の誰かとの会見ではなく、もっとプライベイトなものにちがいない。"
"6","sakaguchi","tandokuhankoni_arazu.txt","だから犯人はプライベイトなものかプライベイトを利用したものである。"
"7","sakaguchi","tandokuhankoni_arazu.txt","犯行はラジオで騒ぎ出されてから行われたものだろう。"
"8","sakaguchi","tandokuhankoni_arazu.txt","強雨の中をあそこまで運んだのは集団でなければ出来ない。"
"9","sakaguchi","tandokuhankoni_arazu.txt","国鉄労組の組織を通した犯行とは思わないが、それを利用して行われたものだろう。"
"10","sakaguchi","tandokuhankoni_arazu.txt","これを探偵小説の常識からいえば鉄道轢死ということは自殺と他殺を不明にするためと、犯行の跡をなくすためとの二つが考えられるが、しかしこの事件の場合は鉄道問題にからませる意味もあるようだ。"
"11","sakaguchi","tandokuhankoni_arazu.txt","犯行は労組と無関係であっても何か大きな別な組織的集団によって行われたことは考えられる。"
"12","sakaguchi","tandokuhankoni_arazu.txt",""
"13","sakaguchi","tandokuhankoni_arazu.txt",""
"14","sakaguchi","tandokuhankoni_arazu.txt",""
"15","sakaguchi","tandokuhankoni_arazu.txt",""
"16","sakaguchi","tandokuhankoni_arazu.txt","底本：「坂口安吾全集07」筑摩書房"
"17","sakaguchi","tandokuhankoni_arazu.txt","1998（平成10）年8月20日初版第1刷発行"
"18","sakaguchi","tandokuhankoni_arazu.txt","底本の親本：「東京日日新聞第二一二号」"
"19","sakaguchi","tandokuhankoni_arazu.txt","1949（昭和24）年7月7日"
"20","sakaguchi","tandokuhankoni_arazu.txt","初出：「東京日日新聞第二一二号」"
"21","sakaguchi","tandokuhankoni_arazu.txt","1949（昭和24）年7月7日"
"22","sakaguchi","tandokuhankoni_arazu.txt","入力：tatsuki"
"23","sakaguchi","tandokuhankoni_arazu.txt","校正：noriko saito"
"24","sakaguchi","tandokuhankoni_arazu.txt","2009年3月26日作成"
"25","sakaguchi","tandokuhankoni_arazu.txt","青空文庫作成ファイル："
"26","sakaguchi","tandokuhankoni_arazu.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"27","sakaguchi","tandokuhankoni_arazu.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"28","sakaguchi","tandokuhankoni_arazu.txt",""
