"","auth","piece","line"
"0","sakaguchi","tanteishosetsuo_kiru.txt","探偵小説を截る"
"1","sakaguchi","tanteishosetsuo_kiru.txt","坂口安吾"
"2","sakaguchi","tanteishosetsuo_kiru.txt",""
"3","sakaguchi","tanteishosetsuo_kiru.txt","-------------------------------------------------------"
"4","sakaguchi","tanteishosetsuo_kiru.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","tanteishosetsuo_kiru.txt",""
"6","sakaguchi","tanteishosetsuo_kiru.txt","《》：ルビ"
"7","sakaguchi","tanteishosetsuo_kiru.txt","（例）角"
"8","sakaguchi","tanteishosetsuo_kiru.txt",""
"9","sakaguchi","tanteishosetsuo_kiru.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","tanteishosetsuo_kiru.txt","（例）商売｜仇き"
"11","sakaguchi","tanteishosetsuo_kiru.txt",""
"12","sakaguchi","tanteishosetsuo_kiru.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"13","sakaguchi","tanteishosetsuo_kiru.txt","（例）ピタリ／＼"
"14","sakaguchi","tanteishosetsuo_kiru.txt","-------------------------------------------------------"
"15","sakaguchi","tanteishosetsuo_kiru.txt",""
"16","sakaguchi","tanteishosetsuo_kiru.txt","私は探偵小説をよむと、みんな同じ書き方をしているので、まずウンザリする。"
"17","sakaguchi","tanteishosetsuo_kiru.txt","洋の東西を問わず、本格推理小説となると、みんな形式が同一である。"
"18","sakaguchi","tanteishosetsuo_kiru.txt",""
"19","sakaguchi","tanteishosetsuo_kiru.txt","先ず第一に名探偵が現れる。"
"20","sakaguchi","tanteishosetsuo_kiru.txt","この名探偵がいかにも思い入れよろしく、超人的にピタリ／＼とおやりになる。"
"21","sakaguchi","tanteishosetsuo_kiru.txt","すると、対照的にトンマな警部とか、探偵とかゞ現れて、この御両人の角突き合いが小説の半分ぐらい占めているというアンバイである。"
"22","sakaguchi","tanteishosetsuo_kiru.txt",""
"23","sakaguchi","tanteishosetsuo_kiru.txt","私は探偵小説の歴史などには疎いが、私のよんだ範囲では、だいたい、この形式はガボリオーで完成しているようである。"
