"","auth","piece","line"
"0","sakaguchi","tanteishosetsutowa.txt","探偵小説とは"
"1","sakaguchi","tanteishosetsutowa.txt","坂口安吾"
"2","sakaguchi","tanteishosetsutowa.txt",""
"3","sakaguchi","tanteishosetsutowa.txt","推理小説というものは、文学よりも、パズルの要素が多い。"
"4","sakaguchi","tanteishosetsutowa.txt",""
"5","sakaguchi","tanteishosetsutowa.txt","制作の方法から見ても、一般の文学と推理小説では根柢から違っている。"
"6","sakaguchi","tanteishosetsutowa.txt",""
"7","sakaguchi","tanteishosetsutowa.txt","一般に小説というものは、執筆に先立って、構想せられた一応の筋はあるけれども、書きすゝむうちに、かねての構想をみだして作中人物が勝手な行動を起し、おのずから展開発展して行くところに、文学の創作という意味もあるのであろう。"
"8","sakaguchi","tanteishosetsutowa.txt","予定の構想通りに書ききれたり割りきれてしまっては、創造という作業は行われない。"
"9","sakaguchi","tanteishosetsutowa.txt","なぜなら、文学は、自我の発見であり、常に予定をハミ出して、おのずからの生成展開が行われることによって、自我の発見とか創造というものが行われ得るのである。"
"10","sakaguchi","tanteishosetsutowa.txt",""
"11","sakaguchi","tanteishosetsutowa.txt","推理小説は、こうは行かない。"
"12","sakaguchi","tanteishosetsutowa.txt",""
"13","sakaguchi","tanteishosetsutowa.txt","犯人は誰で、如何なる理由によって、如何にして殺人を犯し、如何にアリバイをつくっておいたか、小説の最後に於て解き明かされる事柄が、構想の最初に於て、明確に、予定せられておらなければならず、執筆の途中で、作中人物が構想をハミだして勝手なことを始めたのでは、おさまりがつかない。"
"14","sakaguchi","tanteishosetsutowa.txt",""
"15","sakaguchi","tanteishosetsutowa.txt","つまり、実際に犯罪がすでに行われ、そこにヌキサシならぬ犯人がなければならぬタテマエなものを、執筆の途中から、犯人がスリ代っては、話にならない。"
"16","sakaguchi","tanteishosetsutowa.txt","予定をハミだすことのできない性質のものだ。"
"17","sakaguchi","tanteishosetsutowa.txt",""
"18","sakaguchi","tanteishosetsutowa.txt","だから、推理小説の原則は、文学よりも、パズルで、パズルとしてメンミツに計量され、構想された上で、それをヒックリ返して、書きすすめて行くものである。"
"19","sakaguchi","tanteishosetsutowa.txt",""
"20","sakaguchi","tanteishosetsutowa.txt","日本には、今まで、一口に探偵小説と称しても、主として怪奇小説であり、推理小説というものは殆ど行われていなかった。"
"21","sakaguchi","tanteishosetsutowa.txt",""
"22","sakaguchi","tanteishosetsutowa.txt","だいたい推理というものは、論理的な民族に愛好される性質のもので、日本古来の文化教養には論理性が不足していたから、推理小説も発達する地盤がなかったのかも知れない。"
"23","sakaguchi","tanteishosetsutowa.txt",""
"24","sakaguchi","tanteishosetsutowa.txt","一方に又、推理小説は職業化すると書けなくなるという性質がある。"
"25","sakaguchi","tanteishosetsutowa.txt","なぜなら、パズルというものがマンネリズムになっては、パズルの魅力を失うから、常に新手をあみださなければならぬ。"
"26","sakaguchi","tanteishosetsutowa.txt",""
"27","sakaguchi","tanteishosetsutowa.txt","ところが、パズルの新手は、すべての独創と同様に、自分の既成の視角を切りくずして、新角度を見出すところから始まるという性質のものであるから、一生涯に無限にあみだされるというものではない。"
"28","sakaguchi","tanteishosetsutowa.txt","まれにアガサ・クリスチィのような、一作ごとに新手を用い、多作しながら変化をつづける天才的な作家もありうるけれども、一般の作家は、こうは行かない。"
"29","sakaguchi","tanteishosetsutowa.txt","職業化して多作を強いられると、勢い推理小説以外の怪奇小説とか、スリル小説、ユーモア探偵というようなもので、お茶を濁すということになる。"
"30","sakaguchi","tanteishosetsutowa.txt",""
"31","sakaguchi","tanteishosetsutowa.txt","江戸川乱歩氏などは、日本の探偵作家に稀れな論理的な頭脳を持った作家で、彼の探偵小説批評、本陣殺人事件の批判などを見るとその資質を充分うかがい得るのであるが、そして又、彼の探偵作家としての初期の作品は極めて独創的な推理小説から出発しているのであるが、職業作家として多作を強いられて後は、怪奇小説に走らざるを得なくなった。"
"32","sakaguchi","tanteishosetsutowa.txt",""
"33","sakaguchi","tanteishosetsutowa.txt","もっとも、キングとか富士という大衆雑誌の読者にとっては、推理小説はうけいれられない。"
"34","sakaguchi","tanteishosetsutowa.txt","勢い怪奇小説になる。"
"35","sakaguchi","tanteishosetsutowa.txt","これは一つは編集者の責任だ。"
"36","sakaguchi","tanteishosetsutowa.txt","日本在来の娯楽雑誌の編集者は、推理小説を愛好するだけの趣味のひろさ、教養の高さがなかったのだ。"
