"","auth","piece","line"
"0","sakaguchi","tenohira_jiden.txt","てのひら自伝"
"1","sakaguchi","tenohira_jiden.txt","――わが略歴――"
"2","sakaguchi","tenohira_jiden.txt","坂口安吾"
"3","sakaguchi","tenohira_jiden.txt",""
"4","sakaguchi","tenohira_jiden.txt","私は私の意志によって生れてきたわけではないので、父を選ぶことも、母を選ぶこともできなかった。"
"5","sakaguchi","tenohira_jiden.txt",""
"6","sakaguchi","tenohira_jiden.txt","そういう限定は人間の一生につきまとっていることで、人間は仕方なしに何か一つずつ選ぶけれども、生活の地盤というものは人間の意志とは関係がない。"
"7","sakaguchi","tenohira_jiden.txt",""
"8","sakaguchi","tenohira_jiden.txt","人間は生れた時から人のふったサイコロで出てきた天来のかけの子供なのだから、我々の文化が自由意志などと大声シッタしてみても砂上楼閣、化けの皮がはげ、知識のあげくは不自由へかけ戻る。"
"9","sakaguchi","tenohira_jiden.txt","恋愛結婚を進歩的だといって、見合い結婚をバカにするが、恋愛などタカの知れたものだということがいずれ看破せられると、人まかせの見合い結婚、ここにはかけのスリルがあって、百年先の文化人のオモチャになるかも知れない。"
"10","sakaguchi","tenohira_jiden.txt",""
"11","sakaguchi","tenohira_jiden.txt","私の略歴などといったって、私は新潟市で生れ、定められた小学校から中学校、この中学を放校されて、このへんから私の選んだ必然の道というようになるけれども、やっぱり人のふったサイコロがつきまとっているので、私は履歴書みたいな略歴はサイコロをふる悪霊の奴に冷やかされているみたいでシャクだから、これは語らないことにする。"
"12","sakaguchi","tenohira_jiden.txt",""
"13","sakaguchi","tenohira_jiden.txt","私が小学校の時、野球をしてボールを追っかけていた目と鼻の間を皮をかすめて円盤が飛んで行った。"
"14","sakaguchi","tenohira_jiden.txt","次に私が中学の時、グランドに立っていたら、選手の投げやりがのびてきて後から私のひらいたももの間へ突ッ立った。"
"15","sakaguchi","tenohira_jiden.txt","私は今でも風をひいて高熱を発したりすると、この円盤とやりの追想に悩まされる。"
"16","sakaguchi","tenohira_jiden.txt",""
"17","sakaguchi","tenohira_jiden.txt","二十の時、一人の山登りに、谷底へ墜落、落ちて行く時、オヤオヤ死ぬな、と思った。"
"18","sakaguchi","tenohira_jiden.txt","悲しくなかった。"
"19","sakaguchi","tenohira_jiden.txt","ほんとだ。"
"20","sakaguchi","tenohira_jiden.txt","そしたら程へて気がついた。"
"21","sakaguchi","tenohira_jiden.txt","谷川の中で、私は水の上へ首だけだしていた。"
"22","sakaguchi","tenohira_jiden.txt","ふくらんだリュックのおかげであった。"
"23","sakaguchi","tenohira_jiden.txt",""
"24","sakaguchi","tenohira_jiden.txt","二十一の時、本を読みながら市内電車から降りたら自動車にハネ飛ばされたが、宙にグルグル一回転、頭を先に落っこったが、私は柔道の心得があり、先に手をつきながら落ちたので、頭の骨にヒビができただけで、助かった。"
"25","sakaguchi","tenohira_jiden.txt",""
"26","sakaguchi","tenohira_jiden.txt","私は二十七まで童貞だった。"
"27","sakaguchi","tenohira_jiden.txt",""
"28","sakaguchi","tenohira_jiden.txt","二十七か八のころから三年ほど人の女房だった女と生活したが、これからはもう散々で、円盤ややりや自動車の比ではない。"
"29","sakaguchi","tenohira_jiden.txt","窒息しなかったのが不思議至極で、思いだしても、心に暗幕がはられてしまう。"
"30","sakaguchi","tenohira_jiden.txt",""
"31","sakaguchi","tenohira_jiden.txt","その後はなるべく危険に遠ざかるよう心がけて今日まで長生きしてきたが、この心がけは要するに久米の仙人で、常日ごろ生命の危険におびやかされ通しでいるのは白状しなくともお分りだろう。"
"32","sakaguchi","tenohira_jiden.txt",""
"33","sakaguchi","tenohira_jiden.txt","お酒は二十六から飲んだが、通算して、まだ十五石ぐらいのものだろう。"
"34","sakaguchi","tenohira_jiden.txt",""
"35","sakaguchi","tenohira_jiden.txt",""
"36","sakaguchi","tenohira_jiden.txt",""
"37","sakaguchi","tenohira_jiden.txt",""
"38","sakaguchi","tenohira_jiden.txt","底本：「坂口安吾全集05」筑摩書房"
"39","sakaguchi","tenohira_jiden.txt","1998（平成10）年6月20日初版第1刷発行"
"40","sakaguchi","tenohira_jiden.txt","底本の親本：「文芸往来創刊号」"
"41","sakaguchi","tenohira_jiden.txt","1947（昭和22）年5月1日発行"
"42","sakaguchi","tenohira_jiden.txt","初出：「文芸往来創刊号」"
"43","sakaguchi","tenohira_jiden.txt","1947（昭和22）年5月1日発行"
"44","sakaguchi","tenohira_jiden.txt","入力：tatsuki"
"45","sakaguchi","tenohira_jiden.txt","校正：noriko saito"
"46","sakaguchi","tenohira_jiden.txt","2009年1月19日作成"
"47","sakaguchi","tenohira_jiden.txt","2016年4月15日修正"
"48","sakaguchi","tenohira_jiden.txt","青空文庫作成ファイル："
"49","sakaguchi","tenohira_jiden.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"50","sakaguchi","tenohira_jiden.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"51","sakaguchi","tenohira_jiden.txt",""
