"","auth","piece","line"
"0","sakaguchi","tensaini_narisokonatta_otoko.txt","天才になりそこなつた男の話"
"1","sakaguchi","tensaini_narisokonatta_otoko.txt","坂口安吾"
"2","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"3","sakaguchi","tensaini_narisokonatta_otoko.txt","-------------------------------------------------------"
"4","sakaguchi","tensaini_narisokonatta_otoko.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"6","sakaguchi","tensaini_narisokonatta_otoko.txt","《》：ルビ"
"7","sakaguchi","tensaini_narisokonatta_otoko.txt","（例）洵"
"8","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"9","sakaguchi","tensaini_narisokonatta_otoko.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","tensaini_narisokonatta_otoko.txt","（例）みる／＼"
"11","sakaguchi","tensaini_narisokonatta_otoko.txt","-------------------------------------------------------"
"12","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"13","sakaguchi","tensaini_narisokonatta_otoko.txt","東洋大学の学生だつたころ、丁度学年試験の最中であつたが、校門の前で電車から降りたところを自動車にはねとばされたことがあつた。"
"14","sakaguchi","tensaini_narisokonatta_otoko.txt","相当に運動神経が発達してゐるから、二三間空中に舞ひあがり途中一回転のもんどりを打つて落下したが、それでも左頭部をコンクリートへ叩きつけた。"
"15","sakaguchi","tensaini_narisokonatta_otoko.txt","頭蓋骨に亀裂がはいつて爾来二ヶ年水薬を飲みつゞけたが、当座は廃人になるんぢやないかと悩みつゞけて憂鬱であつた。"
"16","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"17","sakaguchi","tensaini_narisokonatta_otoko.txt","こんな話をきくと大概の人が御愁傷様でといふやうな似たりよつたりの顔付をするものだが、ところがこゝにたつた一人、私がこの話をしかけると豆鉄砲をくらつた鳩のやうに唖然として（これは喋つてゐる私の方も唖然とした）つづいて羨望のあまり長大息を洩らした男があつた。"
"18","sakaguchi","tensaini_narisokonatta_otoko.txt","菱山修三といふ詩人である。"
"19","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"20","sakaguchi","tensaini_narisokonatta_otoko.txt","この詩人が外国語学校を卒業したとき、朝日新聞へ入社試験を受けにいつた。"
"21","sakaguchi","tensaini_narisokonatta_otoko.txt","ところがこの男学生時代といふもの完全に新聞を読んだことがない。"
"22","sakaguchi","tensaini_narisokonatta_otoko.txt","書斎と学校の他には何一つ知らないのである。"
"23","sakaguchi","tensaini_narisokonatta_otoko.txt","丁度その年は満洲事変の勃発したばかりの頃で、街頭いたるところに襷掛けの中年婦人が千人針といふものを勧誘してゐる。"
"24","sakaguchi","tensaini_narisokonatta_otoko.txt","四方八方が肉弾三勇士のレコードでまことに物状騒然たる有様である。"
"25","sakaguchi","tensaini_narisokonatta_otoko.txt","そのうへ羅府のオリムピックでこれが又一景気だ。"
"26","sakaguchi","tensaini_narisokonatta_otoko.txt","先生戦争の方だけは街の様子で、どうやら近いところでやつてゐるなといふことを感づいてゐたらしい。"
"27","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"28","sakaguchi","tensaini_narisokonatta_otoko.txt","オリンピックの方は銀座の食堂の名前も知らないのだ。"
"29","sakaguchi","tensaini_narisokonatta_otoko.txt","新聞を読んだことがなくて新聞社へ試験を受けに出向いたといふ、勝負は始めから判つてゐるが、勿論美事に落第した。"
"30","sakaguchi","tensaini_narisokonatta_otoko.txt","羅府といへばオリンピック、それにハリウッドでも思ひだしておけばいいので、太平洋岸に面し気候温暖と書く奴は当節君一人だらうと私が大いに彼の迂闊をせめたところ、君そういふ悲しい世の中かねえといつて嘆いてゐたが、こういふ不思議な先生だから私が自動車にひかれたといふとギックリし、それからひどく羨ましがつた。"
"31","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"32","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"33","sakaguchi","tensaini_narisokonatta_otoko.txt","★"
"34","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"35","sakaguchi","tensaini_narisokonatta_otoko.txt","この男の意見によると古来の天才といふものは一列一体にその母親が不注意で、幼年時代に乳母車をひつくり返して頭を石に叩きつけるといふやうなことを例外なしにやつてゐるものだといふ。"
"36","sakaguchi","tensaini_narisokonatta_otoko.txt","つまり叩きつけた部分が音楽だとこれがモツアルトになりショパンになる。"
"37","sakaguchi","tensaini_narisokonatta_otoko.txt","そこで先生私を天才なみに祝福した。"
"38","sakaguchi","tensaini_narisokonatta_otoko.txt",""
"39","sakaguchi","tensaini_narisokonatta_otoko.txt","ところが世の中はよくできてゐる。"
"40","sakaguchi","tensaini_narisokonatta_otoko.txt","この詩人が四ヶ月ほど前自動車にひかれた。"
"41","sakaguchi","tensaini_narisokonatta_otoko.txt","なんでも夢のやうに歩いてゐて、しまつたと思ひながら自動車の曲る方へ自分も曲つてしまつたのを覚えてゐるといふが、私のやうに運動神経が発達してゐないから、やられ方が至つて地味でそのうへむごたらしい。"
"42","sakaguchi","tensaini_narisokonatta_otoko.txt","いきなりつんのめつて前頭部を強打した。"
"43","sakaguchi","tensaini_narisokonatta_otoko.txt","前額は頭蓋骨でも一番頑強な部分だから砕けなかつたが、これが左右とか後頭部なら完全に即死だつた。"
