"","auth","piece","line"
"0","sakaguchi","tokaino_nakano_koto.txt","都会の中の孤島"
"1","sakaguchi","tokaino_nakano_koto.txt","坂口安吾"
"2","sakaguchi","tokaino_nakano_koto.txt",""
"3","sakaguchi","tokaino_nakano_koto.txt","-------------------------------------------------------"
"4","sakaguchi","tokaino_nakano_koto.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","tokaino_nakano_koto.txt",""
"6","sakaguchi","tokaino_nakano_koto.txt","《》：ルビ"
"7","sakaguchi","tokaino_nakano_koto.txt","（例）午"
"8","sakaguchi","tokaino_nakano_koto.txt","-------------------------------------------------------"
"9","sakaguchi","tokaino_nakano_koto.txt",""
"10","sakaguchi","tokaino_nakano_koto.txt","アナタハン島の悲劇はむろん戦争がなければ起らなかった。"
"11","sakaguchi","tokaino_nakano_koto.txt","第一たがいに顔を知り合うこともなく、それぞれが相互に無関係の一生を送ったであろう。"
"12","sakaguchi","tokaino_nakano_koto.txt",""
"13","sakaguchi","tokaino_nakano_koto.txt","しかし、アナタハンのような事件そのものは、戦争がなければ起り得ない性質のものではない。"
"14","sakaguchi","tokaino_nakano_koto.txt",""
"15","sakaguchi","tokaino_nakano_koto.txt","一人の女をめぐって殺し合うのは、山奥の飯場のようなアナタハンに外見の似た土地柄でなくとも、都会の中でもザラにありうることだ。"
"16","sakaguchi","tokaino_nakano_koto.txt",""
"17","sakaguchi","tokaino_nakano_koto.txt","アナタハンには法律も刑事も存在しなかったから、各人の心理は我々とちがって開放的で、そこにおのずから差があった筈だと見るのもうがちすぎているようだ。"
"18","sakaguchi","tokaino_nakano_koto.txt",""
"19","sakaguchi","tokaino_nakano_koto.txt","三十人もの集団生活になれば、そこには自然に法律が生れる。"
"20","sakaguchi","tokaino_nakano_koto.txt","お互いの目が、それである。"
"21","sakaguchi","tokaino_nakano_koto.txt","むしろ、三十人といえば、各個人生活のサークル内の人員としては多すぎるぐらいのもので、一般に、我々のサヤ当ての背後に三十人もの目を感じることはなく、せいぜい数人ぐらいというのが都会生活に於てすらも普通であろう。"
"22","sakaguchi","tokaino_nakano_koto.txt",""
"23","sakaguchi","tokaino_nakano_koto.txt","都会の真ン中にだって、孤島の中のように生活している人はタクサンいるものだ。"
"24","sakaguchi","tokaino_nakano_koto.txt","彼や彼女らは、電車やバスなどに乗って勤めにでたり買物にでたりすることはあるが、それはヨソ行きの生活で、その個人生活は全く孤島の中のように暮している人は少くはない。"
"25","sakaguchi","tokaino_nakano_koto.txt",""
"26","sakaguchi","tokaino_nakano_koto.txt","そういう一人の例として、たとえばこの物語の女主人公のミヤ子（彼女の孤島的な生活圏内に於てはミヤ公とよばれている）をとりあげてみよう。"
"27","sakaguchi","tokaino_nakano_koto.txt",""
"28","sakaguchi","tokaino_nakano_koto.txt","彼女は東京の目貫き通りの一隅の一パイ飲み屋の女中であるが、新聞なぞは読んだことがない。"
"29","sakaguchi","tokaino_nakano_koto.txt","彼女が目をさますのは正午ちかいころで、夕刊の第一版がそろそろではじめる時分であるから、自然朝刊はすでに古新聞で、彼女の生活は時間的に新聞とずれてもいるが、彼女が新聞を読まない理由はそのせいではなくて、単に興味がないせいだ。"
"30","sakaguchi","tokaino_nakano_koto.txt",""
"31","sakaguchi","tokaino_nakano_koto.txt","新聞を読んでも自分に関係のある記事がでている筈はなく、そんなものを毎日キチンキチン読まないと生きてる気がしないような人々の生活の方が、彼女にとってはフシギに思われるぐらいであった。"
"32","sakaguchi","tokaino_nakano_koto.txt",""
"33","sakaguchi","tokaino_nakano_koto.txt","新聞には彼女に関係のある記事がでる筈がないから、といま述べたけれども、彼女の場合に於ては実は案外そうではないかも知れぬ。"
"34","sakaguchi","tokaino_nakano_koto.txt",""
"35","sakaguchi","tokaino_nakano_koto.txt","なるほどサラリーマンにとっては、やれ一万円ベースだの冷い戦争だのと、いかにも自分に密接な関係が有るようで無いような記事がでているけれども、めいめいの個人生活に直接の記事というものは一生に何度も見かけやしない。"
"36","sakaguchi","tokaino_nakano_koto.txt",""
"37","sakaguchi","tokaino_nakano_koto.txt","ところがミヤ子の場合は、たとえば彼女の情夫たちの名前なぞがいつ新聞に現れてもフシギではないのだ。"
"38","sakaguchi","tokaino_nakano_koto.txt",""
"39","sakaguchi","tokaino_nakano_koto.txt","グズ弁にしても、右平にしても、誰もタダモノだと思っていない。"
"40","sakaguchi","tokaino_nakano_koto.txt","ヤミ屋にしては金まわりが良すぎるし、その割に服装なぞが悪いから、右平の方は泥棒だろうということが定評になっている。"
"41","sakaguchi","tokaino_nakano_koto.txt","相当世間を騒がしているお尋ね者の一人じゃないか、否、十中八九その一人だという風にミヤ子自身も考えているのだ。"
"42","sakaguchi","tokaino_nakano_koto.txt",""
"43","sakaguchi","tokaino_nakano_koto.txt","そのくせミヤ子はいま世間ではどんなお尋ね者が騒がれているのだろうと知るために新聞を読む興味を起したことが一度もない。"
"44","sakaguchi","tokaino_nakano_koto.txt",""
"45","sakaguchi","tokaino_nakano_koto.txt","つまり右平が泥棒でも人殺しでもかまわないのだ。"
"46","sakaguchi","tokaino_nakano_koto.txt","そんなことには無関心なのだ。"
"47","sakaguchi","tokaino_nakano_koto.txt","世間的に何者であろうともかまわない。"
"48","sakaguchi","tokaino_nakano_koto.txt","グズ弁や右平の勤め先も住所も本名すらも彼女は知らない。"
"49","sakaguchi","tokaino_nakano_koto.txt","それが彼女の東京の真ン中に於ける日常生活であった。"
"50","sakaguchi","tokaino_nakano_koto.txt",""
"51","sakaguchi","tokaino_nakano_koto.txt","おまけに彼女はグズ弁からも右平からも熱烈に結婚を申込まれており、それに対して彼女の返答は同じように「あの人がいなければね……」ということであった。"
"52","sakaguchi","tokaino_nakano_koto.txt","つまり、一方が死ねばとは云わないけれども、居なければねということは存在しなければねということで、要するに殺せばそうなるという結論はギリギリのところそれしかない。"
"53","sakaguchi","tokaino_nakano_koto.txt","そして二人はたがいにそれを当然考えはじめているのであった。"
"54","sakaguchi","tokaino_nakano_koto.txt",""
"55","sakaguchi","tokaino_nakano_koto.txt","都会の中にも、農村にも、こんな孤島は方々にある。"
"56","sakaguchi","tokaino_nakano_koto.txt","そして、そこでも、アナタハンと同じような事件が奇も変もなく行われているのである。"
"57","sakaguchi","tokaino_nakano_koto.txt",""
"58","sakaguchi","tokaino_nakano_koto.txt",""
"59","sakaguchi","tokaino_nakano_koto.txt","★"
"60","sakaguchi","tokaino_nakano_koto.txt",""
"61","sakaguchi","tokaino_nakano_koto.txt","グズ弁はもう四十一であった。"
