"","auth","piece","line"
"0","sakaguchi","tsurishino_shinkyo.txt","釣り師の心境"
"1","sakaguchi","tsurishino_shinkyo.txt","坂口安吾"
"2","sakaguchi","tsurishino_shinkyo.txt",""
"3","sakaguchi","tsurishino_shinkyo.txt","-------------------------------------------------------"
"4","sakaguchi","tsurishino_shinkyo.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","tsurishino_shinkyo.txt",""
"6","sakaguchi","tsurishino_shinkyo.txt","《》：ルビ"
"7","sakaguchi","tsurishino_shinkyo.txt","（例）投網"
"8","sakaguchi","tsurishino_shinkyo.txt",""
"9","sakaguchi","tsurishino_shinkyo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","tsurishino_shinkyo.txt","（例）三十｜米"
"11","sakaguchi","tsurishino_shinkyo.txt",""
"12","sakaguchi","tsurishino_shinkyo.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"13","sakaguchi","tsurishino_shinkyo.txt","（例）わざ／＼"
"14","sakaguchi","tsurishino_shinkyo.txt","-------------------------------------------------------"
"15","sakaguchi","tsurishino_shinkyo.txt",""
"16","sakaguchi","tsurishino_shinkyo.txt","私は妙に魚釣りに縁のあるあたりに住んできたが、小田原で三日間ぐらい鮎釣りをした以外は魚を釣ったことがない。"
"17","sakaguchi","tsurishino_shinkyo.txt","先日もお医者さんから、早朝の魚釣りなどは健康によろしいから、とすゝめられたが、なるほど今住むところも、わざ／＼東京から釣りにくる人があって、それを目当てのボート屋などもある土地だが、釣りをする気持にはなれないのである。"
"18","sakaguchi","tsurishino_shinkyo.txt",""
"19","sakaguchi","tsurishino_shinkyo.txt","駅前のカストリ屋のオヤジは投網をもっていて、これも私を頻りに誘う。"
"20","sakaguchi","tsurishino_shinkyo.txt","私がキャッチボールをしていると、野球はカラダに毒ですよ、投網は健康ですぜ、と言う。"
"21","sakaguchi","tsurishino_shinkyo.txt",""
"22","sakaguchi","tsurishino_shinkyo.txt","「投網だって、投げるんじゃないか」"
"23","sakaguchi","tsurishino_shinkyo.txt","「ヘッヘッヘ。"
"24","sakaguchi","tsurishino_shinkyo.txt","理窟はいけません。"
"25","sakaguchi","tsurishino_shinkyo.txt","未明という時間に関係のある微妙な問題です」"
"26","sakaguchi","tsurishino_shinkyo.txt","このオヤジはむつかしいことを言うのが好きなのである。"
"27","sakaguchi","tsurishino_shinkyo.txt","私を取手という町へ住ませた本屋のオヤジも釣り狂で、むつかしいことを言うのが好きであった。"
"28","sakaguchi","tsurishino_shinkyo.txt","井伏鱒二なども微妙なことを言うのが好きであるから、釣り師の心境であるかも知れない。"
"29","sakaguchi","tsurishino_shinkyo.txt",""
"30","sakaguchi","tsurishino_shinkyo.txt","私は取手という町に一年あまり住んでいた。"
"31","sakaguchi","tsurishino_shinkyo.txt","利根川べりの小さい町で、本屋のオヤジはこゝをフナ釣りのメッカみたいなことを云っていたが、これを割引して考えても、魚というものは、よほど釣れない仕掛けになっているようである。"
"32","sakaguchi","tsurishino_shinkyo.txt",""
"33","sakaguchi","tsurishino_shinkyo.txt","この町へは、下村千秋と上泉秀信と本屋のオヤジがお揃いで、よく釣りにきた。"
"34","sakaguchi","tsurishino_shinkyo.txt","彼らは伊勢甚という旅館へ旅装をといて、そこの倅の案内で、釣れそうなところへ出掛けるのである。"
"35","sakaguchi","tsurishino_shinkyo.txt","私がこの町へ住むことになったのも、その関係で、あそこなら閑静だから仕事ができるだろうと本屋のオヤジがムリにすゝめたのであった。"
"36","sakaguchi","tsurishino_shinkyo.txt",""
"37","sakaguchi","tsurishino_shinkyo.txt","私ははじめお寺の境内の堂守みたいな六十ぐらいの婆さんが独りで住んでいる家へ間借りする筈であった。"
"38","sakaguchi","tsurishino_shinkyo.txt","伊勢甚のオカミサンがそうきめてくれたのである。"
"39","sakaguchi","tsurishino_shinkyo.txt","ところが私が本屋のオヤジにつれられて伊勢甚へ行くと、"
"40","sakaguchi","tsurishino_shinkyo.txt","「六十の婆サンでも、女は女だから、男女二人だけで一ツ家に住むのは後々が面倒になります。"
"41","sakaguchi","tsurishino_shinkyo.txt","別に探しますから、今夜はウチへ泊って下さい」"
"42","sakaguchi","tsurishino_shinkyo.txt","と云った。"
