"","auth","piece","line"
"0","sakaguchi","waga_seishinno_shui.txt","わが精神の周囲"
"1","sakaguchi","waga_seishinno_shui.txt","坂口安吾"
"2","sakaguchi","waga_seishinno_shui.txt",""
"3","sakaguchi","waga_seishinno_shui.txt","-------------------------------------------------------"
"4","sakaguchi","waga_seishinno_shui.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","waga_seishinno_shui.txt",""
"6","sakaguchi","waga_seishinno_shui.txt","《》：ルビ"
"7","sakaguchi","waga_seishinno_shui.txt","（例）呉々も"
"8","sakaguchi","waga_seishinno_shui.txt",""
"9","sakaguchi","waga_seishinno_shui.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","waga_seishinno_shui.txt","（例）二十五｜米"
"11","sakaguchi","waga_seishinno_shui.txt",""
"12","sakaguchi","waga_seishinno_shui.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","waga_seishinno_shui.txt","（例）なして"
"14","sakaguchi","waga_seishinno_shui.txt","-------------------------------------------------------"
"15","sakaguchi","waga_seishinno_shui.txt",""
"16","sakaguchi","waga_seishinno_shui.txt","まえがき（小稿の主旨）"
"17","sakaguchi","waga_seishinno_shui.txt",""
"18","sakaguchi","waga_seishinno_shui.txt","私がアドルム中毒で病院を退院したのは、この四月二十日頃であったと記憶する。"
"19","sakaguchi","waga_seishinno_shui.txt","退院に際して担当の千谷さんから、秋までは仕事をしないように。"
"20","sakaguchi","waga_seishinno_shui.txt","転地してノンビリ遊んで暮しなさい、という忠告をうけた。"
"21","sakaguchi","waga_seishinno_shui.txt","私もなるべくこの忠告に従いたいと思ったが、私が鬱病の傾向を起したのは、昨年夏からのことで、それからズッと殆ど仕事をしていない。"
"22","sakaguchi","waga_seishinno_shui.txt","私は病気と闘った。"
"23","sakaguchi","waga_seishinno_shui.txt","旅行。"
"24","sakaguchi","waga_seishinno_shui.txt","覚醒剤。"
"25","sakaguchi","waga_seishinno_shui.txt","そして、睡るためのアドルム。"
"26","sakaguchi","waga_seishinno_shui.txt",""
"27","sakaguchi","waga_seishinno_shui.txt","昨年夏から、この春の入院まで、私が精神の衰弱と闘いながら書きつゞけたのは「にっぽん物語」又は「スキヤキから一つの歴史がはじまる」という妙な題で新潮に発表されたもの、並びに未発表の続稿、合せて千枚ちかいものがあるだけ。"
"28","sakaguchi","waga_seishinno_shui.txt","この未発表の部分は未定稿で、よほど手を入れなければ発表のできないものであった。"
"29","sakaguchi","waga_seishinno_shui.txt","しかし、未定稿の部分を加えても、私の意図している小説の三分の一にも達していない。"
"30","sakaguchi","waga_seishinno_shui.txt",""
"31","sakaguchi","waga_seishinno_shui.txt","この小説の妙な題名は、私が入院中に無断発表されたため起ったもので、この小説の主たる題名は今もって私の念頭に定まるものがない。"
"32","sakaguchi","waga_seishinno_shui.txt","私は題名などのことで考える意志がないからであった。"
"33","sakaguchi","waga_seishinno_shui.txt",""
"34","sakaguchi","waga_seishinno_shui.txt","つまり「にっぽん物語」というのは、この小説に主たる題名がないところから雑誌社が無断掲載に際して自ら作ったものであるが、それならばそれで押してくれゝば宜しいものを、気が咎めたのか、主たる題名を小さく、「スキヤキから一つの歴史がはじまる」という題を大きくつけた。"
"35","sakaguchi","waga_seishinno_shui.txt",""
"36","sakaguchi","waga_seishinno_shui.txt","私が雑誌社へ渡した部分は、この小説の第一章の「その一」だけで、せめて雑誌社としては、第一章の題をもって主たる題名に代えたかったであろうが、これまた不都合なことに「一九二八―」という未定の題名が第一章につけられており、使いものにならなかったのである。"
"37","sakaguchi","waga_seishinno_shui.txt","そこで、仕方なしに、第一章中の「その一」をもってきて、主たる題名の如くに大きく扱った。"
"38","sakaguchi","waga_seishinno_shui.txt","それが「スキヤキから一つの歴史がはじまる」という妙なものなのである。"
"39","sakaguchi","waga_seishinno_shui.txt","第一章中の「その一」だけの題だから、こんな奇妙な題名もありうるが、さもなければ、こんな題をつけるバカがいる筈のものではない。"
"40","sakaguchi","waga_seishinno_shui.txt","この部分は、新潮の三、五、六、七月号に分載された。"
"41","sakaguchi","waga_seishinno_shui.txt",""
"42","sakaguchi","waga_seishinno_shui.txt","私にとっては、題名は「にっぽん物語」でもよかったのである。"
"43","sakaguchi","waga_seishinno_shui.txt","それは雑誌社も承知しており、私は常々、よい題名がありさえすれば、なんとつけても宜しい、と云い云いしていたことであった。"
"44","sakaguchi","waga_seishinno_shui.txt","だから妙に遠慮せず、ハッキリと「にっぽん物語」と題をつけてくれた方がよかったのである。"
"45","sakaguchi","waga_seishinno_shui.txt","新潮社が遠慮すべき点は、ほかに在った。"
"46","sakaguchi","waga_seishinno_shui.txt","それは、私の承諾を得ずに、発表してはいけない、という一事であった。"
"47","sakaguchi","waga_seishinno_shui.txt",""
