"","auth","piece","line"
"0","sakaguchi","watashino_go.txt","私の碁"
"1","sakaguchi","watashino_go.txt","坂口安吾"
"2","sakaguchi","watashino_go.txt",""
"3","sakaguchi","watashino_go.txt","-------------------------------------------------------"
"4","sakaguchi","watashino_go.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","watashino_go.txt",""
"6","sakaguchi","watashino_go.txt","《》：ルビ"
"7","sakaguchi","watashino_go.txt","（例）国府津"
"8","sakaguchi","watashino_go.txt","-------------------------------------------------------"
"9","sakaguchi","watashino_go.txt",""
"10","sakaguchi","watashino_go.txt","塩入三段と岩谷社長とフラリときて挑戦するのを迎えうって、僕が塩入三段に勝った。"
"11","sakaguchi","watashino_go.txt","これを雑誌にのせるという、まことに醜態で、恥を天下にさらす、あさましい話である。"
"12","sakaguchi","watashino_go.txt",""
"13","sakaguchi","watashino_go.txt","私があんまり布石にヘタクソで、二十目ちかいダンゴ石が出来上った始末だから、塩入三段も驚いた様子で、あんまり勝っちゃ気の毒だと気を許したところをツケこんで向う脛を払ったような碁だから、私はもとより勝った気はしていないのである。"
"14","sakaguchi","watashino_go.txt",""
"15","sakaguchi","watashino_go.txt","今度やっては、もはや五目じゃ、とても勝てないだろう。"
"16","sakaguchi","watashino_go.txt","私は専門棋士とやると、たいがい第一局は勝つことになっている。"
"17","sakaguchi","watashino_go.txt",""
"18","sakaguchi","watashino_go.txt","つまり私の布石がデタラメで、序盤にトンマな石ばかり打つから、みんな気の毒がって気をゆるめる。"
"19","sakaguchi","watashino_go.txt","すると唐突に向う脛を蹴とばす。"
"20","sakaguchi","watashino_go.txt","いつも、たいがいそのデンで、第一局をモノにする。"
"21","sakaguchi","watashino_go.txt","第二局から碁の性格を見破られるから、気の毒がったり気をゆるめてくれなくなり、私は結局、もう一目、よけい置かないと勝負にならない結末となる習いなのである。"
"22","sakaguchi","watashino_go.txt",""
"23","sakaguchi","watashino_go.txt","私も七八年前は然るべき先生に教えてもらったこともあるのだけれども、戦争中の約三年間、ほかにすることがなくなって、毎日碁会所へ入りびたり、僕のすむ蒲田というところは乱戦の勇士ぞろいの行儀の悪い力持ちの碁打ちばかりそろったところで、軍需会社の職工に一級二級ぐらいの打ち手は相当いるが、腕ッ節専門の立廻り派ばかり、そういう人々と三年間立廻りに耽っていたから、僕はもう布石も序盤もない。"
"24","sakaguchi","watashino_go.txt","人の石を殺しに行くことしか知らない行儀の悪い碁になってしまった。"
"25","sakaguchi","watashino_go.txt","むかしは、もうチョット、上品であった。"
"26","sakaguchi","watashino_go.txt",""
"27","sakaguchi","watashino_go.txt","僕はこの春、文人囲碁で一日碁を打ったことがあるほかにはこのまる一年半、ゆっくりした気持ちで石を握ったことはないのである。"
"28","sakaguchi","watashino_go.txt",""
"29","sakaguchi","watashino_go.txt","尤もこの春ひどく疲れて豊島与志雄さんを訪ねて十番碁をやり常先に打ちこまれ、国府津で泥酔して尾崎一雄とやって互先に打ちこまれ、勝ったのは村松梢風さんにだけ。"
"30","sakaguchi","watashino_go.txt","全然意気があがらなくなってしまった。"
"31","sakaguchi","watashino_go.txt",""
"32","sakaguchi","watashino_go.txt","むかしは碁の素性もいくらか良かったけれども、腕ッ節もたしかにもっと強かった筈で、ちかごろの弱腕、まことに残念千万である。"
"33","sakaguchi","watashino_go.txt","時々、頭を休める一二時間に碁石を握れるような環境があるといいが、ともかく、ボツボツ暇々に練習をつんで、もうチョット恥をかかずにすむような碁力を養いたいと思っている。"
"34","sakaguchi","watashino_go.txt",""
"35","sakaguchi","watashino_go.txt",""
"36","sakaguchi","watashino_go.txt",""
"37","sakaguchi","watashino_go.txt",""
"38","sakaguchi","watashino_go.txt","底本：「坂口安吾全集07」筑摩書房"
"39","sakaguchi","watashino_go.txt","1998（平成10）年8月20日初版第1刷発行"
"40","sakaguchi","watashino_go.txt","底本の親本：「定本坂口安吾全集第七巻」冬樹社"
"41","sakaguchi","watashino_go.txt","1967（昭和42）年11月"
"42","sakaguchi","watashino_go.txt","初出：「囲碁春秋第二巻第一二号」"
"43","sakaguchi","watashino_go.txt","1948（昭和23）年12月1日発行"
"44","sakaguchi","watashino_go.txt","入力：tatsuki"
"45","sakaguchi","watashino_go.txt","校正：砂場清隆"
"46","sakaguchi","watashino_go.txt","2008年3月4日作成"
"47","sakaguchi","watashino_go.txt","青空文庫作成ファイル："
"48","sakaguchi","watashino_go.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"49","sakaguchi","watashino_go.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"50","sakaguchi","watashino_go.txt",""
