"","auth","piece","line"
"0","sakaguchi","watashino_shosetsu.txt","私の小説"
"1","sakaguchi","watashino_shosetsu.txt","坂口安吾"
"2","sakaguchi","watashino_shosetsu.txt",""
"3","sakaguchi","watashino_shosetsu.txt","-------------------------------------------------------"
"4","sakaguchi","watashino_shosetsu.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","watashino_shosetsu.txt",""
"6","sakaguchi","watashino_shosetsu.txt","《》：ルビ"
"7","sakaguchi","watashino_shosetsu.txt","（例）而して"
"8","sakaguchi","watashino_shosetsu.txt",""
"9","sakaguchi","watashino_shosetsu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","watashino_shosetsu.txt","（例）今日｜屡々"
"11","sakaguchi","watashino_shosetsu.txt","-------------------------------------------------------"
"12","sakaguchi","watashino_shosetsu.txt",""
"13","sakaguchi","watashino_shosetsu.txt","近頃の編輯者は芸なしぞろひで、今年になつてから、私に、私の小説の弁明を書けと言つてきた新聞、雑誌が、合計二十ほどあるのである。"
"14","sakaguchi","watashino_shosetsu.txt","新聞雑誌の数にくらべて二十は少い数なのか知らないが、たつた一ヶ月といふ短かい期間に、東西南北、別々の編輯室の窓の下で智恵をしぼつたあげくに、二十人の編輯者が同じ原稿をたのみにくるとは、無芸大食、大食は否応なしに封じられてゐるかも知れぬが、流線型といふ感じではない。"
"15","sakaguchi","watashino_shosetsu.txt",""
"16","sakaguchi","watashino_shosetsu.txt","私は世間知らずで、書斎と一軒の居酒屋の外は知らないのだから、私はその時まで、私が情痴作家とよばれてゐることなど、知らなかつた。"
"17","sakaguchi","watashino_shosetsu.txt","呆れたことには、女坂口安吾とよばれてゐる女流情痴作家がゐるといふフザケた話だから、私も遂にギョッとして、女舟橋は誰ですか、ときいたら、その編輯者は訝しげに目をまるくして、そんなのはゐません、といふ。"
"18","sakaguchi","watashino_shosetsu.txt","私は、また、ギョッとした。"
"19","sakaguchi","watashino_shosetsu.txt",""
"20","sakaguchi","watashino_shosetsu.txt","先着順に二つだけ書くことにして、二つ目がこの原稿なのだが、書きたくないからと断つても、暫くたつと、忘れたふりをしてやつてきて、悠々たるもの、さすがに堂々たる武者ぶり、新大阪は人材がゐますよ。"
"21","sakaguchi","watashino_shosetsu.txt",""
"22","sakaguchi","watashino_shosetsu.txt","私は生れつきツキアヒの良い性分なので、先方が情痴作家ときめこんで来てくれてゐるのに、いやさうぢやない、私はプラトンの流れをくむアテナイの市民です、などといふアコギな扱ひはできないたちなのだ。"
"23","sakaguchi","watashino_shosetsu.txt",""
"24","sakaguchi","watashino_shosetsu.txt","正直なところ、私は人の評判を全然気にかけてゐない。"
"25","sakaguchi","watashino_shosetsu.txt","情痴作家、エロ作家、なんとでも言ふがいいのである。"
"26","sakaguchi","watashino_shosetsu.txt","読む方の勝手だ。"
"27","sakaguchi","watashino_shosetsu.txt","かう読め、ああ読めと、一々指図のできるものではないのだ。"
"28","sakaguchi","watashino_shosetsu.txt",""
"29","sakaguchi","watashino_shosetsu.txt","文学といふものはさういふもので、読む人によつて、どういふ解釈もできる。"
"30","sakaguchi","watashino_shosetsu.txt","私の小説が情痴小説だと思ふのは先方の勝手だけれど、然し、これだけは知らねばならぬ。"
"31","sakaguchi","watashino_shosetsu.txt","つまり一つの小説に無数の解釈が成立つのだから、一つの解釈だけが真実ではないといふことだ。"
"32","sakaguchi","watashino_shosetsu.txt","私が情痴作家だといふ。"
"33","sakaguchi","watashino_shosetsu.txt","ところが、案外、さう読んだ読者の方が情痴読者かも知れぬ。"
"34","sakaguchi","watashino_shosetsu.txt","読者は私を情痴作者だといふし、私は読者を情痴読者だといふ。"
"35","sakaguchi","watashino_shosetsu.txt","別に法廷へ持ちだすまでのことはない。"
"36","sakaguchi","watashino_shosetsu.txt","裁判官はちやんとゐる。"
"37","sakaguchi","watashino_shosetsu.txt","歴史だ。"
"38","sakaguchi","watashino_shosetsu.txt","我々はつまらぬことをいふ必要はない。"
"39","sakaguchi","watashino_shosetsu.txt","証拠書類は全部出してあるのだから。"
"40","sakaguchi","watashino_shosetsu.txt","曰く、小説。"
