"","auth","piece","line"
"0","sakaguchi","watashino_tanteishosetsu.txt","私の探偵小説"
"1","sakaguchi","watashino_tanteishosetsu.txt","坂口安吾"
"2","sakaguchi","watashino_tanteishosetsu.txt",""
"3","sakaguchi","watashino_tanteishosetsu.txt","-------------------------------------------------------"
"4","sakaguchi","watashino_tanteishosetsu.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","watashino_tanteishosetsu.txt",""
"6","sakaguchi","watashino_tanteishosetsu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"7","sakaguchi","watashino_tanteishosetsu.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"8","sakaguchi","watashino_tanteishosetsu.txt","（例）愈※"
"9","sakaguchi","watashino_tanteishosetsu.txt","-------------------------------------------------------"
"10","sakaguchi","watashino_tanteishosetsu.txt",""
"11","sakaguchi","watashino_tanteishosetsu.txt","私は少年時代から探偵小説の愛好者であったが、日本で発行されたほぼ全部の探偵小説を読むに至ったのは戦争のおかげであった。"
"12","sakaguchi","watashino_tanteishosetsu.txt",""
"13","sakaguchi","watashino_tanteishosetsu.txt","戦争中は酒も飲めなくなり、遊ぶ所もなくなり、雑誌もなくなって小説を書く当もなくなったから、残されたのは読書だけ。"
"14","sakaguchi","watashino_tanteishosetsu.txt","私はその頃「現代文学」という集りの同人であったが、この同人の中で探偵小説の愛好者が集って、犯人の当てっこをやりだした。"
"15","sakaguchi","watashino_tanteishosetsu.txt",""
"16","sakaguchi","watashino_tanteishosetsu.txt","この方法は、解決のところを切りとったり、糸で縫いつけておいて、回覧して犯人の当てっこをする。"
"17","sakaguchi","watashino_tanteishosetsu.txt","平野謙が最も成績優秀で、大井広介、荒正人は怖るべき敵ではないようだったが、私は然し、犯人をピタリと当てたのは二ツぐらいしかなかった。"
"18","sakaguchi","watashino_tanteishosetsu.txt",""
"19","sakaguchi","watashino_tanteishosetsu.txt","探偵小説作家と試合したら、とても勝てないだろうな、と平野名人も謙遜していたが、私はそうじゃないと思う。"
"20","sakaguchi","watashino_tanteishosetsu.txt","江戸川乱歩、木々高太郎氏等でも、むろん僕では太刀打はできないけれども、平野謙の方が犯人を当てる率が多いと私は思う。"
"21","sakaguchi","watashino_tanteishosetsu.txt",""
"22","sakaguchi","watashino_tanteishosetsu.txt","これは作家と批評家との根柢的な相違があるので、作家というものは常々自分自身で何かを編みだす立場だから、公式をはみだしていつも可能性の中を散歩している。"
"23","sakaguchi","watashino_tanteishosetsu.txt","江戸川乱歩氏は大勉強家で古今東西の探偵小説に通じているけれども、公式で割切ることが根柢に失われていて、いつも無限の可能性の中にいる筈と思われる。"
"24","sakaguchi","watashino_tanteishosetsu.txt","批評家は本来公式で割切る人であり、特に平野名人の如く、系列だの分類というものが生れついて身についている特異体質の悪童は、可能性などという余計な邪魔物に全然患わされるところがないから、黙って坐ればピタリと当てるというように、犯人を当ててしまうのである。"
"25","sakaguchi","watashino_tanteishosetsu.txt",""
"26","sakaguchi","watashino_tanteishosetsu.txt","この犯人の当てっこをやって私が驚いたのは、日本の作家の作品には、このゲームに適する作品が全然ないということだった。"
"27","sakaguchi","watashino_tanteishosetsu.txt","ミステリイの要素が主で、推理は従である。"
"28","sakaguchi","watashino_tanteishosetsu.txt","浜尾四郎氏の作品や「船富家の惨劇」などは推理小説だけれども無理が多い。"
"29","sakaguchi","watashino_tanteishosetsu.txt","これは日本の法律とか警察制度とか風俗習慣が全然外国と違っているのに外国流を直輸入して無理に当てはめるための破綻で、怪しい奴は有無を言わさずみんなブタ箱へ入れておいて、証拠などは二の次に白状させるという習慣が厳存しているのだから、名探偵登場の余地がなかったのも尤もな次第であった。"
"30","sakaguchi","watashino_tanteishosetsu.txt",""
"31","sakaguchi","watashino_tanteishosetsu.txt","私は然し探偵小説を愛好するのはその推理に於てで、従って、私は探偵小説をゲームと解している。"
"32","sakaguchi","watashino_tanteishosetsu.txt","作者と読者の智恵比べ、ゲームというように。"
"33","sakaguchi","watashino_tanteishosetsu.txt",""
"34","sakaguchi","watashino_tanteishosetsu.txt","だから専門の知識を必要としなければ謎の解けないような作品は上等品とは思われないので、たとえばある毒薬の特別の性質が鍵である場合には、その特質をちゃんと与えておいて、それでも尚、読者と智恵を競い得るだけの用意がなければならぬと考える。"
"35","sakaguchi","watashino_tanteishosetsu.txt",""
"36","sakaguchi","watashino_tanteishosetsu.txt","だから殺人の方法などは、短刀で刺す、ピストルで打つ、なぐり殺す、しめ殺す、毒殺する、なるべく単純であるべきで、謎は殺し方の複雑さなどにあるのじゃなくて、アリバイにある。"
"37","sakaguchi","watashino_tanteishosetsu.txt","又、犯人でありうる多様な人物を組み合せて、そのいずれもが疑惑を晴らし得ないような条件を設定するというようなところに主として手腕を要するのじゃないかと思う。"
"38","sakaguchi","watashino_tanteishosetsu.txt",""
"39","sakaguchi","watashino_tanteishosetsu.txt","そして愈※解決となった際、特に殺人の動機が読者を納得せしめなければ、作品は落第だ。"
"40","sakaguchi","watashino_tanteishosetsu.txt","又、その動機も隠されていたのでは話の外で、あらかじめ、読者に与えられているものでなければならない。"
"41","sakaguchi","watashino_tanteishosetsu.txt",""
"42","sakaguchi","watashino_tanteishosetsu.txt","私は以上のようなことをゲームのルールとして探偵小説を読むものだから、この見方で最上級の作家と見られるのはアガサ・クリスチイ、次にヴァン・ダイン、次にクイーンというような順で、クリスチイは諸作概して全部フェアであり、ヴァン・ダインでは、「グリーン家」が頭抜けており、クイーンでは「Ｙの悲劇」が彼の作なら（江戸川氏からおうかがいした）これは探偵小説史の最高峰たる名作だ。"
"43","sakaguchi","watashino_tanteishosetsu.txt","その他では「観光船殺人事件」、古い物では「黄色の部屋」や「ルコック探偵」などは忘れ難いものだろう。"
"44","sakaguchi","watashino_tanteishosetsu.txt",""
"45","sakaguchi","watashino_tanteishosetsu.txt","私は目下横溝氏の「獄門島」を愛読しているが、我々読者の休養のひとときに愉しいゲームを与えてくれる名作の続々たる登場を希望してやまない。"
"46","sakaguchi","watashino_tanteishosetsu.txt",""
"47","sakaguchi","watashino_tanteishosetsu.txt","私自身もそのうち一つだけ探偵小説を書くつもりで、その節は大いに愛好者諸氏とゲームを戦わすつもりである。"
"48","sakaguchi","watashino_tanteishosetsu.txt","戦争中考えていたので、八人も人が死ぬので、長くなるので却々時間がなくて書きだす機会がない。"
"49","sakaguchi","watashino_tanteishosetsu.txt","そして私はあいにくこの一つだけしかゲームの種を持ち合していない。"
"50","sakaguchi","watashino_tanteishosetsu.txt","その節は私の方から読者に賞品を賭けましょう。"
"51","sakaguchi","watashino_tanteishosetsu.txt",""
"52","sakaguchi","watashino_tanteishosetsu.txt",""
"53","sakaguchi","watashino_tanteishosetsu.txt",""
"54","sakaguchi","watashino_tanteishosetsu.txt",""
"55","sakaguchi","watashino_tanteishosetsu.txt","底本：「坂口安吾選集第八巻小説8」講談社"
