"","auth","piece","line"
"0","sakaguchi","watasiwa_umio_dakishimete.txt","私は海をだきしめてゐたい"
"1","sakaguchi","watasiwa_umio_dakishimete.txt","坂口安吾"
"2","sakaguchi","watasiwa_umio_dakishimete.txt",""
"3","sakaguchi","watasiwa_umio_dakishimete.txt","-------------------------------------------------------"
"4","sakaguchi","watasiwa_umio_dakishimete.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","watasiwa_umio_dakishimete.txt",""
"6","sakaguchi","watasiwa_umio_dakishimete.txt","《》：ルビ"
"7","sakaguchi","watasiwa_umio_dakishimete.txt","（例）真逆様"
"8","sakaguchi","watasiwa_umio_dakishimete.txt",""
"9","sakaguchi","watasiwa_umio_dakishimete.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","watasiwa_umio_dakishimete.txt","（例）ビク／＼"
"11","sakaguchi","watasiwa_umio_dakishimete.txt","-------------------------------------------------------"
"12","sakaguchi","watasiwa_umio_dakishimete.txt",""
"13","sakaguchi","watasiwa_umio_dakishimete.txt","一"
"14","sakaguchi","watasiwa_umio_dakishimete.txt",""
"15","sakaguchi","watasiwa_umio_dakishimete.txt","私はいつも神様の国へ行かうとしながら地獄の門を潜つてしまふ人間だ。"
"16","sakaguchi","watasiwa_umio_dakishimete.txt","ともかく私は始めから地獄の門をめざして出掛ける時でも、神様の国へ行かうといふことを忘れたことのない甘つたるい人間だつた。"
"17","sakaguchi","watasiwa_umio_dakishimete.txt","私は結局地獄といふものに戦慄したためしはなく、馬鹿のやうにたわいもなく落付いてゐられるくせに、神様の国を忘れることが出来ないといふ人間だ。"
"18","sakaguchi","watasiwa_umio_dakishimete.txt","私は必ず、今に何かにひどい目にヤッツケられて、叩きのめされて、甘つたるいウヌボレのグウの音も出なくなるまで、そしてほんとに足すべらして真逆様に落されてしまふ時があると考へてゐた。"
"19","sakaguchi","watasiwa_umio_dakishimete.txt",""
"20","sakaguchi","watasiwa_umio_dakishimete.txt","私はずるいのだ。"
"21","sakaguchi","watasiwa_umio_dakishimete.txt","悪魔の裏側に神様を忘れず、神様の陰で悪魔と住んでゐるのだから。"
"22","sakaguchi","watasiwa_umio_dakishimete.txt","今に、悪魔にも神様にも復讐されると信じてゐた。"
"23","sakaguchi","watasiwa_umio_dakishimete.txt","けれども、私だつて、馬鹿は馬鹿なりに、ここまで何十年か生きてきたのだから、ただは負けない。"
"24","sakaguchi","watasiwa_umio_dakishimete.txt","そのときこそ刀折れ、矢尽きるまで、悪魔と神様を相手に組打ちもするし、蹴とばしもするし、めつたやたらに乱戦乱闘してやらうと悲愴な覚悟をかためて、生きつづけてきたのだ。"
"25","sakaguchi","watasiwa_umio_dakishimete.txt","ずゐぶん甘つたれてゐるけれども、ともかく、いつか、化の皮がはげて、裸にされ、毛をむしられて、突き落される時を忘れたことだけはなかつたのだ。"
"26","sakaguchi","watasiwa_umio_dakishimete.txt",""
"27","sakaguchi","watasiwa_umio_dakishimete.txt","利巧な人は、それもお前のずるさのせいだと言ふだらう。"
"28","sakaguchi","watasiwa_umio_dakishimete.txt","私は悪人です、と言ふのは、私は善人ですと、言ふことよりもずるい。"
"29","sakaguchi","watasiwa_umio_dakishimete.txt","私もさう思ふ。"
"30","sakaguchi","watasiwa_umio_dakishimete.txt","でも、何とでも言ふがいいや。"
"31","sakaguchi","watasiwa_umio_dakishimete.txt","私は、私自身の考へることも一向に信用してはゐないのだから。"
"32","sakaguchi","watasiwa_umio_dakishimete.txt",""
"33","sakaguchi","watasiwa_umio_dakishimete.txt",""
"34","sakaguchi","watasiwa_umio_dakishimete.txt","二"
"35","sakaguchi","watasiwa_umio_dakishimete.txt",""
"36","sakaguchi","watasiwa_umio_dakishimete.txt","私は然し、ちかごろ妙に安心するやうになつてきた。"
"37","sakaguchi","watasiwa_umio_dakishimete.txt","うつかりすると、私は悪魔にも神様にも蹴とばされず、裸にされず、毛をむしられず、無事安穏にすむのぢやないかと変に思ひつく時があるやうになつた。"
"38","sakaguchi","watasiwa_umio_dakishimete.txt",""
"39","sakaguchi","watasiwa_umio_dakishimete.txt","さういふ安心を私に与へるのは、一人の女であつた。"
"40","sakaguchi","watasiwa_umio_dakishimete.txt","この女はうぬぼれの強い女で頭が悪くて、貞操の観念がないのである。"
"41","sakaguchi","watasiwa_umio_dakishimete.txt","私はこの女の外のどこも好きではない。"
"42","sakaguchi","watasiwa_umio_dakishimete.txt","ただ肉体が好きなだけだ。"
"43","sakaguchi","watasiwa_umio_dakishimete.txt",""
"44","sakaguchi","watasiwa_umio_dakishimete.txt","全然貞操の観念が欠けてゐた。"
"45","sakaguchi","watasiwa_umio_dakishimete.txt","苛々すると自転車に乗つて飛びだして、帰りには膝小僧だの腕のあたりから血を流してくることがあつた。"
"46","sakaguchi","watasiwa_umio_dakishimete.txt","ガサツな慌て者だから、衝突したり、ひつくり返つたりするのである。"
"47","sakaguchi","watasiwa_umio_dakishimete.txt","そのことは血を見れば分るけれども、然し血の流れぬやうなイタヅラを誰とどこでしてきたかは、私には分らない。"
"48","sakaguchi","watasiwa_umio_dakishimete.txt","分らぬけれども、想像はできるし、又、事実なのだ。"
"49","sakaguchi","watasiwa_umio_dakishimete.txt",""
"50","sakaguchi","watasiwa_umio_dakishimete.txt","この女は昔は女郎であつた。"
