"","auth","piece","line"
"0","sakaguchi","yamirongo.txt","ヤミ論語"
"1","sakaguchi","yamirongo.txt","坂口安吾"
"2","sakaguchi","yamirongo.txt",""
"3","sakaguchi","yamirongo.txt","-------------------------------------------------------"
"4","sakaguchi","yamirongo.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","yamirongo.txt",""
"6","sakaguchi","yamirongo.txt","《》：ルビ"
"7","sakaguchi","yamirongo.txt","（例）輿論"
"8","sakaguchi","yamirongo.txt",""
"9","sakaguchi","yamirongo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","yamirongo.txt","（例）男女同権｜未し"
"11","sakaguchi","yamirongo.txt","-------------------------------------------------------"
"12","sakaguchi","yamirongo.txt",""
"13","sakaguchi","yamirongo.txt","世は道化芝居"
"14","sakaguchi","yamirongo.txt",""
"15","sakaguchi","yamirongo.txt","自宅へ強盗を手引きした青年があったと思うと、人数も同じ四人組で自宅で強盗した絹香さんという二十一の娘が現れた。"
"16","sakaguchi","yamirongo.txt",""
"17","sakaguchi","yamirongo.txt","トリスタン・ベルナールの作品だかに、知らないウチは勝手が分らぬ、それに見つかった時、変テコリンで困らア、というので知人のウチへ稼ぎにはいるマヌケな素人泥棒の道化芝居があった。"
"18","sakaguchi","yamirongo.txt",""
"19","sakaguchi","yamirongo.txt","これも一つの心理であろう。"
"20","sakaguchi","yamirongo.txt","知らないウチは確かに勝手が悪い。"
"21","sakaguchi","yamirongo.txt","知人のウチは勝手がわかるが、自分のウチなら、これは気心が知れ、これぐらい心易いところはない。"
"22","sakaguchi","yamirongo.txt",""
"23","sakaguchi","yamirongo.txt","元々不良少年少女の悪のはじまりは、自宅の物を盗んで小遣いにするのが型であるが、いよいよ本職にと発心して、しからば、気心知れたわが家へ、となるのは不自然ではない。"
"24","sakaguchi","yamirongo.txt",""
"25","sakaguchi","yamirongo.txt","道化芝居というものは、有り得べくして、有りうべからざる珍妙のために、人々が笑ってくれて成り立つものであるが、ちかごろは、道化の題材が普通の現実になった。"
"26","sakaguchi","yamirongo.txt",""
"27","sakaguchi","yamirongo.txt","エエイッ、死んでもいいや、というので、怪しきアルコールをガブリとやってオダブツとある。"
"28","sakaguchi","yamirongo.txt","悲愴であるが、新派悲劇じゃなくて、道化芝居のネタである。"
"29","sakaguchi","yamirongo.txt",""
"30","sakaguchi","yamirongo.txt","国会で小便をおやりになる。"
"31","sakaguchi","yamirongo.txt","元大臣が天プラ御殿の主人となり、かねて気心知ったる官僚高官がヤミ天をおあがりになる。"
"32","sakaguchi","yamirongo.txt","世耕情報、尺祭り、節電盗電、日本は目下、あげて道化芝居である。"
"33","sakaguchi","yamirongo.txt",""
"34","sakaguchi","yamirongo.txt","帝銀事件で十二人死んだ。"
"35","sakaguchi","yamirongo.txt","強盗が何人殺した。"
"36","sakaguchi","yamirongo.txt","然しボロ電車が予定によってヒックリ返ったり火をだしたり、何人殺しても、こういう予定の殺人は何んでもないことになっている。"
"37","sakaguchi","yamirongo.txt","愉快な殺人ルールである。"
"38","sakaguchi","yamirongo.txt",""
"39","sakaguchi","yamirongo.txt","説教強盗氏が世相をガイタンされて、昔の盗人は仁義があった、とおっしゃる。"
"40","sakaguchi","yamirongo.txt","盗人の仁義というイロハガルタはなかったが、これをマジメに書く新聞記者の頭がおかしい。"
"41","sakaguchi","yamirongo.txt",""
"42","sakaguchi","yamirongo.txt","道化的なるものをマジメに扱い、世相に意味をもたせて強調するから煽るだけの話で、道化に仕立てる、悪事の荘厳や現実感がなくなるから、素人は魅力を失う。"
"43","sakaguchi","yamirongo.txt",""
"44","sakaguchi","yamirongo.txt","昔、キリシタン退治の頃、信徒をハリツケ、火アブリにかける。"
