"","auth","piece","line"
"0","sakaguchi","yaneurano_hannin.txt","屋根裏の犯人"
"1","sakaguchi","yaneurano_hannin.txt","――『鼠の文づかい』より――"
"2","sakaguchi","yaneurano_hannin.txt","坂口安吾"
"3","sakaguchi","yaneurano_hannin.txt",""
"4","sakaguchi","yaneurano_hannin.txt","-------------------------------------------------------"
"5","sakaguchi","yaneurano_hannin.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","yaneurano_hannin.txt",""
"7","sakaguchi","yaneurano_hannin.txt","《》：ルビ"
"8","sakaguchi","yaneurano_hannin.txt","（例）午"
"9","sakaguchi","yaneurano_hannin.txt",""
"10","sakaguchi","yaneurano_hannin.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","yaneurano_hannin.txt","（例）松田｜播磨掾"
"12","sakaguchi","yaneurano_hannin.txt",""
"13","sakaguchi","yaneurano_hannin.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","sakaguchi","yaneurano_hannin.txt","（例）晦日風呂"
"15","sakaguchi","yaneurano_hannin.txt",""
"16","sakaguchi","yaneurano_hannin.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","yaneurano_hannin.txt","（例）いろ／＼"
"18","sakaguchi","yaneurano_hannin.txt","-------------------------------------------------------"
"19","sakaguchi","yaneurano_hannin.txt",""
"20","sakaguchi","yaneurano_hannin.txt","晦日風呂"
"21","sakaguchi","yaneurano_hannin.txt",""
"22","sakaguchi","yaneurano_hannin.txt","その日は大晦日です。"
"23","sakaguchi","yaneurano_hannin.txt","何者か戸を叩く音に、ヤモメ暮しの気易さ、午ちかくまで寝ていた医者の妙庵先生、起きて戸をあけると、"
"24","sakaguchi","yaneurano_hannin.txt","「エエ、伊勢屋源兵衛から参りましたが、本日はお風呂をたてましたので例年の通り御案内にあがりました。"
"25","sakaguchi","yaneurano_hannin.txt","どうぞお運び下さいまし」"
"26","sakaguchi","yaneurano_hannin.txt","「では本日は伊勢屋の煤はらいか」"
"27","sakaguchi","yaneurano_hannin.txt","「ヘエ、左様で。"
"28","sakaguchi","yaneurano_hannin.txt","例年は十二月の十三日に行う慣いでしたが、当年に限って忙しかったので大晦日に致しました。"
"29","sakaguchi","yaneurano_hannin.txt","そろそろ湯のわくころでございます」"
"30","sakaguchi","yaneurano_hannin.txt","「それは御苦労であった。"
"31","sakaguchi","yaneurano_hannin.txt","ちょうどいま起きたところだから、茶漬けをかッこんで朝風呂をちょうだい致そう」"
"32","sakaguchi","yaneurano_hannin.txt","使いの者を返して湯をわかし、冷飯を茶漬けにして食事をすませると、伊勢屋へでかけました。"
"33","sakaguchi","yaneurano_hannin.txt",""
"34","sakaguchi","yaneurano_hannin.txt","この伊勢屋では、年に一度、煤はらいの日に風呂をたきます。"
"35","sakaguchi","yaneurano_hannin.txt","その日になると、まず檀那寺から祝い物の笹竹を月の数だけ十二本もらってくる。"
"36","sakaguchi","yaneurano_hannin.txt","これで煤をはらって、用ずみの竹は屋根の押えに使います。"
"37","sakaguchi","yaneurano_hannin.txt","タダの物をさがしだしていろ／＼と役に立てるのが伊勢屋源兵衛の寝た間も頭を去らぬ心得で、この煤はらいの当日に一年に一度の風呂をたくにも、五月節句のチマキの皮やお盆に飾った蓮の葉なぞと他の使い道のないものを段々とためておいて、これで焚きます。"
"38","sakaguchi","yaneurano_hannin.txt",""
"39","sakaguchi","yaneurano_hannin.txt","こういう風呂ですから、家族の者だけが身体を洗って捨てるようなことはしません。"
"40","sakaguchi","yaneurano_hannin.txt","妙庵先生は自分から薬代を要求しない人ですから患者の方から見つくろって礼物をさしあげる。"
"41","sakaguchi","yaneurano_hannin.txt","そこで伊勢屋では一年に一度の風呂をさしあげます。"
"42","sakaguchi","yaneurano_hannin.txt","物の効用は無限であって、それを発見した者はタダで無限の効用を利用することができます。"
"43","sakaguchi","yaneurano_hannin.txt",""
"44","sakaguchi","yaneurano_hannin.txt","妙庵先生が伊勢屋へ参りますと、店さきの土間に風呂桶をすえて、源兵衛さんの母親が釜たきをしている。"
"45","sakaguchi","yaneurano_hannin.txt","風呂桶は年に一度しか使わないから、ふだんは土蔵にしまっておきます。"
"46","sakaguchi","yaneurano_hannin.txt",""
"47","sakaguchi","yaneurano_hannin.txt","「ようこそおいで下さいました。"
"48","sakaguchi","yaneurano_hannin.txt","ただいま湯カゲンを見ましょう」"
"49","sakaguchi","yaneurano_hannin.txt","「これは御隠居、いたみ入りますな」"
"50","sakaguchi","yaneurano_hannin.txt","「昨晩やすむ前にこの風呂桶を土蔵から出してすえまして、今朝は暗いうちから私が焚きつけておりますが、早いもので、もう沸きましたようです。"
"51","sakaguchi","yaneurano_hannin.txt","薪をたいて急いで風呂をわかそうなんて方もあるようですが、それじゃア夜と昼とがあるという意味がありませんね。"
"52","sakaguchi","yaneurano_hannin.txt","夜を用いて焚きつけますと、午すぎる頃にはもうチャンとこうして風呂がわいております。"
"53","sakaguchi","yaneurano_hannin.txt","ちょうどよろしいようですが、カサのある物を一たきして、熱いめに致しましょう」"
"54","sakaguchi","yaneurano_hannin.txt","「これはオモテナシかたじけない」"
"55","sakaguchi","yaneurano_hannin.txt","「この木履は私が十八の年、当家へお嫁入りのとき長持に入れて持って参ったもので、歯がちびたのはいつの頃からでしたか。"
"56","sakaguchi","yaneurano_hannin.txt","雨の日も雪の日もこれをはきまして、早いもので、五十三年になります。"
"57","sakaguchi","yaneurano_hannin.txt","私一代はこの一足で埒をあけるつもりでしたが、惜しいじゃありませんか。"
"58","sakaguchi","yaneurano_hannin.txt","野良犬に片方とられて、今日是非もなく煙にしなければなりません。"
"59","sakaguchi","yaneurano_hannin.txt","一代に二足も下駄をはこうなどとは、この年まで夢にも思わなかったのに、なさけなや、ナムアミダブツ」"
"60","sakaguchi","yaneurano_hannin.txt","それで片輪の木履をすぐ釜に投げこむかと思うと、そうではありません。"
"61","sakaguchi","yaneurano_hannin.txt","またそれを顔ちかく引きよせて打ちながめ、同じくりごとを五度ほどくりかえしてから、やっと釜の中へ投げすてました。"
"62","sakaguchi","yaneurano_hannin.txt",""
"63","sakaguchi","yaneurano_hannin.txt","一年分の薬代を一度の風呂ですませるのが不足どころかオツリがタップリあるらしい様子。"
"64","sakaguchi","yaneurano_hannin.txt","さても怖しい風呂、これにつかって長命しなければフシギというものだと妙庵先生おそるおそる足を入れようとすると、たいそう、ぬるい。"
"65","sakaguchi","yaneurano_hannin.txt","ふだん風呂にはいりつけないから、湯カゲンも知らないらしい。"
"66","sakaguchi","yaneurano_hannin.txt","ふと隠居を見やると、折しも隠居は泪をハラハラと膝にこぼしていられるところ。"
"67","sakaguchi","yaneurano_hannin.txt",""
"68","sakaguchi","yaneurano_hannin.txt","「ああ月日のたつのは、ほんとに夢のようだこと。"
"69","sakaguchi","yaneurano_hannin.txt","明日はもう一周忌になるが、ほんとに惜しいことをしました」"
"70","sakaguchi","yaneurano_hannin.txt","妙庵先生これを耳にとめてフシギがり、"
"71","sakaguchi","yaneurano_hannin.txt","「して元日にどなたが死去されましたか」"
"72","sakaguchi","yaneurano_hannin.txt","「アラ。"
"73","sakaguchi","yaneurano_hannin.txt","いいえ。"
"74","sakaguchi","yaneurano_hannin.txt","とんだ歎きをお耳に入れましたが、私がいかに愚痴になればとて、人が死んだぐらいで、こう歎きは致しません。"
"75","sakaguchi","yaneurano_hannin.txt","去年の元旦に妹が年賀に参りまして、銀一包みお年玉にくれましたが、あまりの嬉しさに神ダナにあげて拝んでおりましたのを、見ていた者がいたんですね。"
"76","sakaguchi","yaneurano_hannin.txt","その夜のうちに盗まれてしまったのです。"
"77","sakaguchi","yaneurano_hannin.txt","いろいろと諸神に願をかけましたが、その甲斐もなく、さる人の申されるには、山伏に祈ってもらうと七日のうちに必ず失せ物がでるとのことに、さっそく山伏を訪ねましたところ……」"
"78","sakaguchi","yaneurano_hannin.txt","こう云いかけてワッと泣きくずれてしまいました。"
"79","sakaguchi","yaneurano_hannin.txt","悲歎の様は一様のものではありません。"
"80","sakaguchi","yaneurano_hannin.txt","深いワケがありそうですから、"
"81","sakaguchi","yaneurano_hannin.txt","「それはお気の毒な。"
"82","sakaguchi","yaneurano_hannin.txt","して、山伏を訪ねたところ、どういうことになりましたか」"
"83","sakaguchi","yaneurano_hannin.txt","「ハイ。"
"84","sakaguchi","yaneurano_hannin.txt","世にこれほど口惜しいことがございましょうか」"
"85","sakaguchi","yaneurano_hannin.txt","隠居は泪ながらに当時のことを語ってきかせました。"
"86","sakaguchi","yaneurano_hannin.txt",""
"87","sakaguchi","yaneurano_hannin.txt",""
"88","sakaguchi","yaneurano_hannin.txt","お神隠し"
"89","sakaguchi","yaneurano_hannin.txt",""
"90","sakaguchi","yaneurano_hannin.txt","山伏は隠居の話をきき終ると、"
"91","sakaguchi","yaneurano_hannin.txt","「よろしい。"
"92","sakaguchi","yaneurano_hannin.txt","それでは祈ってあげるが、まず、これへ来なさい」"
"93","sakaguchi","yaneurano_hannin.txt","とゴマ壇の前へみちびきました。"
"94","sakaguchi","yaneurano_hannin.txt","燈明をともして、フスマをしめきると、昼の光はみなさえぎられて、物音も遠ざかり沈々と深夜がよみがえったようでした。"
"95","sakaguchi","yaneurano_hannin.txt",""
"96","sakaguchi","yaneurano_hannin.txt","「さて、御隠居。"
"97","sakaguchi","yaneurano_hannin.txt","山伏の祈りは、一祈りに身の毛は三本、身の脂は一滴と申して、おのが寿命をちぢめて祈る。"
"98","sakaguchi","yaneurano_hannin.txt","祈りの数を重ねてついに身の毛身の脂が尽きはてたときには、その場にアッと叫び、ちょうど熊野のカラスが血を吐いて死するように、五穴から身の血を吐いて絶命いたす定めでござる。"
"99","sakaguchi","yaneurano_hannin.txt","さればバンリバリバリと珠数もみくだき、真言秘密のダラニを声高に唱え、身の毛を逆立てて祈るときには、祈りのかなわぬということはない。"
"100","sakaguchi","yaneurano_hannin.txt","祈りかなって七日のうちに失せ物の現われるときには、それ、その御幣がおのずからに動きだし、また燈明がおのずから消滅いたす。"
"101","sakaguchi","yaneurano_hannin.txt","それが大願成就の知らせでござる。"
"102","sakaguchi","yaneurano_hannin.txt","よろしいか。"
"103","sakaguchi","yaneurano_hannin.txt","よッく目をとめて見ておられよ」"
"104","sakaguchi","yaneurano_hannin.txt","今でも山伏に火渡りの行事がありますが、山伏は火を渡り風をよび雲にのって通行する。"
"105","sakaguchi","yaneurano_hannin.txt","病気も治すし、魔物も払う。"
"106","sakaguchi","yaneurano_hannin.txt","山伏の法力というものは、昔は諸人に信ぜられ怖れられていたものです。"
"107","sakaguchi","yaneurano_hannin.txt",""
"108","sakaguchi","yaneurano_hannin.txt","易者とちがって、失せ物はこれこれの方角にありますなぞと云うのじゃなくて、法力によって七日のうちに出してみせますと云うのだから、その祈りはすさまじく、身の毛がよだつようです。"
"109","sakaguchi","yaneurano_hannin.txt",""
"110","sakaguchi","yaneurano_hannin.txt","身をふるわせて珠数もみくだき、はては錫杖を突きたてて、悪魔すらもハッタと祈り伏せんばかり。"
"111","sakaguchi","yaneurano_hannin.txt",""
"112","sakaguchi","yaneurano_hannin.txt","荒々しい祈りが静まると、フシギや。"
"113","sakaguchi","yaneurano_hannin.txt","おのずからに御幣がコトコトとうごきだし、燈明がチョロチョロとまたたいてパッと消えた。"
"114","sakaguchi","yaneurano_hannin.txt","あとは真の闇。"
"115","sakaguchi","yaneurano_hannin.txt","大願成就の知らせとは云え、その怖しさと云ったらありません。"
"116","sakaguchi","yaneurano_hannin.txt",""
"117","sakaguchi","yaneurano_hannin.txt","「アア有りがたや。"
"118","sakaguchi","yaneurano_hannin.txt","末世とは大のイツワリ。"
"119","sakaguchi","yaneurano_hannin.txt","神仏はあるものよ。"
"120","sakaguchi","yaneurano_hannin.txt","怖しや、有りがたや」"
"121","sakaguchi","yaneurano_hannin.txt","と隠居は財布のヒモをほどいて、定めのお初穂百二十文敬々しく差上げて立ち帰りました。"
"122","sakaguchi","yaneurano_hannin.txt","ところが待てど暮らせど失せ物は現れません。"
"123","sakaguchi","yaneurano_hannin.txt","七日はおろか、ついに一周忌がくるというのに、現われなかったのです。"
"124","sakaguchi","yaneurano_hannin.txt",""
"125","sakaguchi","yaneurano_hannin.txt",""
"126","sakaguchi","yaneurano_hannin.txt","損の上の損"
"127","sakaguchi","yaneurano_hannin.txt",""
"128","sakaguchi","yaneurano_hannin.txt","妙庵先生、下情に通じているばかりでなく、一通りは古典にも通じ、またオランダ渡りの鑑識にも通じております。"
