"","auth","piece","line"
"0","sakaguchi","yokuboni_tsuite.txt","欲望について"
"1","sakaguchi","yokuboni_tsuite.txt","――プレヴォとラクロ――"
"2","sakaguchi","yokuboni_tsuite.txt","坂口安吾"
"3","sakaguchi","yokuboni_tsuite.txt",""
"4","sakaguchi","yokuboni_tsuite.txt","-------------------------------------------------------"
"5","sakaguchi","yokuboni_tsuite.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","yokuboni_tsuite.txt",""
"7","sakaguchi","yokuboni_tsuite.txt","《》：ルビ"
"8","sakaguchi","yokuboni_tsuite.txt","（例）活計"
"9","sakaguchi","yokuboni_tsuite.txt",""
"10","sakaguchi","yokuboni_tsuite.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","yokuboni_tsuite.txt","（例）物質精神｜相食み"
"12","sakaguchi","yokuboni_tsuite.txt","-------------------------------------------------------"
"13","sakaguchi","yokuboni_tsuite.txt",""
"14","sakaguchi","yokuboni_tsuite.txt","私は昔から家庭といふものに疑ひをいだいてゐた。"
"15","sakaguchi","yokuboni_tsuite.txt","愛する人と家庭をつくりたいのも人の本能であるかも知れぬが、この家庭を否応なく、陰鬱に、死に至るまで守らねばならぬか、どうか。"
"16","sakaguchi","yokuboni_tsuite.txt","なぜ、それが美徳であるのか。"
"17","sakaguchi","yokuboni_tsuite.txt","勤倹の精神とか困苦耐乏の精神とか、さういふ美徳と同じやうに、実際は美徳よりも悪徳にちかいものではないかといふ気が、私にはしてならなかつた。"
"18","sakaguchi","yokuboni_tsuite.txt",""
"19","sakaguchi","yokuboni_tsuite.txt","多くの人々の家庭はたのしい棲家よりも、私にはむしろ牢獄といふ感じがする。"
"20","sakaguchi","yokuboni_tsuite.txt","そしてなぜ耐乏が美徳であるかと同じやうに、この陰鬱な家庭に就ても、人々は、それが美徳であり、その陰鬱さに堪へ、むしろ暗さの中に楽しみを見出すことが人生の大事であるといふ風に馴らされてきた。"
"21","sakaguchi","yokuboni_tsuite.txt","たゞ「馴らされてきた」のだとしか思ふことができなかつた。"
"22","sakaguchi","yokuboni_tsuite.txt",""
