"","auth","piece","line"
"0","sakaguchi","yonagahimeto_mimio.txt","夜長姫と耳男"
"1","sakaguchi","yonagahimeto_mimio.txt","坂口安吾"
"2","sakaguchi","yonagahimeto_mimio.txt",""
"3","sakaguchi","yonagahimeto_mimio.txt","-------------------------------------------------------"
"4","sakaguchi","yonagahimeto_mimio.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","yonagahimeto_mimio.txt",""
"6","sakaguchi","yonagahimeto_mimio.txt","《》：ルビ"
"7","sakaguchi","yonagahimeto_mimio.txt","（例）青笠"
"8","sakaguchi","yonagahimeto_mimio.txt",""
"9","sakaguchi","yonagahimeto_mimio.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","yonagahimeto_mimio.txt","（例）天下｜名題のホトケ"
"11","sakaguchi","yonagahimeto_mimio.txt",""
"12","sakaguchi","yonagahimeto_mimio.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","yonagahimeto_mimio.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","sakaguchi","yonagahimeto_mimio.txt","（例）※"
"15","sakaguchi","yonagahimeto_mimio.txt",""
"16","sakaguchi","yonagahimeto_mimio.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","yonagahimeto_mimio.txt","（例）マザ／＼と思い知らされた"
"18","sakaguchi","yonagahimeto_mimio.txt","-------------------------------------------------------"
"19","sakaguchi","yonagahimeto_mimio.txt",""
"20","sakaguchi","yonagahimeto_mimio.txt","オレの親方はヒダ随一の名人とうたわれたタクミであったが、夜長の長者に招かれたのは、老病で死期の近づいた時だった。"
"21","sakaguchi","yonagahimeto_mimio.txt","親方は身代りにオレをスイセンして、"
"22","sakaguchi","yonagahimeto_mimio.txt","「これはまだ二十の若者だが、小さいガキのころからオレの膝元に育ち、特に仕込んだわけでもないが、オレが工夫の骨法は大過なく会得している奴です。"
"23","sakaguchi","yonagahimeto_mimio.txt","五十年仕込んでも、ダメの奴はダメのものさ。"
"24","sakaguchi","yonagahimeto_mimio.txt","青笠や古釜にくらべると巧者ではないかも知れぬが、力のこもった仕事をしますよ。"
"25","sakaguchi","yonagahimeto_mimio.txt","宮を造ればツギ手や仕口にオレも気附かぬ工夫を編みだしたこともあるし、仏像を刻めば、これが小僧の作かと訝かしく思われるほど深いイノチを現します。"
