"","auth","piece","line"
"0","sakaguchi","yowa_benmeisu.txt","余はベンメイす"
"1","sakaguchi","yowa_benmeisu.txt","坂口安吾"
"2","sakaguchi","yowa_benmeisu.txt",""
"3","sakaguchi","yowa_benmeisu.txt","-------------------------------------------------------"
"4","sakaguchi","yowa_benmeisu.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","yowa_benmeisu.txt",""
"6","sakaguchi","yowa_benmeisu.txt","《》：ルビ"
"7","sakaguchi","yowa_benmeisu.txt","（例）由"
"8","sakaguchi","yowa_benmeisu.txt",""
"9","sakaguchi","yowa_benmeisu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","yowa_benmeisu.txt","（例）目下｜訊問"
"11","sakaguchi","yowa_benmeisu.txt","-------------------------------------------------------"
"12","sakaguchi","yowa_benmeisu.txt",""
"13","sakaguchi","yowa_benmeisu.txt","先日朝日評論のＯ氏現れ、開口一番、舟橋聖一のところには日に三人の暴力団が参上する由だが、こちらはどうですか、と言う。"
"14","sakaguchi","yowa_benmeisu.txt","こちらはそんなものが来たことがない。"
"15","sakaguchi","yowa_benmeisu.txt","来る筈もないではありませんか。"
"16","sakaguchi","yowa_benmeisu.txt",""
"17","sakaguchi","yowa_benmeisu.txt","東京新聞のＹ先生（なぜなら彼は僕の碁の師匠だから）が現れての話でも、世間ではもっぱら情痴作家と云ってますが、御感想いかが、と言う。"
"18","sakaguchi","yowa_benmeisu.txt","すると、それから、西海と東海と東京と三つの雑誌と新聞から同じようなことを言ってきて、私の立場に就いて、弁明しろと言う。"
"19","sakaguchi","yowa_benmeisu.txt","弁明など考えたこともないから、しろと云っても、無理だ。"
"20","sakaguchi","yowa_benmeisu.txt",""
"21","sakaguchi","yowa_benmeisu.txt","朝日評論のＯ氏も弁明を書けという。"
"22","sakaguchi","yowa_benmeisu.txt","まるでどうも、私が東京裁判情痴部というようなところへ引きだされて目下｜訊問を受けているようにきめこんでいる様子で、私も恐縮したが、まったく馬鹿げた話である。"
"23","sakaguchi","yowa_benmeisu.txt",""
"24","sakaguchi","yowa_benmeisu.txt","こうきめつけられては、てれてニヤニヤする以外に手がなくなって、そうかね、私は情痴作家ですか、などと云うと、知友の筈のＹ先生まで、舟橋・織田も情痴作家とよばれることを厭がりますね、などと取りすましている。"
"25","sakaguchi","yowa_benmeisu.txt","とりつく島がない。"
"26","sakaguchi","yowa_benmeisu.txt",""
"27","sakaguchi","yowa_benmeisu.txt","いつだったか新潮社のＳ青年が現れて、サルトルは社会的責任を負うと声明していますが、あなたは如何という。"
"28","sakaguchi","yowa_benmeisu.txt","この方はハッキリしていて気に入ったから、勿論だ、牢屋へでもなんでも這入る、と威勢のいいところを見せて、ソクラテスを気取ったものだ。"
"29","sakaguchi","yowa_benmeisu.txt","じゃ、あなたも声明を書きませんか、ときたから、私も憤然として、そんなこと書くのはヤボというものだ、作家が自分の言葉に責任を負うのは当然ではないですか、決闘して死んだ男もあるですよ（ホントかね）。"
"30","sakaguchi","yowa_benmeisu.txt","あんまり見上げたことではないが自殺した先生方も多々あるです。"
"31","sakaguchi","yowa_benmeisu.txt","僕など生きることしか手を知らないのだから、酒となり肉体となり、時には荘周先生の如く蝶ともなれば、ここに幻術の限りをつくして辛くも生きているにすぎない。"
"32","sakaguchi","yowa_benmeisu.txt","あに牢獄を、絞り首を怖れんや。"
"33","sakaguchi","yowa_benmeisu.txt","絞り首は恐入るけれども話の景気というもので、ザッとこういうぐあいに御返事申上げた。"
"34","sakaguchi","yowa_benmeisu.txt","だいたいサルトルが書いたから私にも書けとは乱暴な。"
"35","sakaguchi","yowa_benmeisu.txt","先日酔っ払って意識不明のところを読売新聞の先生方に誤魔化されて読みもしないサルトルにつき一席口上を書いたのが運の尽きで、改造だの青磁社だのまだ出来上らないサルトルの飜訳のゲラ刷だの原稿だの飛び上るような部厚な奴を届けて汝あくまで読めという。"
"36","sakaguchi","yowa_benmeisu.txt","これ実に、人泣かせの退屈きわまる本ですよ。"
"37","sakaguchi","yowa_benmeisu.txt","街頭で酒店で会う人ごとにサルトルはいかがとくる。"
"38","sakaguchi","yowa_benmeisu.txt","まるで私が今サルトルと別れてフランスから帰ったような有様だから、私もつい癪にさわって、うん、シロで、サルトルとシャンパンにカレイのヒレを落してオカンをした奴をのんだよ、うまくなかったね、然し実存主義よりはいくらか清潔な飲み物でした、などと言う。"
"39","sakaguchi","yowa_benmeisu.txt","すると中には、へえ、シロってのは何ですか。"
"40","sakaguchi","yowa_benmeisu.txt","君シロを知らないですか。"
"41","sakaguchi","yowa_benmeisu.txt","プルウスト先生行きつけのパリきっての上品なレストランです。"
"42","sakaguchi","yowa_benmeisu.txt","ここでシャンパンを飲んだのは日本人で拙者ぐらいのものですよ、とおどかす。"
"43","sakaguchi","yowa_benmeisu.txt","すると、へえ、あなたが、と云って、私の行きつけの怪しき飲み屋の怪しき構えを改めてジロジロ見まわしたり、又は私の怪しき洋服に目をつけたりする。"
"44","sakaguchi","yowa_benmeisu.txt","巴里へいついらっしゃったんですか、ときくから、君冗談じゃないぜ、僕は日本にいくらもいやしないよ、戦争になって、やむなく交換船で追い返されてきたのだ、実存主義なんて八、九年前に僕がモンマルトルの屋根裏で寝言のつもりで言いだして、今はもう忘れてしまったんだ。"
"45","sakaguchi","yowa_benmeisu.txt","執念深く覚えているのはサルトルぐらいのものだぜ、と云って、あとはクダをまいてしまう、というテイタラクである。"
"46","sakaguchi","yowa_benmeisu.txt",""
"47","sakaguchi","yowa_benmeisu.txt","作家は弁明を書くべき性質のものではない。"
"48","sakaguchi","yowa_benmeisu.txt","書くが如くに行い、行うごとく書き、わが生存、わが生き方がそこに捧げられているのであるから、他の何物を怖れるよりも、自我自らを偽ることを怖れるものであり、すべてが厳たる自我の責任のもとに書き表されていること、元より言うまでもない。"
"49","sakaguchi","yowa_benmeisu.txt","社会的責任の如き屁の河童ではないですか。"
"50","sakaguchi","yowa_benmeisu.txt","論ずるだけがヤボであり、そういう文学以前の問題にかかずらって一席弁じるサルトル先生も情ない先生だが、作家に向い弁明などと注文せられる向きの編輯者諸先生は先ず以て三思三省せらるべし。"
"51","sakaguchi","yowa_benmeisu.txt",""
"52","sakaguchi","yowa_benmeisu.txt","諸君は各々の家に於て日常何をしておられるか？思うに諸君（以下、君の中には女の方も入れてありますから）は、父であり、母であり、子であり、良人であり、細君であり、恋人であり、諸君も亦、男女の道を行われること当然ではないか。"
"53","sakaguchi","yowa_benmeisu.txt","かかる私事は之を人前にさらけだすべきものではなく、礼儀に於て、常識に於て、そうである如く、如何なる破壊混乱の時代に於ても、かかる表出は礼儀化されぬ性質のものであるかも知れない。"
"54","sakaguchi","yowa_benmeisu.txt","貝原益軒先生は只今房事中と来客を断られた由であるが、私はこういう聖人賢者は好きではない。"
"55","sakaguchi","yowa_benmeisu.txt","こんなところは何も正直に言うことはないさ。"
"56","sakaguchi","yowa_benmeisu.txt","只今所用があるからぐらいで充分で、こういう惨めな正直づらは、私はイヤだ。"
"57","sakaguchi","yowa_benmeisu.txt",""
"58","sakaguchi","yowa_benmeisu.txt","文学はこういう芸のない正直とは違う。"
"59","sakaguchi","yowa_benmeisu.txt","こういう時には嘘をつく人生を建前とするのが文学のもとめる真実です。"
"60","sakaguchi","yowa_benmeisu.txt",""
"61","sakaguchi","yowa_benmeisu.txt","だが、諸君は各々の私事に於て、正しいこと、自ら省みて正しいと信ずることを行っていられるか。"
"62","sakaguchi","yowa_benmeisu.txt","諸君は信じておるかも知れぬ。"
"63","sakaguchi","yowa_benmeisu.txt","然し、それが、自ら省みること不足のせいであり、自ら知ること足らざるせいであることを、そうではないと断言し得るや。"
"64","sakaguchi","yowa_benmeisu.txt","カトリックに於ては、善人は天国へ、悪人は地獄へ、生れたばかりの赤ん坊は煉獄（ピュルガトワル）へ行きます。"
"65","sakaguchi","yowa_benmeisu.txt","日本では普通、煉獄を地獄よりももっと悪い所のように考えているが大間違いで、ピュルガトワルとは天国と地獄の中間、即ち善ならず悪ならず、無の世界で、赤ん坊は善悪に関せざる無だから赴く。"
"66","sakaguchi","yowa_benmeisu.txt","私自身の宗教に於ては、赤ん坊だけではない、自ら省みて恥なしなどという健康者はみんな煉獄へ送ってしまう。"
"67","sakaguchi","yowa_benmeisu.txt","人間の真似をしている人形だから。"
"68","sakaguchi","yowa_benmeisu.txt",""
"69","sakaguchi","yowa_benmeisu.txt","諸君は夫婦であり、恋人達だ。"
"70","sakaguchi","yowa_benmeisu.txt","諸君は男女の道を、恋人の道を行い、満足ですか。"
"71","sakaguchi","yowa_benmeisu.txt","不安ではないのですか。"
"72","sakaguchi","yowa_benmeisu.txt","平気ですか。"
"73","sakaguchi","yowa_benmeisu.txt","幸福ですか。"
"74","sakaguchi","yowa_benmeisu.txt",""
"75","sakaguchi","yowa_benmeisu.txt","快楽ほど人を裏切るものはない。"
"76","sakaguchi","yowa_benmeisu.txt","なぜなら、快楽ほど空想せられるものはないから。"
"77","sakaguchi","yowa_benmeisu.txt","私の魂は快楽によって満たされたことは一度もなかった。"
"78","sakaguchi","yowa_benmeisu.txt","私は快楽はキライです。"
"79","sakaguchi","yowa_benmeisu.txt","然し私は快楽をもとめずにいられない。"
"80","sakaguchi","yowa_benmeisu.txt","考えずにいられない。"
"81","sakaguchi","yowa_benmeisu.txt",""
"82","sakaguchi","yowa_benmeisu.txt","諸君は上品です。"
"83","sakaguchi","yowa_benmeisu.txt","私事に就ては礼儀をまもって人前で喋らず、その上品さで、諸君の魂は真実ゆたかなのだろうか、真実高貴なのだろうか。"
"84","sakaguchi","yowa_benmeisu.txt",""
"85","sakaguchi","yowa_benmeisu.txt","すべて人間の世界に於ては、物は在るのではなく、つくるものだ。"
"86","sakaguchi","yowa_benmeisu.txt","私はそう信じています。"
"87","sakaguchi","yowa_benmeisu.txt","だから私は現実に絶望しても、生きて行くことには絶望しない。"
"88","sakaguchi","yowa_benmeisu.txt","本能は悲しいものですよ。"
"89","sakaguchi","yowa_benmeisu.txt","どうすることも出来ない物、不変なもの、絶対のもの、身に負うたこの重さ、こんなイヤなものはないよ。"
"90","sakaguchi","yowa_benmeisu.txt","だが、モラルも、感情も、これは人工的なものですよ。"
"91","sakaguchi","yowa_benmeisu.txt","つくりうるものです。"
"92","sakaguchi","yowa_benmeisu.txt","だから、人間の生活は、本能もひっくるめて、つくることが出来ます。"
"93","sakaguchi","yowa_benmeisu.txt",""
"94","sakaguchi","yowa_benmeisu.txt","私は童貞のころ、カーマスットラを読み、アナーガランガを読んだ。"
"95","sakaguchi","yowa_benmeisu.txt","そこに偉大な真実、現実の哲理が語られているかと思って、何本よりも熱意に燃えて読んだほどだった。"
"96","sakaguchi","yowa_benmeisu.txt",""
"97","sakaguchi","yowa_benmeisu.txt","私は近頃発禁になったという「猟奇」だの「でかめろん」だの「赤と黒」だの「りべらる」を読む人々が、健全にして上品なる人士よりも猥セツだとは思わない。"
