"","auth","piece","line"
"0","sakaguchi","yukishigekoyo_egoisutoni.txt","由起しげ子よエゴイストになれ"
"1","sakaguchi","yukishigekoyo_egoisutoni.txt","坂口安吾"
"2","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"3","sakaguchi","yukishigekoyo_egoisutoni.txt","誰かの批評に、女房として不適格、とあったが、これはアベコベだ。"
"4","sakaguchi","yukishigekoyo_egoisutoni.txt","女房に不適格な小説が書けると、この人の作品は光彩を放つだろうが、今のところは、女房小説である。"
"5","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"6","sakaguchi","yukishigekoyo_egoisutoni.txt","だいたい、日本の家族制度のような国で、女房に適格な女に、ろくな小説の書ける見込みがない。"
"7","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"8","sakaguchi","yukishigekoyo_egoisutoni.txt","由起さんが、女房に不適格だと自任しているかどうかは知らないが、在来の家族制度とか、社会的因習に、根強い不満を示していることは、言説に現れている。"
"9","sakaguchi","yukishigekoyo_egoisutoni.txt","若い娘たちが空論を弄ぶのと違って、四十をこした由起さんが自分の体験を理論の裏づけにして、穏やかに、しかし相当の硬論を吐いているところは大人々々している。"
"10","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"11","sakaguchi","yukishigekoyo_egoisutoni.txt","しかし、それが小説の支柱になっているかというと、そういうところも見当らなくて、由起さんの小説は甚しく感性的で、雑然としているのである。"
"12","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"13","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"14","sakaguchi","yukishigekoyo_egoisutoni.txt","福田恆存が由起さんを酷評しているのは、当ったところがある。"
"15","sakaguchi","yukishigekoyo_egoisutoni.txt","福田の批評は親切でないから、由起さんに通じないようだが、一言にして云うと、由起さんの小説は手前勝手すぎるというので、福田の気に入らないのである。"
"16","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"17","sakaguchi","yukishigekoyo_egoisutoni.txt","いろんな作中人物が、主人公、もしくは作中の事件との接触の面でだけ捉えられて、他のことは切り離されている。"
"18","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"19","sakaguchi","yukishigekoyo_egoisutoni.txt","その捉え方が、主観的、感性的で、自分をも含めて客観された後に発現した感性とちがう。"
"20","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"21","sakaguchi","yukishigekoyo_egoisutoni.txt","たとえば、警視総監は、女主人公を突ッ放して笑遁の術を用いるけれども、女主人公は、大きな荷物を両手に二つも持ったことがないから、という理由で、屋根から荷物を投げ渡して脱走しようという少女に、クルリと背を向けてしまうのである。"
"22","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"23","sakaguchi","yukishigekoyo_egoisutoni.txt","この女主人公の態度は、少女から見れば、警視総監の笑遁の術よりも、冷めたく、残酷な仕打に感ぜられ、突き放されたであろう。"
"24","sakaguchi","yukishigekoyo_egoisutoni.txt","大きな荷物を両手に二つも持ったことがないという理窟は、警視総監の笑遁の術にも同じ理窟がある筈で、この女主人公は自分の理窟は分るが、人の理窟が分らないだけの話なのである。"
"25","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"26","sakaguchi","yukishigekoyo_egoisutoni.txt","私は少女に打撃を与えている女主人公のエゴイズムを悪いというのではない。"
"27","sakaguchi","yukishigekoyo_egoisutoni.txt","あの小説一篇の中で、際立ってめざましく印象に残るのは、少女にクルリと背を向けて歩きだした女主人公の冷めたさである。"
"28","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"29","sakaguchi","yukishigekoyo_egoisutoni.txt","少女のずるさを見抜くところも、シンラツで、意地が悪いが、又、めざましい。"
"30","sakaguchi","yukishigekoyo_egoisutoni.txt","あれで少女を突き放さずに、まだ、援助しようなどと、甘ったるく同情しているから、やりきれないが、面白い。"
"31","sakaguchi","yukishigekoyo_egoisutoni.txt",""
"32","sakaguchi","yukishigekoyo_egoisutoni.txt","同情や、甘さも物分りが悪く、手前勝手に徹しているといいが、時々物分りのよいオバサンらしいところを見せられると、イヤらしくさせられる。"
