"","auth","piece","line"
"0","sakaguchi","zoku_sensoto_hitorino.txt","続戦争と一人の女"
"1","sakaguchi","zoku_sensoto_hitorino.txt","坂口安吾"
"2","sakaguchi","zoku_sensoto_hitorino.txt",""
"3","sakaguchi","zoku_sensoto_hitorino.txt","-------------------------------------------------------"
"4","sakaguchi","zoku_sensoto_hitorino.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","zoku_sensoto_hitorino.txt",""
"6","sakaguchi","zoku_sensoto_hitorino.txt","《》：ルビ"
"7","sakaguchi","zoku_sensoto_hitorino.txt","（例）帙"
"8","sakaguchi","zoku_sensoto_hitorino.txt",""
"9","sakaguchi","zoku_sensoto_hitorino.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","zoku_sensoto_hitorino.txt","（例）十｜米"
"11","sakaguchi","zoku_sensoto_hitorino.txt",""
"12","sakaguchi","zoku_sensoto_hitorino.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","zoku_sensoto_hitorino.txt","（例）Ｂ29"
"14","sakaguchi","zoku_sensoto_hitorino.txt",""
"15","sakaguchi","zoku_sensoto_hitorino.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"16","sakaguchi","zoku_sensoto_hitorino.txt","（例）クシャ／＼"
"17","sakaguchi","zoku_sensoto_hitorino.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"18","sakaguchi","zoku_sensoto_hitorino.txt","-------------------------------------------------------"
"19","sakaguchi","zoku_sensoto_hitorino.txt",""
"20","sakaguchi","zoku_sensoto_hitorino.txt","カマキリ親爺は私のことを奥さんと呼んだり姐さんと呼んだりした。"
"21","sakaguchi","zoku_sensoto_hitorino.txt","デブ親爺は奥さんと呼んだ。"
"22","sakaguchi","zoku_sensoto_hitorino.txt","だからデブが好きであつた。"
"23","sakaguchi","zoku_sensoto_hitorino.txt","カマキリが姐さんと私をよぶとき私は気がつかないふうに平気な顔をしてゐたが、今にひどい目にあはしてやると覚悟をきめてゐたのである。"
"24","sakaguchi","zoku_sensoto_hitorino.txt",""
"25","sakaguchi","zoku_sensoto_hitorino.txt","カマキリもデブも六十ぐらゐであつた。"
"26","sakaguchi","zoku_sensoto_hitorino.txt","カマキリは町工場の親爺でデブは井戸屋であつた。"
"27","sakaguchi","zoku_sensoto_hitorino.txt","私達はサイレンの合間々々に集つてバクチをしてゐた。"
"28","sakaguchi","zoku_sensoto_hitorino.txt","野村とデブが大概勝つて、私とカマキリが大概負けた。"
"29","sakaguchi","zoku_sensoto_hitorino.txt","カマキリは負けて亢奮してくると、私を姐さんとよんで、厭らしい目付をした。"
"30","sakaguchi","zoku_sensoto_hitorino.txt","時々よだれが垂れさうな露骨な顔付をした。"
"31","sakaguchi","zoku_sensoto_hitorino.txt","カマキリは極度に吝嗇であつた。"
"32","sakaguchi","zoku_sensoto_hitorino.txt","負けた金を払ふとき札をとりだして一枚一枚皺をのばして手放しかねてゐるのであつた。"
"33","sakaguchi","zoku_sensoto_hitorino.txt","唾をつけて汚いぢやないの、はやくお出しなさい、と言ふと泣きさうなクシャ／＼な顔をする。"
"34","sakaguchi","zoku_sensoto_hitorino.txt",""
"35","sakaguchi","zoku_sensoto_hitorino.txt","私は時々自転車に乗つてデブとカマキリを誘ひに行つた。"
"36","sakaguchi","zoku_sensoto_hitorino.txt","私達は日本が負けると信じてゐたが、カマキリは特別ひどかつた。"
"37","sakaguchi","zoku_sensoto_hitorino.txt","日本の負けを喜んでゐる様子であつた。"
"38","sakaguchi","zoku_sensoto_hitorino.txt","男の八割と女の二割、日本人の半分が死に、残つた男の二割、赤ん坊とヨボ／＼の親爺の中に自分を数へてゐた。"
"39","sakaguchi","zoku_sensoto_hitorino.txt","そして何百人だか何千人だかの妾の中に私のことを考へて可愛がつてやらうぐらゐの魂胆なのである。"
"40","sakaguchi","zoku_sensoto_hitorino.txt",""
"41","sakaguchi","zoku_sensoto_hitorino.txt","かういふ老人共の空襲下の恐怖ぶりはひどかつた。"
"42","sakaguchi","zoku_sensoto_hitorino.txt","生命の露骨な執着に溢れてゐる。"
"43","sakaguchi","zoku_sensoto_hitorino.txt","そのくせ他人の破壊に対する好奇心は若者よりも旺盛で、千葉でも八王子でも平塚でもやられたときに見物に行き、被害が少いとガッカリして帰つてきた。"
"44","sakaguchi","zoku_sensoto_hitorino.txt","彼等は女の半焼の死体などは人が見てゐても手をふれかねないほど屈みこんで叮嚀に見てゐた。"
"45","sakaguchi","zoku_sensoto_hitorino.txt",""
"46","sakaguchi","zoku_sensoto_hitorino.txt","カマキリは空襲のたびに被害地の見物に誘ひに来たが、私は二度目からはもう行かなかつた。"
"47","sakaguchi","zoku_sensoto_hitorino.txt","彼等は甘い食物が食べられないこと、楽しい遊びがないこと、生活の窮屈のために戦争を憎んでゐたが、可愛がるのは自分だけで、同胞も他人もなく、自分のほかはみんなやられてしまへと考へてゐた。"
"48","sakaguchi","zoku_sensoto_hitorino.txt","空襲の激化につれて一皮々々本性がむかれてきて、しまひには羞恥もなくハッキリそれを言ひきるやうになり、彼等の目附は変にギラ／＼して悪魔的になつてきた。"
"49","sakaguchi","zoku_sensoto_hitorino.txt","人の不幸を嗅ぎまはり、探しまはり、乞ひ願つてゐた。"
"50","sakaguchi","zoku_sensoto_hitorino.txt",""
"51","sakaguchi","zoku_sensoto_hitorino.txt","私はある日、暑かつたので、短いスカートにノーストッキングで自転車にのつてカマキリを誘ひに行つた。"
"52","sakaguchi","zoku_sensoto_hitorino.txt","カマキリは家を焼かれて壕に住んでゐた。"
"53","sakaguchi","zoku_sensoto_hitorino.txt","このあたりも町中が焼け野になつてからは、モンペなどはかなくとも誰も怒らなくなつたのである。"
"54","sakaguchi","zoku_sensoto_hitorino.txt","カマキリは息のつまる顔をして私の素足を見てゐた。"
"55","sakaguchi","zoku_sensoto_hitorino.txt","彼は壕から何かふところへ入れて出て来て、私の家へ一緒に向ふ途中、あんたにだけ見せてあげるよ、と言つて焼跡の草むらへ腰を下して、とりだしたのは猥画であつた。"
"56","sakaguchi","zoku_sensoto_hitorino.txt","帙にはいつた画帖風の美しい装釘だつた。"
"57","sakaguchi","zoku_sensoto_hitorino.txt",""
"58","sakaguchi","zoku_sensoto_hitorino.txt","「私に下さるんでせうね」"
"59","sakaguchi","zoku_sensoto_hitorino.txt","「とんでもねえ」"
"60","sakaguchi","zoku_sensoto_hitorino.txt","とカマキリは慌てゝ言つた。"
"61","sakaguchi","zoku_sensoto_hitorino.txt","そして顔をそむけて何かモジ／＼してゐる隙に、私は本を掴んで自転車にとびのつた。"
"62","sakaguchi","zoku_sensoto_hitorino.txt","よぼ／＼してゐるカマキリは私がゆつくり自転車にまたがるのを口をあけてポカンと見てゐて立ちあがるのが精一杯であつた。"
"63","sakaguchi","zoku_sensoto_hitorino.txt",""
"64","sakaguchi","zoku_sensoto_hitorino.txt","「おとゝいおいで」"
"65","sakaguchi","zoku_sensoto_hitorino.txt","「この野郎」"
"66","sakaguchi","zoku_sensoto_hitorino.txt","カマキリは白い歯をむいた。"
"67","sakaguchi","zoku_sensoto_hitorino.txt",""
"68","sakaguchi","zoku_sensoto_hitorino.txt","カマキリは私を憎んでゐた。"
"69","sakaguchi","zoku_sensoto_hitorino.txt","私はだいたい男といふものは四十ぐらゐから女に接する態度がまるで違つてしまふことを知つてゐる。"
"70","sakaguchi","zoku_sensoto_hitorino.txt","その年頃になると、男はもう女に対して精神的な憧れだの夢だの慰めなど持てなくなつて、精神的なものはつまり家庭のヌカミソだけでたくさんだと考へるやうになつてゐる。"
"71","sakaguchi","zoku_sensoto_hitorino.txt","そしてヌカミソだのオシメなどの臭ひの外に精神的などゝいふものは存在しないと否応なしに思ひつくやうになるのである。"
"72","sakaguchi","zoku_sensoto_hitorino.txt","そして女の肉体に迷ひだす。"
"73","sakaguchi","zoku_sensoto_hitorino.txt","男が本当に女に迷ひだすのはこの年頃からで、精神などは考へずに始めから肉体に迷ふから、さめることがないのである。"
