"","auth","piece","line"
"0","yoshikawa","01jo_kenno_yonkunshi.txt","剣の四君子"
"1","yoshikawa","01jo_kenno_yonkunshi.txt","序"
"2","yoshikawa","01jo_kenno_yonkunshi.txt","吉川英治"
"3","yoshikawa","01jo_kenno_yonkunshi.txt",""
"4","yoshikawa","01jo_kenno_yonkunshi.txt","-------------------------------------------------------"
"5","yoshikawa","01jo_kenno_yonkunshi.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","01jo_kenno_yonkunshi.txt",""
"7","yoshikawa","01jo_kenno_yonkunshi.txt","《》：ルビ"
"8","yoshikawa","01jo_kenno_yonkunshi.txt","（例）相"
"9","yoshikawa","01jo_kenno_yonkunshi.txt",""
"10","yoshikawa","01jo_kenno_yonkunshi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","yoshikawa","01jo_kenno_yonkunshi.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"12","yoshikawa","01jo_kenno_yonkunshi.txt","（例）※"
"13","yoshikawa","01jo_kenno_yonkunshi.txt","-------------------------------------------------------"
"14","yoshikawa","01jo_kenno_yonkunshi.txt",""
"15","yoshikawa","01jo_kenno_yonkunshi.txt","題して剣の四君子という。"
"16","yoshikawa","01jo_kenno_yonkunshi.txt","少し気取り過ぎたきらいがないでもないが、剣の相、花の姿、対照はわるくないと、わたくしには感じられる。"
"17","yoshikawa","01jo_kenno_yonkunshi.txt",""
"18","yoshikawa","01jo_kenno_yonkunshi.txt","菊の高雅な匂い、春蘭の身を懸崖に置きながらの優しさ。"
"19","yoshikawa","01jo_kenno_yonkunshi.txt","雪を凌ぐ梅花の芳烈。"
"20","yoshikawa","01jo_kenno_yonkunshi.txt","水仙の沈潜と謙虚な冷徹。"
"21","yoshikawa","01jo_kenno_yonkunshi.txt","どれも剣の精進と似通わぬはない。"
"22","yoshikawa","01jo_kenno_yonkunshi.txt",""
"23","yoshikawa","01jo_kenno_yonkunshi.txt","剣に仕えた古人の行道ほど、きびしい道はなかった。"
"24","yoshikawa","01jo_kenno_yonkunshi.txt","妄想を憎むこと※の如く、懶惰と嬌慢をつつしむこと敵国を視るようだった。"
"25","yoshikawa","01jo_kenno_yonkunshi.txt","ひたぶるに勝たんとした。"
"26","yoshikawa","01jo_kenno_yonkunshi.txt","が、勝っても勝っても、唯の強さだけでは、なお甘んじられぬものだった。"
"27","yoshikawa","01jo_kenno_yonkunshi.txt","真の剣人とは、"
"28","yoshikawa","01jo_kenno_yonkunshi.txt","おのれに勝つ"
"29","yoshikawa","01jo_kenno_yonkunshi.txt","ことを得た者でなければならない、人生に勝ったことでなければならない。"
"30","yoshikawa","01jo_kenno_yonkunshi.txt","それは不断鍛錬と、人間的火華に自分を灼く生活のもとに、修行として営み励まれて行った。"
"31","yoshikawa","01jo_kenno_yonkunshi.txt",""
"32","yoshikawa","01jo_kenno_yonkunshi.txt","剣は個性の道である。"
"33","yoshikawa","01jo_kenno_yonkunshi.txt","為に彼等のすがたは余りに孤高独歩の人に見える。"
"34","yoshikawa","01jo_kenno_yonkunshi.txt","時に、世間からは白眼視され、きびしさ、うらがなしさ、いいようもない人に見える。"
"35","yoshikawa","01jo_kenno_yonkunshi.txt","狂者にちかい姿まで見せる。"
"36","yoshikawa","01jo_kenno_yonkunshi.txt",""
"37","yoshikawa","01jo_kenno_yonkunshi.txt","けれど、風雪の中に、人間の発しうる最高度の生命の火華をしめし、また花のような香気を研磨の人柄にたたえるなど、剣の道はやはり東洋人の心には何か捨て難い魅力をなす詩であるにはちがいない。"
"38","yoshikawa","01jo_kenno_yonkunshi.txt",""
"39","yoshikawa","01jo_kenno_yonkunshi.txt","今、古い筐底から、四花の古人を選んで、一瓶の書幀に挿してみた。"
"40","yoshikawa","01jo_kenno_yonkunshi.txt","春風の芳気、霜雪の道明りとはゆかないまでも、これが手枕の人の眺める壺となって、ふと何かを興の琴線に奏でうれば幸甚である。"
"41","yoshikawa","01jo_kenno_yonkunshi.txt",""
"42","yoshikawa","01jo_kenno_yonkunshi.txt",""
"43","yoshikawa","01jo_kenno_yonkunshi.txt","著者"
"44","yoshikawa","01jo_kenno_yonkunshi.txt",""
"45","yoshikawa","01jo_kenno_yonkunshi.txt",""
"46","yoshikawa","01jo_kenno_yonkunshi.txt",""
"47","yoshikawa","01jo_kenno_yonkunshi.txt","底本：「剣の四君子・日本名婦伝」吉川英治文庫、講談社"
"48","yoshikawa","01jo_kenno_yonkunshi.txt","1977（昭和52）年4月1日第1刷発行"
"49","yoshikawa","01jo_kenno_yonkunshi.txt","初出：「剣の四君子」全国書房"
"50","yoshikawa","01jo_kenno_yonkunshi.txt","1943（昭和18）年"
"51","yoshikawa","01jo_kenno_yonkunshi.txt","入力：川山隆"
"52","yoshikawa","01jo_kenno_yonkunshi.txt","校正：岡村和彦"
"53","yoshikawa","01jo_kenno_yonkunshi.txt","2014年8月7日作成"
"54","yoshikawa","01jo_kenno_yonkunshi.txt","青空文庫作成ファイル："
"55","yoshikawa","01jo_kenno_yonkunshi.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"56","yoshikawa","01jo_kenno_yonkunshi.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"57","yoshikawa","01jo_kenno_yonkunshi.txt",""
