"","auth","piece","line"
"0","yoshikawa","02basara_jo.txt","私本太平記"
"1","yoshikawa","02basara_jo.txt","婆娑羅帖"
"2","yoshikawa","02basara_jo.txt","吉川英治"
"3","yoshikawa","02basara_jo.txt",""
"4","yoshikawa","02basara_jo.txt","-------------------------------------------------------"
"5","yoshikawa","02basara_jo.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","02basara_jo.txt",""
"7","yoshikawa","02basara_jo.txt","《》：ルビ"
"8","yoshikawa","02basara_jo.txt","（例）乱鳥図"
"9","yoshikawa","02basara_jo.txt",""
"10","yoshikawa","02basara_jo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","02basara_jo.txt","（例）四条｜隆資"
"12","yoshikawa","02basara_jo.txt",""
"13","yoshikawa","02basara_jo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","02basara_jo.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","02basara_jo.txt","（例）※"
"16","yoshikawa","02basara_jo.txt","-------------------------------------------------------"
"17","yoshikawa","02basara_jo.txt",""
"18","yoshikawa","02basara_jo.txt","乱鳥図"
"19","yoshikawa","02basara_jo.txt",""
"20","yoshikawa","02basara_jo.txt","都は紅葉しかけている。"
"21","yoshikawa","02basara_jo.txt",""
"22","yoshikawa","02basara_jo.txt","高尾も、鞍馬も。"
"23","yoshikawa","02basara_jo.txt",""
"24","yoshikawa","02basara_jo.txt","その日、二条加茂川べりの水鳥亭は、月例の“文談会”の日であった。"
"25","yoshikawa","02basara_jo.txt",""
"26","yoshikawa","02basara_jo.txt","流れにのぞむ広間の水欄には、ちらほら、参会者の顔も見えはじめ、思い思いな水鳥の群れに似た幾組かを、ここかしこに作りあっていた。"
"27","yoshikawa","02basara_jo.txt",""
"28","yoshikawa","02basara_jo.txt","「いいなあ、秋の水音は」"
"29","yoshikawa","02basara_jo.txt","「肌ごこち、なんともいえぬ。"
"30","yoshikawa","02basara_jo.txt","河原は昼の虫の音だし……」"
"31","yoshikawa","02basara_jo.txt","また、べつな組では。"
"32","yoshikawa","02basara_jo.txt",""
"33","yoshikawa","02basara_jo.txt","「――今日は、何人ぐらい集まろうかの」"
"34","yoshikawa","02basara_jo.txt","「いや、ほとんど洩れはあるまい」"
"35","yoshikawa","02basara_jo.txt","「触れ状では、久しく見えなんだ俊基朝臣も、今日はお顔を出されるとか」"
