"","auth","piece","line"
"0","yoshikawa","02chino_maki.txt","宮本武蔵"
"1","yoshikawa","02chino_maki.txt","地の巻"
"2","yoshikawa","02chino_maki.txt","吉川英治"
"3","yoshikawa","02chino_maki.txt",""
"4","yoshikawa","02chino_maki.txt","-------------------------------------------------------"
"5","yoshikawa","02chino_maki.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","02chino_maki.txt",""
"7","yoshikawa","02chino_maki.txt","《》：ルビ"
"8","yoshikawa","02chino_maki.txt","（例）武蔵"
"9","yoshikawa","02chino_maki.txt",""
"10","yoshikawa","02chino_maki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","02chino_maki.txt","（例）二人｜限り"
"12","yoshikawa","02chino_maki.txt",""
"13","yoshikawa","02chino_maki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","02chino_maki.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","02chino_maki.txt","（例）※"
"16","yoshikawa","02chino_maki.txt","-------------------------------------------------------"
"17","yoshikawa","02chino_maki.txt",""
"18","yoshikawa","02chino_maki.txt","鈴"
"19","yoshikawa","02chino_maki.txt",""
"20","yoshikawa","02chino_maki.txt","一"
"21","yoshikawa","02chino_maki.txt",""
"22","yoshikawa","02chino_maki.txt","――どうなるものか、この天地の大きな動きが。"
"23","yoshikawa","02chino_maki.txt",""
"24","yoshikawa","02chino_maki.txt","もう人間の個々の振舞いなどは、秋かぜの中の一片の木の葉でしかない。"
"25","yoshikawa","02chino_maki.txt","なるようになッてしまえ。"
"26","yoshikawa","02chino_maki.txt",""
"27","yoshikawa","02chino_maki.txt","武蔵は、そう思った。"
"28","yoshikawa","02chino_maki.txt",""
"29","yoshikawa","02chino_maki.txt","屍と屍のあいだにあって、彼も一個の屍かのように横たわったまま、そう観念していたのである。"
"30","yoshikawa","02chino_maki.txt",""
"31","yoshikawa","02chino_maki.txt","「――今、動いてみたッて、仕方がない」"
"32","yoshikawa","02chino_maki.txt","けれど、実は、体力そのものが、もうどうにも動けなかったのである。"
"33","yoshikawa","02chino_maki.txt","武蔵自身は、気づいていないらしいが、体のどこかに、二つ三つ、銃弾が入っているに違いなかった。"
"34","yoshikawa","02chino_maki.txt",""
"35","yoshikawa","02chino_maki.txt","ゆうべ。"
"36","yoshikawa","02chino_maki.txt","――もっと詳しくいえば、慶長五年の九月十四日の夜半から明け方にかけて、この関ヶ原地方へ、土砂ぶりに大雨を落した空は、今日の午すぎになっても、まだ低い密雲を解かなかった。"
"37","yoshikawa","02chino_maki.txt","そして伊吹山の背や、美濃の連山を去来するその黒い迷雲から時々、サアーッと四里四方にもわたる白雨が激戦の跡を洗ってゆく。"
"38","yoshikawa","02chino_maki.txt",""
"39","yoshikawa","02chino_maki.txt","その雨は、武蔵の顔にも、そばの死骸にも、ばしゃばしゃと落ちた。"
"40","yoshikawa","02chino_maki.txt","武蔵は、鯉のように口を開いて、鼻ばしらから垂れる雨を舌へ吸いこんだ。"
"41","yoshikawa","02chino_maki.txt",""
"42","yoshikawa","02chino_maki.txt","――末期の水だ。"
"43","yoshikawa","02chino_maki.txt",""
"44","yoshikawa","02chino_maki.txt","痺れた頭のしんで、かすかに、そんな気もする。"
"45","yoshikawa","02chino_maki.txt",""
"46","yoshikawa","02chino_maki.txt","戦いは、味方の敗けと決まった。"
"47","yoshikawa","02chino_maki.txt","金吾中納言秀秋が敵に内応して、東軍とともに、味方の石田三成をはじめ、浮田、島津、小西などの陣へ、逆さに戈を向けて来た一転機からの総くずれであった。"
"48","yoshikawa","02chino_maki.txt","たった半日で、天下の持主は定まったといえる。"
"49","yoshikawa","02chino_maki.txt","同時に、何十万という同胞の運命が、眼に見えず、刻々とこの戦場から、子々孫々までの宿命を作られてゆくのであろう。"
"50","yoshikawa","02chino_maki.txt",""
"51","yoshikawa","02chino_maki.txt","「俺も、……」"
"52","yoshikawa","02chino_maki.txt","と、武蔵は思った。"
"53","yoshikawa","02chino_maki.txt","故郷に残してある一人の姉や、村の年老などのことをふと瞼に泛べたのである。"
"54","yoshikawa","02chino_maki.txt","どうしてであろう、悲しくもなんともない。"
"55","yoshikawa","02chino_maki.txt","死とは、こんなものだろうかと疑った。"
"56","yoshikawa","02chino_maki.txt","だが、その時、そこから十歩ほど離れた所の味方の死骸の中から、一つの死骸と見えたものが、ふいに、首をあげて、"
"57","yoshikawa","02chino_maki.txt","「武やアん！」"
"58","yoshikawa","02chino_maki.txt","と、呼んだので、彼の眼は、仮死から覚めたように見まわした。"
"59","yoshikawa","02chino_maki.txt",""
"60","yoshikawa","02chino_maki.txt","槍一本かついだきりで、同じ村を飛び出し、同じ主人の軍隊に従いて、お互いが若い功名心に燃え合いながら、この戦場へ共に来て戦っていた友達の又八なのである。"
"61","yoshikawa","02chino_maki.txt",""
"62","yoshikawa","02chino_maki.txt","その又八も十七歳、武蔵も十七歳であった。"
"63","yoshikawa","02chino_maki.txt",""
"64","yoshikawa","02chino_maki.txt","「おうっ。"
"65","yoshikawa","02chino_maki.txt","又やんか」"
"66","yoshikawa","02chino_maki.txt","答えると、雨の中で、"
"67","yoshikawa","02chino_maki.txt","「武やん生きてるか」"
"68","yoshikawa","02chino_maki.txt","と、彼方で訊く。"
"69","yoshikawa","02chino_maki.txt",""
"70","yoshikawa","02chino_maki.txt","武蔵は精いッぱいな声でどなった。"
"71","yoshikawa","02chino_maki.txt",""
"72","yoshikawa","02chino_maki.txt","「生きてるとも、死んでたまるか。"
"73","yoshikawa","02chino_maki.txt","又やんも、死ぬなよ、犬死するなっ」"
"74","yoshikawa","02chino_maki.txt","「くそ、死ぬものか」"
"75","yoshikawa","02chino_maki.txt","友の側へ、又八は、やがて懸命に這って来た。"
"76","yoshikawa","02chino_maki.txt","そして、武蔵の手をつかんで、"
