"","auth","piece","line"
"0","yoshikawa","02toenno_maki.txt","三国志"
"1","yoshikawa","02toenno_maki.txt","桃園の巻"
"2","yoshikawa","02toenno_maki.txt","吉川英治"
"3","yoshikawa","02toenno_maki.txt",""
"4","yoshikawa","02toenno_maki.txt","-------------------------------------------------------"
"5","yoshikawa","02toenno_maki.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","02toenno_maki.txt",""
"7","yoshikawa","02toenno_maki.txt","《》：ルビ"
"8","yoshikawa","02toenno_maki.txt","（例）黄巾賊"
"9","yoshikawa","02toenno_maki.txt",""
"10","yoshikawa","02toenno_maki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","02toenno_maki.txt","（例）中央｜亜細亜"
"12","yoshikawa","02toenno_maki.txt",""
"13","yoshikawa","02toenno_maki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","02toenno_maki.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","02toenno_maki.txt","（例）※"
"16","yoshikawa","02toenno_maki.txt",""
"17","yoshikawa","02toenno_maki.txt","：返り点"
"18","yoshikawa","02toenno_maki.txt","（例）黄夫当立"
"19","yoshikawa","02toenno_maki.txt","-------------------------------------------------------"
"20","yoshikawa","02toenno_maki.txt",""
"21","yoshikawa","02toenno_maki.txt","黄巾賊"
"22","yoshikawa","02toenno_maki.txt",""
"23","yoshikawa","02toenno_maki.txt","一"
"24","yoshikawa","02toenno_maki.txt",""
"25","yoshikawa","02toenno_maki.txt","後漢の建寧元年のころ。"
"26","yoshikawa","02toenno_maki.txt",""
"27","yoshikawa","02toenno_maki.txt","今から約千七百八十年ほど前のことである。"
"28","yoshikawa","02toenno_maki.txt",""
"29","yoshikawa","02toenno_maki.txt","一人の旅人があった。"
"30","yoshikawa","02toenno_maki.txt",""
"31","yoshikawa","02toenno_maki.txt","腰に、一剣を佩いているほか、身なりはいたって見すぼらしいが、眉は秀で、唇は紅く、とりわけ聡明そうな眸や、豊かな頬をしていて、つねにどこかに微笑をふくみ、総じて賤しげな容子がなかった。"
"32","yoshikawa","02toenno_maki.txt",""
"33","yoshikawa","02toenno_maki.txt","年の頃は二十四、五。"
"34","yoshikawa","02toenno_maki.txt",""
"35","yoshikawa","02toenno_maki.txt","草むらの中に、ぽつねんと坐って、膝をかかえこんでいた。"
"36","yoshikawa","02toenno_maki.txt",""
"37","yoshikawa","02toenno_maki.txt","悠久と水は行く――"
"38","yoshikawa","02toenno_maki.txt","微風は爽やかに鬢をなでる。"
"39","yoshikawa","02toenno_maki.txt",""
"40","yoshikawa","02toenno_maki.txt","涼秋の八月だ。"
"41","yoshikawa","02toenno_maki.txt",""
"42","yoshikawa","02toenno_maki.txt","そしてそこは、黄河の畔の――黄土層の低い断り岸であった。"
"43","yoshikawa","02toenno_maki.txt",""
"44","yoshikawa","02toenno_maki.txt","「おーい」"
"45","yoshikawa","02toenno_maki.txt","誰か河でよんだ。"
"46","yoshikawa","02toenno_maki.txt",""
"47","yoshikawa","02toenno_maki.txt","「――そこの若い者ウ。"
"48","yoshikawa","02toenno_maki.txt","なにを見ているんだい。"
"49","yoshikawa","02toenno_maki.txt","いくら待っていても、そこは渡し舟の着く所じゃないぞ」"
"50","yoshikawa","02toenno_maki.txt","小さな漁船から漁夫がいうのだった。"
"51","yoshikawa","02toenno_maki.txt",""
"52","yoshikawa","02toenno_maki.txt","青年は笑くぼを送って、"
"53","yoshikawa","02toenno_maki.txt","「ありがとう」と、少し頭を下げた。"
"54","yoshikawa","02toenno_maki.txt",""
"55","yoshikawa","02toenno_maki.txt","漁船は、下流へ流れ去った。"
"56","yoshikawa","02toenno_maki.txt","けれど青年は、同じ所に、同じ姿をしていた。"
"57","yoshikawa","02toenno_maki.txt","膝をかかえて坐ったまま遠心的な眼をうごかさなかった。"
"58","yoshikawa","02toenno_maki.txt",""
"59","yoshikawa","02toenno_maki.txt","「おい、おい、旅の者」"
"60","yoshikawa","02toenno_maki.txt","こんどは、後ろを通った人間が呼びかけた。"
"61","yoshikawa","02toenno_maki.txt","近村の百姓であろう。"
"62","yoshikawa","02toenno_maki.txt","ひとりは鶏の足をつかんでさげ、ひとりは農具をかついでいた。"
