"","auth","piece","line"
"0","yoshikawa","06hakko_jo.txt","私本太平記"
"1","yoshikawa","06hakko_jo.txt","八荒帖"
"2","yoshikawa","06hakko_jo.txt","吉川英治"
"3","yoshikawa","06hakko_jo.txt",""
"4","yoshikawa","06hakko_jo.txt","-------------------------------------------------------"
"5","yoshikawa","06hakko_jo.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","06hakko_jo.txt",""
"7","yoshikawa","06hakko_jo.txt","《》：ルビ"
"8","yoshikawa","06hakko_jo.txt","（例）柳営日譜"
"9","yoshikawa","06hakko_jo.txt",""
"10","yoshikawa","06hakko_jo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","06hakko_jo.txt","（例）北条｜茂時"
"12","yoshikawa","06hakko_jo.txt",""
"13","yoshikawa","06hakko_jo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","06hakko_jo.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","06hakko_jo.txt","（例）※"
"16","yoshikawa","06hakko_jo.txt","-------------------------------------------------------"
"17","yoshikawa","06hakko_jo.txt",""
"18","yoshikawa","06hakko_jo.txt","柳営日譜"
"19","yoshikawa","06hakko_jo.txt",""
"20","yoshikawa","06hakko_jo.txt","十月。"
"21","yoshikawa","06hakko_jo.txt","晩秋の好晴。"
"22","yoshikawa","06hakko_jo.txt",""
"23","yoshikawa","06hakko_jo.txt","北条高時は江ノ島の弁財天へ参籠して、船で浜御所へもどる海上の途にあった。"
"24","yoshikawa","06hakko_jo.txt",""
"25","yoshikawa","06hakko_jo.txt","「なに。"
"26","yoshikawa","06hakko_jo.txt","わしを清盛のようだとか？」"
"27","yoshikawa","06hakko_jo.txt","あの特有なかなつぼ眼で、高時は船中の船酒盛りの近習らを、ねめ廻し、"
"28","yoshikawa","06hakko_jo.txt","「ばかを申せ。"
"29","yoshikawa","06hakko_jo.txt","すれや元々、北条家は“平家”であるには、ちがいないが」"
"30","yoshikawa","06hakko_jo.txt","と、ぺろと上唇を舐めた。"
"31","yoshikawa","06hakko_jo.txt",""
"32","yoshikawa","06hakko_jo.txt","猫の目より変りやすいごきげんなのだ。"
"33","yoshikawa","06hakko_jo.txt","人々は、それを言い出した北条｜茂時の方をつい見てしまった。"
"34","yoshikawa","06hakko_jo.txt","若い茂時はただ、赤くなっている。"
"35","yoshikawa","06hakko_jo.txt",""
"36","yoshikawa","06hakko_jo.txt","「わが娘を皇后に入れ、一門、摂関家と位階を競うた平相国であろうがの。"
"37","yoshikawa","06hakko_jo.txt","――高時には、毛頭、さしたる野望はない」"
"38","yoshikawa","06hakko_jo.txt","波映が、酔の面をよぎる。"
"39","yoshikawa","06hakko_jo.txt",""
"40","yoshikawa","06hakko_jo.txt","三ツ鱗の幕やら彩旗をなびかせた女房船、供船などの数十そうが、一列な白波を長く曳いて行く。"
"41","yoshikawa","06hakko_jo.txt","その快も、高時の語を、弾ませていた。"
"42","yoshikawa","06hakko_jo.txt",""
"43","yoshikawa","06hakko_jo.txt","「高時は、堂上などに、眷恋はせぬ。"
