"","auth","piece","line"
"0","yoshikawa","06sorano_maki.txt","宮本武蔵"
"1","yoshikawa","06sorano_maki.txt","空の巻"
"2","yoshikawa","06sorano_maki.txt","吉川英治"
"3","yoshikawa","06sorano_maki.txt",""
"4","yoshikawa","06sorano_maki.txt","-------------------------------------------------------"
"5","yoshikawa","06sorano_maki.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","06sorano_maki.txt",""
"7","yoshikawa","06sorano_maki.txt","《》：ルビ"
"8","yoshikawa","06sorano_maki.txt","（例）普賢"
"9","yoshikawa","06sorano_maki.txt",""
"10","yoshikawa","06sorano_maki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","06sorano_maki.txt","（例）今井｜兼平"
"12","yoshikawa","06sorano_maki.txt",""
"13","yoshikawa","06sorano_maki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","06sorano_maki.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","06sorano_maki.txt","（例）※"
"16","yoshikawa","06sorano_maki.txt","-------------------------------------------------------"
"17","yoshikawa","06sorano_maki.txt",""
"18","yoshikawa","06sorano_maki.txt","普賢"
"19","yoshikawa","06sorano_maki.txt",""
"20","yoshikawa","06sorano_maki.txt","一"
"21","yoshikawa","06sorano_maki.txt",""
"22","yoshikawa","06sorano_maki.txt","木曾路へはいると、随所にまだ雪が見られる。"
"23","yoshikawa","06sorano_maki.txt",""
"24","yoshikawa","06sorano_maki.txt","峠の凹みから、薙刀なりに走っている白い閃きは、駒ヶ岳の雪のヒダであり、仄紅い木々の芽を透かして彼方に見える白い斑のものは、御岳の肌だった。"
"25","yoshikawa","06sorano_maki.txt",""
"26","yoshikawa","06sorano_maki.txt","だがもう畑や往来には、浅い緑がこぼれている。"
"27","yoshikawa","06sorano_maki.txt","季節は今、なんでも育つ盛りなのだ。"
"28","yoshikawa","06sorano_maki.txt","踏んづけても踏んづけても、若い草は伸びずにいない。"
"29","yoshikawa","06sorano_maki.txt",""
"30","yoshikawa","06sorano_maki.txt","まして城太郎の胃ぶくろと来ては、いよいよ、育つ権利を主張する。"
"31","yoshikawa","06sorano_maki.txt","この頃殊に、髪の毛が伸びるように、背の寸法までが伸びそうに見えて、将来の大人ぶりも思いやられる風がある。"
