"","auth","piece","line"
"0","yoshikawa","07chihaya_jo.txt","私本太平記"
"1","yoshikawa","07chihaya_jo.txt","千早帖"
"2","yoshikawa","07chihaya_jo.txt","吉川英治"
"3","yoshikawa","07chihaya_jo.txt",""
"4","yoshikawa","07chihaya_jo.txt","-------------------------------------------------------"
"5","yoshikawa","07chihaya_jo.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","07chihaya_jo.txt",""
"7","yoshikawa","07chihaya_jo.txt","《》：ルビ"
"8","yoshikawa","07chihaya_jo.txt","（例）勝負"
"9","yoshikawa","07chihaya_jo.txt",""
"10","yoshikawa","07chihaya_jo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","07chihaya_jo.txt","（例）道明寺｜糒"
"12","yoshikawa","07chihaya_jo.txt",""
"13","yoshikawa","07chihaya_jo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","07chihaya_jo.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","07chihaya_jo.txt","（例）※"
"16","yoshikawa","07chihaya_jo.txt","-------------------------------------------------------"
"17","yoshikawa","07chihaya_jo.txt",""
"18","yoshikawa","07chihaya_jo.txt","勝負の壇"
"19","yoshikawa","07chihaya_jo.txt",""
"20","yoshikawa","07chihaya_jo.txt","正成は弓杖をつき、すこし跛をひいていた。"
"21","yoshikawa","07chihaya_jo.txt",""
"22","yoshikawa","07chihaya_jo.txt","もっとも、千早の城兵はいま、五体満足なのはほとんど少ない。"
"23","yoshikawa","07chihaya_jo.txt","将たちもみなどこかには、怪我か手傷を負ッていた。"
"24","yoshikawa","07chihaya_jo.txt",""
"25","yoshikawa","07chihaya_jo.txt","でなければ病人である。"
"26","yoshikawa","07chihaya_jo.txt",""
"27","yoshikawa","07chihaya_jo.txt","「……が、了現」"
"28","yoshikawa","07chihaya_jo.txt","いま、その病棟を見舞って出てきた正成は、うしろの、安間了現をふりむいて、"
"29","yoshikawa","07chihaya_jo.txt","「意外にみな元気だな。"
"30","yoshikawa","07chihaya_jo.txt","山上にもやっと木の芽や草が萌えてきたし、もう病人に与える青い食物にも事欠くまい」"
"31","yoshikawa","07chihaya_jo.txt","と、梢の色や地の力を見まわして、それも味方と恃むように言った。"
"32","yoshikawa","07chihaya_jo.txt",""
"33","yoshikawa","07chihaya_jo.txt","「はい。"
"34","yoshikawa","07chihaya_jo.txt","士気は病者といえあの通りさかんなものです。"
"35","yoshikawa","07chihaya_jo.txt","けれど貯備の食糧がそろそろ底をつきかけておりまするで」"
"36","yoshikawa","07chihaya_jo.txt","「穀類か、まず」"
"37","yoshikawa","07chihaya_jo.txt","「稗、粟、米、どれもいくらの余裕もありませぬが、わけて塩倉の塩もはや……」"
"38","yoshikawa","07chihaya_jo.txt","「調べたのか」"
"39","yoshikawa","07chihaya_jo.txt","「は」"
"40","yoshikawa","07chihaya_jo.txt","と、了現はさっそく、ふところ覚えを、よろいの袖から取り出して、およその数量を正成へ※いていた。"
"41","yoshikawa","07chihaya_jo.txt","ここでの、孤立持久の籠城は、正成がはじめから一貫してきた方針である。"
"42","yoshikawa","07chihaya_jo.txt",""
"43","yoshikawa","07chihaya_jo.txt","その方針を破ッて、当初、天王寺、堺あたりまで少数の兵でしばしばムリな奇襲を敢行したのも、敵の首があてではなく、塩、粟、干魚、海草などを帰りに運んでくるのが主要な作戦目的であったのだ。"
"44","yoshikawa","07chihaya_jo.txt",""
"45","yoshikawa","07chihaya_jo.txt","もちろん、それいぜんから、山上にはあらゆる貯備に努めてはいた。"
"46","yoshikawa","07chihaya_jo.txt",""
"47","yoshikawa","07chihaya_jo.txt","焼米、道明寺｜糒。"
"48","yoshikawa","07chihaya_jo.txt",""
"49","yoshikawa","07chihaya_jo.txt","河内名物のドロ芋。"
"50","yoshikawa","07chihaya_jo.txt",""
"51","yoshikawa","07chihaya_jo.txt","その茎を干したずいき。"
"52","yoshikawa","07chihaya_jo.txt",""
"53","yoshikawa","07chihaya_jo.txt","また梅漬け、干柿、栗、およそ保存にたえるものは、なんでも糧倉へみたしていたが、しかし城兵一日の糧を、かりに米六合とみれば、千人で日に六石、古法の三斗五升俵にして十七俵強の容積である。"
"54","yoshikawa","07chihaya_jo.txt","それに副食物を加えた物が夜さえ明ければなくなってゆくわけだ。"
"55","yoshikawa","07chihaya_jo.txt",""
"56","yoshikawa","07chihaya_jo.txt","もちろん合戦のすきにも、葛城の尾根や、間道をたどって、外部から蟻が穴へ持ち込むようなことはしつづけていたが、山伏の背や、忍び隊の搬入などは、およそたかのしれた量でしかない。"
"57","yoshikawa","07chihaya_jo.txt","――安間了現が、ふところ覚えを繰るたび眉をくもらすのは当然だった。"
"58","yoshikawa","07chihaya_jo.txt",""
"59","yoshikawa","07chihaya_jo.txt","「……む。"
"60","yoshikawa","07chihaya_jo.txt","……むむ。"
"61","yoshikawa","07chihaya_jo.txt","……だいぶ乏しくなって来たな。"
"62","yoshikawa","07chihaya_jo.txt","だがこれからは木の芽も食える、草も食える。"
"63","yoshikawa","07chihaya_jo.txt","虫、鳥、獣、何でも食おう。"
"64","yoshikawa","07chihaya_jo.txt","そして一日ここの籠城をささえれば、一日の勝ちだ。"
