"","auth","piece","line"
"0","yoshikawa","11gojogenno_maki.txt","三国志"
"1","yoshikawa","11gojogenno_maki.txt","五丈原の巻"
"2","yoshikawa","11gojogenno_maki.txt","吉川英治"
"3","yoshikawa","11gojogenno_maki.txt",""
"4","yoshikawa","11gojogenno_maki.txt","-------------------------------------------------------"
"5","yoshikawa","11gojogenno_maki.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","11gojogenno_maki.txt",""
"7","yoshikawa","11gojogenno_maki.txt","《》：ルビ"
"8","yoshikawa","11gojogenno_maki.txt","（例）中原"
"9","yoshikawa","11gojogenno_maki.txt",""
"10","yoshikawa","11gojogenno_maki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","11gojogenno_maki.txt","（例）一｜鼓"
"12","yoshikawa","11gojogenno_maki.txt",""
"13","yoshikawa","11gojogenno_maki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","11gojogenno_maki.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","11gojogenno_maki.txt","（例）※"
"16","yoshikawa","11gojogenno_maki.txt","-------------------------------------------------------"
"17","yoshikawa","11gojogenno_maki.txt",""
"18","yoshikawa","11gojogenno_maki.txt","中原を指して"
"19","yoshikawa","11gojogenno_maki.txt",""
"20","yoshikawa","11gojogenno_maki.txt","一"
"21","yoshikawa","11gojogenno_maki.txt",""
"22","yoshikawa","11gojogenno_maki.txt","蜀の大軍は、※陽（陝西省・※県、漢中の西）まで進んで出た。"
"23","yoshikawa","11gojogenno_maki.txt","ここまで来た時、"
"24","yoshikawa","11gojogenno_maki.txt","「魏は関西の精兵を以て、長安（陝西省・西安）に布陣し、大本営をそこにおいた」"
"25","yoshikawa","11gojogenno_maki.txt","という情報が的確になった。"
"26","yoshikawa","11gojogenno_maki.txt",""
"27","yoshikawa","11gojogenno_maki.txt","いわゆる天下の嶮、蜀の桟道をこえて、ここまで出てくるだけでも、軍馬は一応疲れる。"
"28","yoshikawa","11gojogenno_maki.txt","孔明は、※陽に着くと、"
"29","yoshikawa","11gojogenno_maki.txt","「ここには、亡き馬超の墳がある。"
"30","yoshikawa","11gojogenno_maki.txt","いまわが蜀軍の北伐に遭うて、地下白骨の自己を嘆じ、なつかしくも思っているだろう。"
"31","yoshikawa","11gojogenno_maki.txt","祭を営んでやるがよい」"
"32","yoshikawa","11gojogenno_maki.txt","と、馬岱を祭主に命じ、あわせてその期間に、兵馬を休ませていた。"
"33","yoshikawa","11gojogenno_maki.txt",""
"34","yoshikawa","11gojogenno_maki.txt","一日、魏延が説いた。"
"35","yoshikawa","11gojogenno_maki.txt",""
"36","yoshikawa","11gojogenno_maki.txt","「丞相。"
"37","yoshikawa","11gojogenno_maki.txt","それがしに、五千騎おかし下さい。"
"38","yoshikawa","11gojogenno_maki.txt","こんなことをしている間に、長安を潰滅してみせます」"
"39","yoshikawa","11gojogenno_maki.txt","「策に依ってはだが……？」"
"40","yoshikawa","11gojogenno_maki.txt","「ここと長安の間は、長駆すれば十日で達する距離です。"
"41","yoshikawa","11gojogenno_maki.txt","もしお許しあれば、秦嶺を越え、子午谷を渡り、虚を衝いて、敵を混乱に陥れ、彼の糧食を焼き払いましょう。"
"42","yoshikawa","11gojogenno_maki.txt","――丞相は斜谷から進まれ、咸陽へ伸びて出られたら、魏の夏侯楙などは、一｜鼓して破り得るものと信じますが」"
"43","yoshikawa","11gojogenno_maki.txt","「いかんなあ」"
"44","yoshikawa","11gojogenno_maki.txt","孔明は取り上げない。"
"45","yoshikawa","11gojogenno_maki.txt","雑談のように軽く聞き流して、"
"46","yoshikawa","11gojogenno_maki.txt","「もし敵に智のある者がいれば、兵をまわして、山際の切所を断つにきまっている。"
"47","yoshikawa","11gojogenno_maki.txt","そのときご辺の五千の兵は、一人も生きては帰れないだろう」"
"48","yoshikawa","11gojogenno_maki.txt","「でも、本道を進めば、魏の大軍に対して、どれほど多くの損害を出すか知れますまい」"
"49","yoshikawa","11gojogenno_maki.txt","孔明はうなずいた。"
"50","yoshikawa","11gojogenno_maki.txt","その通りであると肯定しているものの如くである。"
"51","yoshikawa","11gojogenno_maki.txt","そして彼は彼の考えどおり軍を進ませた。"
"52","yoshikawa","11gojogenno_maki.txt","隴右の大路へ出でて正攻法を取ったものである。"
"53","yoshikawa","11gojogenno_maki.txt",""
"54","yoshikawa","11gojogenno_maki.txt","これは、魏の予想に反した。"
"55","yoshikawa","11gojogenno_maki.txt","孔明はよく智略を用いるという先入観から、さだめし奇道を取ってくるだろうと信じて、ほかの間道へも兵力を分け、大いに備えていたところが、意外にも蜀軍は堂々と直進して来た。"
"56","yoshikawa","11gojogenno_maki.txt",""
"57","yoshikawa","11gojogenno_maki.txt","「まず、西※の兵に、一当て当てさせてみよう」"
"58","yoshikawa","11gojogenno_maki.txt","夏侯楙は、韓徳を呼んだ。"
"59","yoshikawa","11gojogenno_maki.txt","これはこんど魏軍が長安を本営としてから、西涼の※兵八万騎をひきいて、なにか一手勲せんと、参加した外郭軍の大将だった。"
"60","yoshikawa","11gojogenno_maki.txt",""
"61","yoshikawa","11gojogenno_maki.txt","「鳳鳴山まで出で、蜀の先鋒を防げ。"
"62","yoshikawa","11gojogenno_maki.txt","この一戦は、魏蜀の第一会戦だから、以後の士気にもかかわるぞ。"
"63","yoshikawa","11gojogenno_maki.txt","充分、功名を立てるがいい」"
"64","yoshikawa","11gojogenno_maki.txt","夏侯楙に励まされて韓徳は勇んで立った。"
"65","yoshikawa","11gojogenno_maki.txt",""
"66","yoshikawa","11gojogenno_maki.txt","彼に四人の子がある。"
