"","auth","piece","line"
"0","yoshikawa","baishino_tsue.txt","梅※の杖"
"1","yoshikawa","baishino_tsue.txt","吉川英治"
"2","yoshikawa","baishino_tsue.txt",""
"3","yoshikawa","baishino_tsue.txt","-------------------------------------------------------"
"4","yoshikawa","baishino_tsue.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","baishino_tsue.txt",""
"6","yoshikawa","baishino_tsue.txt","《》：ルビ"
"7","yoshikawa","baishino_tsue.txt","（例）辰蔵"
"8","yoshikawa","baishino_tsue.txt",""
"9","yoshikawa","baishino_tsue.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","baishino_tsue.txt","（例）黄葉落陽｜村舎"
"11","yoshikawa","baishino_tsue.txt",""
"12","yoshikawa","baishino_tsue.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","baishino_tsue.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","baishino_tsue.txt","（例）※"
"15","yoshikawa","baishino_tsue.txt","-------------------------------------------------------"
"16","yoshikawa","baishino_tsue.txt",""
"17","yoshikawa","baishino_tsue.txt","辰蔵の成人ぶりもお目にかけたい。"
"18","yoshikawa","baishino_tsue.txt","二歳になる又二郎にもばば様と初の対面を遂げさせたい。"
"19","yoshikawa","baishino_tsue.txt","妻の梨影も久しくお待ち申しあげている。"
"20","yoshikawa","baishino_tsue.txt",""
"21","yoshikawa","baishino_tsue.txt","孫の愛で釣るように、手紙を出すごとにこう上京をすすめていた老母が、やっと来る気になって、三月三日に広島を立ち、途中、菅茶山の黄葉落陽｜村舎に立ちよって、十四日には便船で兵庫にあがるという叔父の春風からの通知をうけたので、山陽は、前日から大坂の後藤松蔭の宅に泊って、明る朝、摂津の御影まで迎えに出た。"
"22","yoshikawa","baishino_tsue.txt",""
"23","yoshikawa","baishino_tsue.txt","『ほ、これは、どうして知れたのだろう』"
"24","yoshikawa","baishino_tsue.txt","茶店へ来ると、母を迎えに来た山陽は、却って、自分を迎える知己や朋友の群にとり巻かれた。"
"25","yoshikawa","baishino_tsue.txt",""
"26","yoshikawa","baishino_tsue.txt","篠崎｜小竹の顔も見え、岡田｜半江、小田百｜谷などの画人や、伊丹の剣菱の主人なども来ていた。"
"27","yoshikawa","baishino_tsue.txt",""
"28","yoshikawa","baishino_tsue.txt","『いつもながらお優しいお心、梅※さまにも、どんなにお欣びであろうか』"
"29","yoshikawa","baishino_tsue.txt","『葵祭りには、ぜひ小宅でおやすみを願いたいものです』"
"30","yoshikawa","baishino_tsue.txt","『大坂見物の折には、茅屋を宿として下さい。"
"31","yoshikawa","baishino_tsue.txt","角の芝居にも近いし』"
"32","yoshikawa","baishino_tsue.txt","『柏葉亭でもよいし、宇治あたりでもよいじゃありませんか。"
"33","yoshikawa","baishino_tsue.txt","一夕、御老母を中心にしてくつろぎながら、山陽先生の宮島がよい頃の遊蕩児ぶりや、座敷牢時代のご苦心を承るのも、今となれば、なつかしいものでしょう』"
"34","yoshikawa","baishino_tsue.txt","もう、随所で、そんな相談が交された。"
"35","yoshikawa","baishino_tsue.txt",""
"36","yoshikawa","baishino_tsue.txt","山陽は、その間を、誰へも平等に快活な会話を撒いていたが、時々、文人かたぎな諧謔に爆発する笑声が、彼を中心に賑わって時を移していた。"
"37","yoshikawa","baishino_tsue.txt",""
"38","yoshikawa","baishino_tsue.txt","実をいうと、彼は、きょうの案外な知己の好意にすこし迷惑を感じた。"
"39","yoshikawa","baishino_tsue.txt","なぜというに、この前――三年程まえに初めて母の梅※を京都に迎えて、自分の生活の安定を見せ、かたがた洛中洛外を見物させて歩いた折に、山陽の疾駆的な名声に圧倒されて、ひがみっぽくなっている儒者の一派が、"
"40","yoshikawa","baishino_tsue.txt","『彼は瓜園の老媼までひき出して売名の具にする』"
"41","yoshikawa","baishino_tsue.txt","と、暗にそれを偽善のように言いふらした例があるので、きょうは、誰にも告げずに来たつもりだった。"
"42","yoshikawa","baishino_tsue.txt",""
"43","yoshikawa","baishino_tsue.txt","だが、彼の好きな信長の現われのように、芸州藩の一儒者の家から出て、預けられた茶山の塾の壁に「山｜凡、水愚、先生｜鈍」の出奔遺書をのこして京地へ走った一書生の頼久太郎は、今では、山陽外史｜頼襄の名を、日本的に銘記してしまった西都文壇の巨匠でもあり流行児であった。"
"44","yoshikawa","baishino_tsue.txt","そうした彼が、常に周囲から神経質な目をそそがれている山紫水明処の書斎を出れば、すぐに、これ位な消息は洩れないわけは無かった。"
"45","yoshikawa","baishino_tsue.txt",""
"46","yoshikawa","baishino_tsue.txt","又こうして、すでに一家を成している学者、文人、画家などの一癖ある人間ばかりの間に立って、黙笑だけで頷いていても、彼の酒窶れのある苦ッぽい顔や、頭の大きさに比較して細い髷や、こげ茶の絹の羽織や、青縞の何時も書画会につけて出る袴や、何気ない風采を作っている箇々のもの迄が、みな、四十五の年齢までに彼の成し遂げて来た超人的な業蹟のかがやきを思わせぬものはない。"
"47","yoshikawa","baishino_tsue.txt","――味噌の味噌くさいやつ、学者の学者くさいのを嫌った彼にも、その意識はあった。"
"48","yoshikawa","baishino_tsue.txt","つとめて大家ぶるまいと心がけながら、威厳も持とうとする複雑な得意のうちに、きょうの迷惑は、やはり悪い気持ちのものではなかった。"
"49","yoshikawa","baishino_tsue.txt",""
"50","yoshikawa","baishino_tsue.txt","『あ、お見えなされた』"
"51","yoshikawa","baishino_tsue.txt","そこへ、兵庫の浜から梅※の駕が着いた。"
"52","yoshikawa","baishino_tsue.txt",""
"53","yoshikawa","baishino_tsue.txt","×"
"54","yoshikawa","baishino_tsue.txt","梅※は、連れて来た若党を、すぐに便船へ帰して、ひとりになって、わが子とわが子の知己の迎えをうけた。"
"55","yoshikawa","baishino_tsue.txt",""
"56","yoshikawa","baishino_tsue.txt","もう一｜挺の駕籠からは、誰も降りる様子がない。"
"57","yoshikawa","baishino_tsue.txt","それには、孫や嫁や知人へ頒つ土産物だけが乗っていた。"
"58","yoshikawa","baishino_tsue.txt",""
"59","yoshikawa","baishino_tsue.txt","卑屈な悪口屋の儒者が、瓜園の老媼と言ったように、彼女は、きわめて質素な田舎のお婆あさんでしかなかった。"
"60","yoshikawa","baishino_tsue.txt","ただ、上に纒っている被布と、駕を出て、手についていた象牙がしらの精巧な杖だけが、頼春水の未亡人らしくあった。"
"61","yoshikawa","baishino_tsue.txt",""
"62","yoshikawa","baishino_tsue.txt","『襄か。"
"63","yoshikawa","baishino_tsue.txt","ご苦労じゃの』"
"64","yoshikawa","baishino_tsue.txt","山陽へは、その眼を見て、こう言っただけで、梅※は、あとの総てのことばを、わが子以外の人々へ如才なく酬いた。"
"65","yoshikawa","baishino_tsue.txt",""
"66","yoshikawa","baishino_tsue.txt","茶をのんで、やがて帰る人があった。"
"67","yoshikawa","baishino_tsue.txt","後日を約して、あらかたの人も去った。"
"68","yoshikawa","baishino_tsue.txt",""
"69","yoshikawa","baishino_tsue.txt","今夜は、大坂の八百長に宿の支度がしてあるからという、篠崎小竹の好意に甘えて、近親のもの五六名だけが駕へ移ろうと支度をしていた時である。"
"70","yoshikawa","baishino_tsue.txt","ふたりの男を連れた、同心ていの役人が、大股に歩いて来て、"
"71","yoshikawa","baishino_tsue.txt","『そこに居られるのは、頼先生の御母堂ではありませんか』"
"72","yoshikawa","baishino_tsue.txt","と、声をかけた。"
"73","yoshikawa","baishino_tsue.txt",""
"74","yoshikawa","baishino_tsue.txt","『左様です』"
"75","yoshikawa","baishino_tsue.txt","と、門人の後藤松蔭が立って、"
"76","yoshikawa","baishino_tsue.txt","『何か御用ですか』"
"77","yoshikawa","baishino_tsue.txt","『てまえは、御母堂の乗っておられた便船へ、室津から同乗した者ですが、何ぞ御紛失物はありませぬか。"
"78","yoshikawa","baishino_tsue.txt","御懐中のものでも』"
"79","yoshikawa","baishino_tsue.txt","松蔭の眼が、山陽を顧みた。"
"80","yoshikawa","baishino_tsue.txt",""
"81","yoshikawa","baishino_tsue.txt","『母上、同乗して来たお方が、あの様に申して下さいますが、船中で変ったことでもあったのでございますか』"
"82","yoshikawa","baishino_tsue.txt","梅※は、べつだんな顔もせずに、"
"83","yoshikawa","baishino_tsue.txt","『いいえ、何ごとも』"
"84","yoshikawa","baishino_tsue.txt","『路銀などはございますか』"
"85","yoshikawa","baishino_tsue.txt","『失くしておりませぬ』"
"86","yoshikawa","baishino_tsue.txt","それを聞くと、同心ていの男は、山陽の方へていねいに会釈をしながら、"
"87","yoshikawa","baishino_tsue.txt","『いや、それならば結構でした。"
"88","yoshikawa","baishino_tsue.txt","実は、便船のうちに、ひとり悪い者が乗りこんでおりましたから、御老体につけこんで或は、何か御災難がありはしまいかと案じられましたので、老婆心までに、ちょっとおたずね申してみたのです』"
"89","yoshikawa","baishino_tsue.txt","山陽は、床几を立って、"
"90","yoshikawa","baishino_tsue.txt","『それは、わざわざ御親切に、――して、失礼ですが御所属は？』"
"91","yoshikawa","baishino_tsue.txt","『大坂の大塩平八郎配下にござります』"
"92","yoshikawa","baishino_tsue.txt","『ああ洗心洞の』"
"93","yoshikawa","baishino_tsue.txt","『計らずも山陽先生にお目にかかって、冥加至極に思いまする。"
"94","yoshikawa","baishino_tsue.txt","御母堂にも、ごきげんよく御滞京を祈ります』"
"95","yoshikawa","baishino_tsue.txt","『わけての御好意。"
"96","yoshikawa","baishino_tsue.txt","まだ拝眉を得ませぬが、中斎先生にも、どうぞよろしゅう』"
"97","yoshikawa","baishino_tsue.txt","――立ち去るのを見送って、山陽は、"
"98","yoshikawa","baishino_tsue.txt","『さすがだな。"
"99","yoshikawa","baishino_tsue.txt","やはり大塩の下には良吏が居る。"
"100","yoshikawa","baishino_tsue.txt","噂はうそじゃない』"
"101","yoshikawa","baishino_tsue.txt","と、呟いた。"
"102","yoshikawa","baishino_tsue.txt",""
"103","yoshikawa","baishino_tsue.txt","×"
"104","yoshikawa","baishino_tsue.txt","夕刻、八百長の楼上にくつろいで、とにかく、母の落着きをながめた山陽は、初めて、三年ぶりの甘やかな気持に浸った。"
"105","yoshikawa","baishino_tsue.txt",""
"106","yoshikawa","baishino_tsue.txt","父の春水を亡ってから八年になる。"
"107","yoshikawa","baishino_tsue.txt","自分が母の愛というものを意識してから今日にいたるまで、殆ど四十余年、いまだに広島の屋敷では、孫の余一の嫁が納らなかったり、家事に苦労がたえないでいるらしい。"
"108","yoshikawa","baishino_tsue.txt","その愛と犠牲の生涯に老いた六十五歳の皮膚を見ていると、山陽はひとりでに涙が眼にたまった。"
"109","yoshikawa","baishino_tsue.txt",""
"110","yoshikawa","baishino_tsue.txt","あとから聞きつけた者が、ここへも、ちらほらと刺を通じて、見舞をのべに訪れた。"
"111","yoshikawa","baishino_tsue.txt","が彼は、この寛ぎを失うのと、母の疲れを惧れて、宿の者にふくめて、ていねいに断らせた。"
"112","yoshikawa","baishino_tsue.txt",""
"113","yoshikawa","baishino_tsue.txt","そこへ、一荷の鮮魚が、贈り物として、母子の間に運ばれた。"
"114","yoshikawa","baishino_tsue.txt",""
"115","yoshikawa","baishino_tsue.txt","『どなたからじゃ』"
"116","yoshikawa","baishino_tsue.txt","取次いだ宿の女中も分らない顔をして、"
"117","yoshikawa","baishino_tsue.txt","『室津から同船した者といえば分る。"
"118","yoshikawa","baishino_tsue.txt","お見それして、飛んだ失礼をしました。"
"119","yoshikawa","baishino_tsue.txt","これをお慰みに上げてくれと言って、置いておいでになりました』"
"120","yoshikawa","baishino_tsue.txt","『では、大塩組のお役人か』"
"121","yoshikawa","baishino_tsue.txt","『いいえ、三尺帯を締めた色の小白い町人衆でございますが』"
"122","yoshikawa","baishino_tsue.txt","『名は』"
"123","yoshikawa","baishino_tsue.txt","『告げずに行ってしまいました』"
"124","yoshikawa","baishino_tsue.txt","山陽は笑った。"
"125","yoshikawa","baishino_tsue.txt",""
"126","yoshikawa","baishino_tsue.txt","『人違いだろう。"
"127","yoshikawa","baishino_tsue.txt","食べた後で、取り返しに来られては困る。"
"128","yoshikawa","baishino_tsue.txt","下げてくれ』"
"129","yoshikawa","baishino_tsue.txt","『でも、はっきりと、頼先生のお年より様に、と申しましたが』"
"130","yoshikawa","baishino_tsue.txt","梅※は、女中の困った顔つきを救ってやるように、"
"131","yoshikawa","baishino_tsue.txt","『よい、よい。"
"132","yoshikawa","baishino_tsue.txt","あちらへ下げて、みんなして食べたがよい』"
"133","yoshikawa","baishino_tsue.txt","と、言った。"
"134","yoshikawa","baishino_tsue.txt",""
"135","yoshikawa","baishino_tsue.txt","膳が来て、梅※、山陽、小竹、松蔭、その他の者とが静かに杯を交し始めてからも、そのことで笑った。"
"136","yoshikawa","baishino_tsue.txt",""
