"","auth","piece","line"
"0","yoshikawa","bengara_kotatsu.txt","べんがら炬燵"
"1","yoshikawa","bengara_kotatsu.txt","吉川英治"
"2","yoshikawa","bengara_kotatsu.txt",""
"3","yoshikawa","bengara_kotatsu.txt","-------------------------------------------------------"
"4","yoshikawa","bengara_kotatsu.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","bengara_kotatsu.txt",""
"6","yoshikawa","bengara_kotatsu.txt","《》：ルビ"
"7","yoshikawa","bengara_kotatsu.txt","（例）廂"
"8","yoshikawa","bengara_kotatsu.txt",""
"9","yoshikawa","bengara_kotatsu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","bengara_kotatsu.txt","（例）上杉弾正｜太弼"
"11","yoshikawa","bengara_kotatsu.txt",""
"12","yoshikawa","bengara_kotatsu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","bengara_kotatsu.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","bengara_kotatsu.txt","（例）※"
"15","yoshikawa","bengara_kotatsu.txt","-------------------------------------------------------"
"16","yoshikawa","bengara_kotatsu.txt",""
"17","yoshikawa","bengara_kotatsu.txt","雪の後"
"18","yoshikawa","bengara_kotatsu.txt",""
"19","yoshikawa","bengara_kotatsu.txt","北がわの屋根には、まだ雪が残っているのであろう、廂の下から室内は、広いので、灯がほしいほど薄暗いが、南の雀口にわずかばかりつよい陽の光が刎ね返っていた。"
"20","yoshikawa","bengara_kotatsu.txt","きのうにつづいて、終日、退屈な音を繰りかえしている雨だれの無聊さをやぶるように、地面へ雪の落ちる音が、時々、ずしんと、十七人の腸にひびいた。"
"21","yoshikawa","bengara_kotatsu.txt",""
"22","yoshikawa","bengara_kotatsu.txt","太平記を借りうけて、今朝から手にしはじめた潮田又之丞が、その度に、きまって、書物から眸を離すので、そばに坐している近松勘六が、"
"23","yoshikawa","bengara_kotatsu.txt","「雪じゃよ」"
"24","yoshikawa","bengara_kotatsu.txt","低声でささやいた。"
"25","yoshikawa","bengara_kotatsu.txt",""
"26","yoshikawa","bengara_kotatsu.txt","「赤穂も、今年は降ったかな」"
"27","yoshikawa","bengara_kotatsu.txt","富森助右衛門がつぶやくと、"
"28","yoshikawa","bengara_kotatsu.txt","「のう、十郎左」"
"29","yoshikawa","bengara_kotatsu.txt","三、四人おいて坐っていた大石瀬左衛門が、前かがみに、磯貝十郎左衛門の方を見て、"
"30","yoshikawa","bengara_kotatsu.txt","「――雪で思いだしたが、もう十年も前、お国元の馬場で、雪というと、よく暴れたのう」"
"31","yoshikawa","bengara_kotatsu.txt","「うむ」"
"32","yoshikawa","bengara_kotatsu.txt","十郎左は、笑くぼでうなずいた。"
"33","yoshikawa","bengara_kotatsu.txt",""
"34","yoshikawa","bengara_kotatsu.txt","「この中でも、いちばん年下じゃが、そのころお小姓組のうちでも、やはり、貴様がいちばん小さかった。"
"35","yoshikawa","bengara_kotatsu.txt","そして、泣き虫は十郎左と決まっていたので、貴様の顔ばかり狙って、雪つぶてが飛んで来たものだった」"
"36","yoshikawa","bengara_kotatsu.txt","「泣き虫なら、もっと、涙もろい先輩がおるよ」"
"37","yoshikawa","bengara_kotatsu.txt","「誰」"
"38","yoshikawa","bengara_kotatsu.txt","紙捻で耳をほっていた赤埴源蔵が、"
