"","auth","piece","line"
"0","yoshikawa","bunkano_hi.txt","文化の日"
"1","yoshikawa","bunkano_hi.txt","吉川英治"
"2","yoshikawa","bunkano_hi.txt",""
"3","yoshikawa","bunkano_hi.txt","-------------------------------------------------------"
"4","yoshikawa","bunkano_hi.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","bunkano_hi.txt",""
"6","yoshikawa","bunkano_hi.txt","《》：ルビ"
"7","yoshikawa","bunkano_hi.txt","（例）想い"
"8","yoshikawa","bunkano_hi.txt",""
"9","yoshikawa","bunkano_hi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","bunkano_hi.txt","（例）至極｜坦々たる"
"11","yoshikawa","bunkano_hi.txt",""
"12","yoshikawa","bunkano_hi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","bunkano_hi.txt","（例）（昭和三十五年）"
"14","yoshikawa","bunkano_hi.txt","-------------------------------------------------------"
"15","yoshikawa","bunkano_hi.txt",""
"16","yoshikawa","bunkano_hi.txt","文化の日、十一月三日というと、ぼくら明治生まれのものには、降る雪も――だが菊の香も明治も遠くなりにけり――の感が深い。"
"17","yoshikawa","bunkano_hi.txt","だから文化の日の朝はいつも少年期への想いにつながる。"
"18","yoshikawa","bunkano_hi.txt",""
"19","yoshikawa","bunkano_hi.txt","けさも、茶の間のえんさきで雀を見ていた。"
"20","yoshikawa","bunkano_hi.txt","そしてふと、このごろは東京の雀もキレイになってきたなと思った。"
"21","yoshikawa","bunkano_hi.txt","なぜなら終戦後数年間は雀までが焦土によごれてウス汚かったものである。"
"22","yoshikawa","bunkano_hi.txt","それからやっと雀のオベベも今朝は文化の日らしく美しかった。"
"23","yoshikawa","bunkano_hi.txt","『平和とはこういう物と名づけたり』と私はひとりつぶやいた。"
"24","yoshikawa","bunkano_hi.txt","そのせいか番茶のかおりもばかに美味い。"
"25","yoshikawa","bunkano_hi.txt",""
"26","yoshikawa","bunkano_hi.txt","もちろん近年キレイになってきたのは、あに雀のみに限らんやである。"
"27","yoshikawa","bunkano_hi.txt","都市、服装、交通、住宅、いちおう外観はまあまあのていどにまで上昇してきた。"
"28","yoshikawa","bunkano_hi.txt","だがまだ文化国家と誇るには文化の日を幾十秋も重ねなければ、文化万歳と呼べそうもないことは選挙演説会の会場をのぞいただけでもすぐわかる。"
"29","yoshikawa","bunkano_hi.txt","ほんとの文化には雀の姿にあるような平和と安心がともになくてはならないものだが、各党の党士の雄たけびを聞けばやたらに不安ばかりが増してくる。"
