"","auth","piece","line"
"0","yoshikawa","dainanko_fujin.txt","日本名婦伝"
"1","yoshikawa","dainanko_fujin.txt","大楠公夫人"
"2","yoshikawa","dainanko_fujin.txt","吉川英治"
"3","yoshikawa","dainanko_fujin.txt",""
"4","yoshikawa","dainanko_fujin.txt","-------------------------------------------------------"
"5","yoshikawa","dainanko_fujin.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","dainanko_fujin.txt",""
"7","yoshikawa","dainanko_fujin.txt","《》：ルビ"
"8","yoshikawa","dainanko_fujin.txt","（例）河内"
"9","yoshikawa","dainanko_fujin.txt",""
"10","yoshikawa","dainanko_fujin.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","dainanko_fujin.txt","（例）弟｜正氏"
"12","yoshikawa","dainanko_fujin.txt",""
"13","yoshikawa","dainanko_fujin.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","dainanko_fujin.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","dainanko_fujin.txt","（例）※"
"16","yoshikawa","dainanko_fujin.txt","-------------------------------------------------------"
"17","yoshikawa","dainanko_fujin.txt",""
"18","yoshikawa","dainanko_fujin.txt","一"
"19","yoshikawa","dainanko_fujin.txt",""
"20","yoshikawa","dainanko_fujin.txt","木も草も枯れ果てて、河内の野は、霜の白さばかりが目に沁みる。"
"21","yoshikawa","dainanko_fujin.txt",""
"22","yoshikawa","dainanko_fujin.txt","世は戦に次ぐ戦であった。"
"23","yoshikawa","dainanko_fujin.txt","建武の平和もつかの間でしかなかった。"
"24","yoshikawa","dainanko_fujin.txt","楠木正成、弟｜正氏たち一族の夥しい戦死が聞えた後も、乱は熄まなかった。"
"25","yoshikawa","dainanko_fujin.txt","山は燃え、河はさけび、この辺りを中心として、楠氏の軍と、足利勢との激戦は、繰返され繰返されて、人皆が、冬野の白い枯木立のように、白骨となり終らなければ熄まないかに思われた。"
"26","yoshikawa","dainanko_fujin.txt",""
"27","yoshikawa","dainanko_fujin.txt","「……何として近づこう」"
"28","yoshikawa","dainanko_fujin.txt","ひとり野を歩いて行く男は考えていた。"
"29","yoshikawa","dainanko_fujin.txt",""
"30","yoshikawa","dainanko_fujin.txt","足利方の大将｜山名時氏の家来で、漆間蔵六という者だった。"
"31","yoshikawa","dainanko_fujin.txt","蔵六の顎にも霜が生えていた。"
"32","yoshikawa","dainanko_fujin.txt","五十がらみの武者である。"
"33","yoshikawa","dainanko_fujin.txt",""
"34","yoshikawa","dainanko_fujin.txt","蔵六はしかし武者いでたちはしていない。"
"35","yoshikawa","dainanko_fujin.txt","薬売りの持つ旅つづら一つ担って、それに似合う下人の脛当を着け、野太刀ひと腰さしていた。"
"36","yoshikawa","dainanko_fujin.txt",""
"37","yoshikawa","dainanko_fujin.txt","「おや。"
"38","yoshikawa","dainanko_fujin.txt","……輿が行くぞ。"
"39","yoshikawa","dainanko_fujin.txt","女人のお輿らしいが」"
"40","yoshikawa","dainanko_fujin.txt","冬木立の間を駈けぬけ、遽に、野の一すじ道へ急ぎ出した。"
"41","yoshikawa","dainanko_fujin.txt",""
"42","yoshikawa","dainanko_fujin.txt","彼が、大声して、手を振ったので、先を行く輿は、"
"43","yoshikawa","dainanko_fujin.txt","「何者？」"
"44","yoshikawa","dainanko_fujin.txt","と、止まったが、同時に、それを守る七名ばかりの郎党は、怪しみの眼をそろえて、長巻刀を向けたり、弓に矢をつがえかけたりした。"
"45","yoshikawa","dainanko_fujin.txt",""
"46","yoshikawa","dainanko_fujin.txt","蔵六は、次にまた、怪しい者でない由を呶鳴り立てた。"
"47","yoshikawa","dainanko_fujin.txt","京都で聞えている薬師の店の主だと云った。"
"48","yoshikawa","dainanko_fujin.txt","妙心寺のお書付も所持しているし、授翁和尚もよく存じ上げている。"
"49","yoshikawa","dainanko_fujin.txt","自分の家法とする金創の名薬は、以前、その授翁様を通じて、前に討死遊ばした正成様の御陣へもさしあげて、お賞にあずかったことがあると云った。"
"50","yoshikawa","dainanko_fujin.txt",""
"51","yoshikawa","dainanko_fujin.txt","「して、その薬師が、この戦場へ何しに、また何用で、われらを呼びとめたか」"
"52","yoshikawa","dainanko_fujin.txt","輿の従者たちが咎め返すと、蔵六は、家法の陣中薬を、東条の城へ献納のために来たと答え、洛内の商民である自分らとしては、せめてこういうことでもするしか、朝廷への御奉公の道はないので――などと云い足した。"
"53","yoshikawa","dainanko_fujin.txt",""
"54","yoshikawa","dainanko_fujin.txt","「いかがしたものでしょうか」"
"55","yoshikawa","dainanko_fujin.txt","従者のひとりは、輿の内なる若い女性に伺っていた。"
"56","yoshikawa","dainanko_fujin.txt","蔵六のことばを民草のしおらしい真心と聞いたか、※たけた声音の主は、計ろうてとらせてやるがよいと、内で云った。"
"57","yoshikawa","dainanko_fujin.txt",""
"58","yoshikawa","dainanko_fujin.txt",""
"59","yoshikawa","dainanko_fujin.txt","二"
"60","yoshikawa","dainanko_fujin.txt",""
"61","yoshikawa","dainanko_fujin.txt","千早、金剛山は云わずもがなである。"
"62","yoshikawa","dainanko_fujin.txt","この辺はどんな小山も窪地も、柵や寨でないところはない。"
"63","yoshikawa","dainanko_fujin.txt",""
"64","yoshikawa","dainanko_fujin.txt","だが蔵六は、折ふし途中で会った内侍の供に加わって来たので、難なく要塞の本拠まで入れた。"
"65","yoshikawa","dainanko_fujin.txt","後で聞けば、輿の上※は、吉野の仮宮に仕える内侍所の女性で、何かのお使いで東条の城へ見えた途中であったという。"
"66","yoshikawa","dainanko_fujin.txt",""
"67","yoshikawa","dainanko_fujin.txt","正成の戦死して後、ここは楠氏の本城地であった。"
"68","yoshikawa","dainanko_fujin.txt","十八郷の勤皇の将士の多くは、正成と共に湊川で殉じたが、なお孤塁には三千の忠精があった。"
"69","yoshikawa","dainanko_fujin.txt","巌のような結束があった。"
"70","yoshikawa","dainanko_fujin.txt",""
"71","yoshikawa","dainanko_fujin.txt","「――だが、屈強な者は、目立って減っているな」"
"72","yoshikawa","dainanko_fujin.txt","蔵六は、そう観た。"
"73","yoshikawa","dainanko_fujin.txt",""
"74","yoshikawa","dainanko_fujin.txt","彼が、入り込んだのは、正平二年、足利勢の細川｜兵部大輔や山名時氏の軍が、脆くも年少の大将楠木正行のために、一敗地にまみれて敗走したすぐ後のことだった。"
"75","yoshikawa","dainanko_fujin.txt",""
"76","yoshikawa","dainanko_fujin.txt","で、ここには今、戦捷の意気が漲っていた。"
"77","yoshikawa","dainanko_fujin.txt","山名細川の首も近く見ようぞ。"
"78","yoshikawa","dainanko_fujin.txt","春ともなれば、尊氏の首級を、京に梟けて、神璽を奉じ、主上の還幸をお願いし奉ろうぞ。"
"79","yoshikawa","dainanko_fujin.txt","そうみな希望にかがやいていた。"
"80","yoshikawa","dainanko_fujin.txt",""
"81","yoshikawa","dainanko_fujin.txt","けれど、蔵六の眼で見れば、その人々の信念にただ驚くばかりであった。"
"82","yoshikawa","dainanko_fujin.txt","彼が仕えている足利の軍隊からみれば、兵数は勿論、兵器、食糧、装備の諸具、欠乏を告げていない物はない。"
"83","yoshikawa","dainanko_fujin.txt",""
"84","yoshikawa","dainanko_fujin.txt","農倉の稗粟は云うまでもなく、畑の物も土を篩にかけたように喰べ尽している。"
"85","yoshikawa","dainanko_fujin.txt","龍泉寺の樹々も、ここの草木も、焚物として焚き尽し、立っているのは、風雨に黒くよごれた幾十｜旒かの菊水の旗ばかりであった。"
