"","auth","piece","line"
"0","yoshikawa","fugu.txt","河豚"
"1","yoshikawa","fugu.txt","吉川英治"
"2","yoshikawa","fugu.txt",""
"3","yoshikawa","fugu.txt","-------------------------------------------------------"
"4","yoshikawa","fugu.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","fugu.txt",""
"6","yoshikawa","fugu.txt","《》：ルビ"
"7","yoshikawa","fugu.txt","（例）中毒り"
"8","yoshikawa","fugu.txt",""
"9","yoshikawa","fugu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","yoshikawa","fugu.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"11","yoshikawa","fugu.txt","（例）※"
"12","yoshikawa","fugu.txt","-------------------------------------------------------"
"13","yoshikawa","fugu.txt",""
"14","yoshikawa","fugu.txt","＊"
"15","yoshikawa","fugu.txt","おととしより去年、去年より今年と、一冬ごとに東京に殖えて来たものに河豚料理がある。"
"16","yoshikawa","fugu.txt","街の灯が白くなる冬になると、河豚屋のかんばんが食通横丁に俳味を灯す。"
"17","yoshikawa","fugu.txt",""
"18","yoshikawa","fugu.txt","＊"
"19","yoshikawa","fugu.txt","県令を以て、「河豚料理販売ヲ禁止ス」の県は、今でも地方にある筈である。"
"20","yoshikawa","fugu.txt","東京にその制が解かれたのもつい近年のことだそうだ。"
"21","yoshikawa","fugu.txt","僕が味を覚えたのは、六、七年前で、多分直木の好みであったろうと思う、われわれ達で雑誌を出そうという話があり、新橋の大竹に集ろうというので行ってみると三上、大仏、佐々木、直木などの連中が、雑誌の話などはいっこうに出ずに、箸と妓と杯に終っている。"
"22","yoshikawa","fugu.txt","そこで、真ん中にいたのが、錦出の大皿に紫陽花のごとくならべられてある僕には初対面の河豚の肉だった。"
"23","yoshikawa","fugu.txt",""
"24","yoshikawa","fugu.txt","＊"
"25","yoshikawa","fugu.txt","いやだというのに、この晩、ヒレ酒の味を僕に覚えさせたのが三上於菟吉で、飲んでみると口あたりがいい、こっぷ酒など、見ても眩いを催す僕が、うかと二、三杯やったために、この夜の帰り途、君子の過ちに似た事を起して、僕は旅の空で一年暮してしまった。"
"26","yoshikawa","fugu.txt","決して、於菟吉のせいではない、やっぱり河豚は中たる。"
"27","yoshikawa","fugu.txt",""
"28","yoshikawa","fugu.txt","＊"
"29","yoshikawa","fugu.txt","行動的の中毒り方はいろいろあろうが、食後三十分間後、すぐに死斑を顔に生じるような怖れなどは、絶無だと僕は信じるほうの組だ。"
"30","yoshikawa","fugu.txt","河豚をこわがっている人が、自動車に乗って東京を歩くなどは以てのほかだろう。"
"31","yoshikawa","fugu.txt","下ノ関の大吉だか春帆楼かで、頭山満翁が、卓上の料理が河豚だと聞くと、いきなり起ってそれへ小便したという話はあるが、あの頃よりは、河豚の科学はずっと進歩している。"
"32","yoshikawa","fugu.txt","危険率も今日の都会の如くでなかったから、河豚といえど避けて通る理由があった。"
"33","yoshikawa","fugu.txt",""
"34","yoshikawa","fugu.txt","＊"
"35","yoshikawa","fugu.txt","長州の旧藩制度には、家士にして河豚を食して死んだ場合は、家禄没取、家名断絶というきびしい掟があった。"
"36","yoshikawa","fugu.txt","だから、萩や山口の藩士が河豚を食うのは、生命がけどころか、先祖末代がけであった。"
"37","yoshikawa","fugu.txt","そのせいもあろうが、ほんとの河豚料理法はここで発達したものだという。"
"38","yoshikawa","fugu.txt","下ノ関が、河豚の本場のようにいわれだしたのは、河豚癖のある伊藤、山県、井上、などの維新の元勲たちが、お国物を阿弥陀寺町で鼓吹したためで、明治以後の地理的発達によるのだと、萩の河豚党は、今も宗家をもって任じている。"
"39","yoshikawa","fugu.txt",""
"40","yoshikawa","fugu.txt","＊"
"41","yoshikawa","fugu.txt","出雲の大社あたりでは、旅館の膳にも河豚がつくそうである。"
"42","yoshikawa","fugu.txt","山陰あたりでも冬は河豚が盛んに供されるそうだが、まだ裏日本の河豚は僕は知らない。"
"43","yoshikawa","fugu.txt","「なめらふぐ」という種類で、まずいという人もある。"
"44","yoshikawa","fugu.txt","金沢の卯の花漬は、焙って食べるもので、これは人が珍重がる。"
"45","yoshikawa","fugu.txt","萩の桜漬も焼いて食うのであるが、チリ、刺身を思っては、その味は遠い。"
"46","yoshikawa","fugu.txt",""
"47","yoshikawa","fugu.txt","別府に、冬を半月ほど暮していた間、晩になると河豚をたのしんだが、味もよし、女中のあしらいも綺麗事で、東京に近ごろ殖えたのとは比較にならない。"
"48","yoshikawa","fugu.txt","白いキモと春菊の真っ青なのが焜炉の火のうえでコトコトと音立てている冬の夜ほど温かに囲まれたいという気のするものは他にない。"
"49","yoshikawa","fugu.txt",""
"50","yoshikawa","fugu.txt","＊"
"51","yoshikawa","fugu.txt","あれほど美味いという河豚も、もしあの刺身の黄橙酢に添える浅葱と、チリ鍋に入れるこれが冬の畑の物かと眼を醒ますような青々とした春菊がなければ、僕は箸を出す気になれまいと思う。"
"52","yoshikawa","fugu.txt",""
"53","yoshikawa","fugu.txt","その春菊は、東京の八百屋にもあるが、かんじんな浅葱がない。"
"54","yoshikawa","fugu.txt","いつぞや、岩崎栄が電話で今夜河豚を持ってゆくから、野菜の添え物はそちらで頼むとかけて来た。"
"55","yoshikawa","fugu.txt","新聞杜から提げてくる河豚などは、金輪際迷惑のいたりだから断るというと、馬鹿にするな、見てからものを申してもらいたいと云う。"
"56","yoshikawa","fugu.txt","やがて、提げて来たのを見ると、木箱とブリキのハンダ付で三重に密閉され、その間は氷詰になっている。"
"57","yoshikawa","fugu.txt","聞けば、知人の贈り物で下ノ関から着いたばかりだとある。"
"58","yoshikawa","fugu.txt","春菊や浅葱や卸しものまで、美術的に詰めてあるのだ。"
