"","auth","piece","line"
"0","yoshikawa","gyomon.txt","魚紋"
"1","yoshikawa","gyomon.txt","吉川英治"
"2","yoshikawa","gyomon.txt",""
"3","yoshikawa","gyomon.txt","-------------------------------------------------------"
"4","yoshikawa","gyomon.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","gyomon.txt",""
"6","yoshikawa","gyomon.txt","《》：ルビ"
"7","yoshikawa","gyomon.txt","（例）お部屋様"
"8","yoshikawa","gyomon.txt",""
"9","yoshikawa","gyomon.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","gyomon.txt","（例）九｜郎"
"11","yoshikawa","gyomon.txt",""
"12","yoshikawa","gyomon.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","gyomon.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","gyomon.txt","（例）※"
"15","yoshikawa","gyomon.txt","-------------------------------------------------------"
"16","yoshikawa","gyomon.txt",""
"17","yoshikawa","gyomon.txt","お部屋様くずれ"
"18","yoshikawa","gyomon.txt",""
"19","yoshikawa","gyomon.txt",""
"20","yoshikawa","gyomon.txt","一"
"21","yoshikawa","gyomon.txt",""
"22","yoshikawa","gyomon.txt","今夜も又、この顔合せでは、例によって、夜明かしとなること間違い無しである。"
"23","yoshikawa","gyomon.txt",""
"24","yoshikawa","gyomon.txt","更けても、火鉢に炭をつぐ世話もいらない程の陽気だし、桜花も今夜あたりでおしまいだろう、櫺子の外には、まだ戸を閉てない頃から、春雨の音がしとしとと降りつづいていた。"
"25","yoshikawa","gyomon.txt",""
"26","yoshikawa","gyomon.txt","パチ……パチリ"
"27","yoshikawa","gyomon.txt","榧の柾目の盤が三面、行儀よく並んでいた。"
"28","yoshikawa","gyomon.txt","床の間へ寄った一面は空いていて、紫ちりめんの座ぶとんだけがある。"
"29","yoshikawa","gyomon.txt","那智石の白へ手を突っ込んで、"
"30","yoshikawa","gyomon.txt","『さアて。"
"31","yoshikawa","gyomon.txt","……』"
"32","yoshikawa","gyomon.txt","弱った顔つきを、近視のように盤へ近づけてうなっているのは、ついこの近所の山岡屋という、質屋の番頭。"
"33","yoshikawa","gyomon.txt",""
"34","yoshikawa","gyomon.txt","質屋というと、堅気の中でもかちかちの吝嗇屋らしく聞えるが、専ら商売になってゆくのは、盗品買だといううわさのある質屋なのである。"
"35","yoshikawa","gyomon.txt","で、そこの番頭という才助の眼もどこか鋭かった。"
"36","yoshikawa","gyomon.txt","けれど、男ぶりはちょっと好くて、年頃も、ここへ集まる中では一番若い二十四か五ぐらい。"
"37","yoshikawa","gyomon.txt",""
"38","yoshikawa","gyomon.txt","パチ？"
"39","yoshikawa","gyomon.txt","『なる程。"
"40","yoshikawa","gyomon.txt","妙手もあるものだの』"
"41","yoshikawa","gyomon.txt","相手は医者の玄庵だった。"
"42","yoshikawa","gyomon.txt",""
"43","yoshikawa","gyomon.txt","外科では上手と云われているが、脂ぎった五十男で、仁術という職業には余りに体力的な人物だった。"
"44","yoshikawa","gyomon.txt","道楽が多いらしいのである。"
"45","yoshikawa","gyomon.txt","いつも高利を借りて苦しんでいる。"
"46","yoshikawa","gyomon.txt","第一病家を廻っている時間よりも、この碁会所にいるほうが遙かに多いという医者様だった。"
"47","yoshikawa","gyomon.txt",""
"48","yoshikawa","gyomon.txt",""
"49","yoshikawa","gyomon.txt","二"
"50","yoshikawa","gyomon.txt",""
"51","yoshikawa","gyomon.txt","『済まないが、今度はもらったぜ』"
"52","yoshikawa","gyomon.txt","一局、勝敗がついたとみえ、盤の下にかくしてある賭金を、攫うように懐中へしまいこんで、"
"53","yoshikawa","gyomon.txt","『――何うだな、其っ方の風雲は』"
"54","yoshikawa","gyomon.txt","云いながら、隣りの対局へ、横から顔をつき出したのは、横※に黒い刀傷のある村安伝九｜郎である。"
"55","yoshikawa","gyomon.txt",""
"56","yoshikawa","gyomon.txt","これは御家人と自称している男で、三十がらみの苦みばしった骨柄であった。"
"57","yoshikawa","gyomon.txt","背が高く、手脚が長くそして、痩せているので、岡場所などを通ると売女たちが、"
"58","yoshikawa","gyomon.txt","（蟷螂さん――）"
"59","yoshikawa","gyomon.txt","と綽名して呼ぶ。"
"60","yoshikawa","gyomon.txt",""
"61","yoshikawa","gyomon.txt","その蟷螂さんと対局して、今、賭けておいた幾らかの金を取られ、悄ぼりと、もう石を崩した盤を、いつ迄、未練げに眺めていたのは、浮世絵師の喜多川春作だった。"
"62","yoshikawa","gyomon.txt",""
"63","yoshikawa","gyomon.txt","気が弱くて、闘志がなく、おまけに碁はカラ下手と来ている春作は、よせばいいのに、毎晩ここへ来なければ寝られないと云っている、来れば又、必ず鴨なのだ。"
"64","yoshikawa","gyomon.txt",""
"65","yoshikawa","gyomon.txt","（何の因果か）"
"66","yoshikawa","gyomon.txt","と、自分でもこぼして居ながら、今夜もいつ迄、帰ろうとはしない。"
"67","yoshikawa","gyomon.txt",""
"68","yoshikawa","gyomon.txt","もう更けているので、よく流行るこの碁会所も、帰る者は帰ってしまったのであろう、座敷に居て、夜も知らないのは、こう四名だった。"
"69","yoshikawa","gyomon.txt",""
"70","yoshikawa","gyomon.txt","後は――この碁会所の主が一人。"
"71","yoshikawa","gyomon.txt",""
"72","yoshikawa","gyomon.txt","今し方、夜食の鮓が台所へ入ったから、茶を入れる支度をしているのであろう、茶の間のほうで瀬戸物の音がしている。"
"73","yoshikawa","gyomon.txt",""
"74","yoshikawa","gyomon.txt","『かまきりさん』"
"75","yoshikawa","gyomon.txt","そこから声がして、"
"76","yoshikawa","gyomon.txt","『もう、お鮓を出してもよござんすか』"
"77","yoshikawa","gyomon.txt","伝九郎は舌打ちして、"
"78","yoshikawa","gyomon.txt","『よしてくれ、かまきりなんて呼ぶなあ。"
"79","yoshikawa","gyomon.txt","――悪党じゃあるめえし』"
"80","yoshikawa","gyomon.txt","『ホホホホ。"
"81","yoshikawa","gyomon.txt","だって、呼ぶ人がきれいな女だと、振向くじゃないの』"
"82","yoshikawa","gyomon.txt","『からかうのか、師匠』"
"83","yoshikawa","gyomon.txt","『よそう、おまえさんが怒ると、ちょっと凄いからね。"
"84","yoshikawa","gyomon.txt","――お鮓は』"
"85","yoshikawa","gyomon.txt","『まだ、山岡屋と玄庵の勝負が片づかねえから、もすこしの間、そっちへ置いといてくれ』"
"86","yoshikawa","gyomon.txt","『だいぶ大戦だとみえますね』"
"87","yoshikawa","gyomon.txt","そう云いながら、碁会所の女｜主人は、茶の間から出て来た。"
"88","yoshikawa","gyomon.txt","髪を切下げにしているけれど、年はまだやっと二十四、五にしか見えない。"
"89","yoshikawa","gyomon.txt","いつも被布を着て崩したことがない。"
"90","yoshikawa","gyomon.txt","十六の頃からさる北国の大名のお部屋様として栄華をしつくして来たが、その大名の近習の者と恋をして、やがて浮名が立つと、腹を切った男をすてて、自分ひとりで越後から江戸まで逃げのびて来たという履歴を持っていた。"
"91","yoshikawa","gyomon.txt",""
"92","yoshikawa","gyomon.txt","さすがに、琴、茶、花、何でも嗜みがあって、絵もすこし描くし、わけて碁は生れつきの才分とみえ、大名の奥にいた頃、宗家から女で四段の許しをもらっていた。"
"93","yoshikawa","gyomon.txt",""
"94","yoshikawa","gyomon.txt","（――お可久様）"
"95","yoshikawa","gyomon.txt","近所の者や御用聞きは、みな「様」をつけて呼んでいた。"
"96","yoshikawa","gyomon.txt","この本所の裏町では、彼女の高貴めいた身装だの端麗な目鼻立ちが、掃溜の鶴と見えるらしく、妙な尊敬を持つのだった。"
"97","yoshikawa","gyomon.txt",""
"98","yoshikawa","gyomon.txt","お可久様も又、それを当然として、内輪でこそ砕けているが、往来へ出ると頭が高かった。"
"99","yoshikawa","gyomon.txt",""
"100","yoshikawa","gyomon.txt","（あの女は元、大名のお部屋様だったのだそうだ）"
"101","yoshikawa","gyomon.txt","（道理で、品がある）"
"102","yoshikawa","gyomon.txt","（町女には、ああいうのは居ない）"
"103","yoshikawa","gyomon.txt","（すごいな）"
"104","yoshikawa","gyomon.txt","頭の高いのがよく見えるのだから可笑しい。"
"105","yoshikawa","gyomon.txt","彼女が、今の家に、囲碁指南のかんばんを掛ると、かねがね、眼をつけていたのが早速に集まった。"
"106","yoshikawa","gyomon.txt",""
"107","yoshikawa","gyomon.txt","ずいぶん贅沢をやって暮しているが、それは蟻のように皆、甘い男たちが運んで来るらしい。"
"108","yoshikawa","gyomon.txt","もっとも初めは指南だけであったが、いつの間にか、賭碁が専らになり、そのほうの収益も尠くない。"
"109","yoshikawa","gyomon.txt","そしてお可久様を張りに来ている連中も、だんだん篩にかけられて、粘り強い者だけが、今では、碁盤の外の勝敗に鎬を削っているのであった。"
"110","yoshikawa","gyomon.txt",""
"111","yoshikawa","gyomon.txt","浮世絵師の喜多川春作。"
"112","yoshikawa","gyomon.txt",""
