"","auth","piece","line"
"0","yoshikawa","haruno_kari.txt","春の雁"
"1","yoshikawa","haruno_kari.txt","吉川英治"
"2","yoshikawa","haruno_kari.txt",""
"3","yoshikawa","haruno_kari.txt","-------------------------------------------------------"
"4","yoshikawa","haruno_kari.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","haruno_kari.txt",""
"6","yoshikawa","haruno_kari.txt","《》：ルビ"
"7","yoshikawa","haruno_kari.txt","（例）春"
"8","yoshikawa","haruno_kari.txt",""
"9","yoshikawa","haruno_kari.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","haruno_kari.txt","（例）中国｜筋"
"11","yoshikawa","haruno_kari.txt",""
"12","yoshikawa","haruno_kari.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","haruno_kari.txt","（例）春の雁"
"14","yoshikawa","haruno_kari.txt","-------------------------------------------------------"
"15","yoshikawa","haruno_kari.txt",""
"16","yoshikawa","haruno_kari.txt","春の雁"
"17","yoshikawa","haruno_kari.txt",""
"18","yoshikawa","haruno_kari.txt","からっとよく晴れた昼間ほど、手持ち不沙汰にひっそりしている色街であった。"
"19","yoshikawa","haruno_kari.txt","この深川では、夜などは見たこともないが、かえって昼間はどうかすると、御旅の裏の草ッ原で、子を連れて狐が陽なたに遊んでいたりする事があるという。"
"20","yoshikawa","haruno_kari.txt",""
"21","yoshikawa","haruno_kari.txt","――通船楼の若いおかみさんは、"
"22","yoshikawa","haruno_kari.txt","「何だえ、包み始めてさ。"
"23","yoshikawa","haruno_kari.txt","……負けずに持って帰るつもりかえ」"
"24","yoshikawa","haruno_kari.txt","歯ぎれのいい女だけに、笑いながら云っても、人を蔑むように美しいのである。"
"25","yoshikawa","haruno_kari.txt",""
"26","yoshikawa","haruno_kari.txt","清吉は、頭を掻いて、"
"27","yoshikawa","haruno_kari.txt","「だって、御寮人様、何ぼなんでも、この唐桟を、十七両だなんて」"
"28","yoshikawa","haruno_kari.txt","「高価すぎるかえ」"
"29","yoshikawa","haruno_kari.txt","「ご冗戯でしょう。"
"30","yoshikawa","haruno_kari.txt","新渡じゃあござんせんぜ。"
"31","yoshikawa","haruno_kari.txt","これくらいな古渡りは、長崎だって滅多にもうある品じゃないんで」"
"32","yoshikawa","haruno_kari.txt","内緒部屋の障子の桟には、絶えず波の影が揺らいでいた。"
"33","yoshikawa","haruno_kari.txt","すぐ裏手が、晩には猪牙の客を迎える狭い河だった。"
"34","yoshikawa","haruno_kari.txt",""
"35","yoshikawa","haruno_kari.txt","「どうするのさ」"
"36","yoshikawa","haruno_kari.txt","通船楼の若いおかみさんは、清吉には苦手なお客様とみえる。"
"37","yoshikawa","haruno_kari.txt","せめて二十両でといえば、良人に着せるのだから、自分の一存ではそう高く買えないと云う。"
"38","yoshikawa","haruno_kari.txt",""
"39","yoshikawa","haruno_kari.txt","「じゃあ、とにかく、置いて参りますから、旦那様にもお目にかけた上でひとつ……」"
"40","yoshikawa","haruno_kari.txt","そこらへ並び散らしてある他の鼈甲物だの、縞だの、珊瑚だの、香料だの、青磁だの、支那文人画の小点などを、片手に提げられるくらいな包みに小ぢんまりと纏めてしまうと、"
"41","yoshikawa","haruno_kari.txt","「これでいいだろう」"
"42","yoshikawa","haruno_kari.txt","金を出して、通船楼のおかみさんは、唐桟の一巻を、自分の後ろへころがした。"
"43","yoshikawa","haruno_kari.txt",""
"44","yoshikawa","haruno_kari.txt","数えてみると、二十両あるので、清吉はかえって眼をみはってしまった。"
"45","yoshikawa","haruno_kari.txt","まだ二十歳を幾つも出ていまいと思われるのに、青い眉と黒豆のような歯並びをしているおかみさんは、"
"46","yoshikawa","haruno_kari.txt","「ホホホホホ。"
"47","yoshikawa","haruno_kari.txt","揶揄って上げたんだよ」"
"48","yoshikawa","haruno_kari.txt","と、独りでおかしがった。"
"49","yoshikawa","haruno_kari.txt",""
"50","yoshikawa","haruno_kari.txt","「へえ、ひどい事を！」"
"51","yoshikawa","haruno_kari.txt","「あたりまえさ。"
"52","yoshikawa","haruno_kari.txt","良人にわたしが見立てて着せようというのに、穢い値切り方をしたの、買い惜しみをしたのと聞いたら、着るにも気色が悪いと云って、良人だって着やしないし、わたしの意気だって届かないじゃないか」"
"53","yoshikawa","haruno_kari.txt","「これはどうも、手放しなところを」"
"54","yoshikawa","haruno_kari.txt","「お惚気賃は、前払いで云っている筈なんだよ」"
"55","yoshikawa","haruno_kari.txt","三両の聞き賃かと思えば、ごもっともでといくらでも神妙に聞ける。"
"56","yoshikawa","haruno_kari.txt","勿論、清吉だってまだ若いのだし、木の股から生れたのでもないから、こんな女の素惚気は決していい気持なものではないが。"
"57","yoshikawa","haruno_kari.txt",""
"58","yoshikawa","haruno_kari.txt","それに清吉は、三年のうち二年を旅暮しで送っている身だった。"
"59","yoshikawa","haruno_kari.txt","家は長崎で、反物や装身具や支那画などの長崎骨董を持って、関西から江戸の花客を廻り、あらかた金にすると、春の雁のように、遥々な故国へ帰ってゆくのである。"
"60","yoshikawa","haruno_kari.txt",""
"61","yoshikawa","haruno_kari.txt",""
"62","yoshikawa","haruno_kari.txt","ここの世界"
"63","yoshikawa","haruno_kari.txt",""
"64","yoshikawa","haruno_kari.txt","清吉の花客先は、上方でも江戸でもたいがい花柳界だった。"
"65","yoshikawa","haruno_kari.txt","金持らしい金持となると、近づき難いし、骨を折って出入りしても、買物となると、横柄ぶっているわりに、貧乏人より金には細かくて、彼に云わせれば、"
"66","yoshikawa","haruno_kari.txt","（みみッちい、見かけ倒しなボロ客だ）"
"67","yoshikawa","haruno_kari.txt","そうである。"
"68","yoshikawa","haruno_kari.txt",""
"69","yoshikawa","haruno_kari.txt","第一、鑑賞の眼がない、下駄に蒔絵をしたり、裾模様に珊瑚を入れたりして、豪奢ぶッているのが多いのだ。"
"70","yoshikawa","haruno_kari.txt","唐桟の新渡も古渡りもわからないでは、一反の縞に、二十金も出すような物好きにはなれない。"
"71","yoshikawa","haruno_kari.txt","そういう物好きの多いのは、やはり天下の狭斜の街のうちでも、この深川に越した所はないように思われる。"
"72","yoshikawa","haruno_kari.txt",""
"73","yoshikawa","haruno_kari.txt","そんなわけで清吉は、ずいぶん諸国の花明柳暗の里を見て来ているが、およそこの深川ほど、意気だとか、きゃんだとか、不可思議な女だましいと、あそびの世界の燈火とを、まるで名匠の芸術的事業でもあるように、客も妓も、茶屋や船頭に至るまでが、競い合って研いているなどという所は、およそ他国の遊び場所では見られないものだった。"
"74","yoshikawa","haruno_kari.txt",""
"75","yoshikawa","haruno_kari.txt","――だから、ここではいい商いも出来たが、来始めの二、三年は、この土地の人間の気質というものが分らなくて、清吉は呆っ気に取られてばかりいた。"
"76","yoshikawa","haruno_kari.txt","――分らないといえば、馴染みになっても、いまだに分らない問題に度々ぶつかる。"
"77","yoshikawa","haruno_kari.txt",""
"78","yoshikawa","haruno_kari.txt","つい昨日も。"
"79","yoshikawa","haruno_kari.txt",""
"80","yoshikawa","haruno_kari.txt","櫓下の大隅屋へ商いに行って、茶ばなしに聞いていた話なのであるが――"
"81","yoshikawa","haruno_kari.txt","其家へよく来るお客で、綽名を「黒さん」とも「能の面」ともいわれているお客がある。"
"82","yoshikawa","haruno_kari.txt","金切れもわるいし、御面相は綽名のとおりだしするのだ。"
"83","yoshikawa","haruno_kari.txt",""
"84","yoshikawa","haruno_kari.txt","（また、能の面の口だとさ）"
