"","auth","piece","line"
"0","yoshikawa","jitenno_susume.txt","辞典のすすめ"
"1","yoshikawa","jitenno_susume.txt","吉川英治"
"2","yoshikawa","jitenno_susume.txt",""
"3","yoshikawa","jitenno_susume.txt","-------------------------------------------------------"
"4","yoshikawa","jitenno_susume.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","jitenno_susume.txt",""
"6","yoshikawa","jitenno_susume.txt","《》：ルビ"
"7","yoshikawa","jitenno_susume.txt","（例）輝いて"
"8","yoshikawa","jitenno_susume.txt",""
"9","yoshikawa","jitenno_susume.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","yoshikawa","jitenno_susume.txt","（例）（昭和三十五年）"
"11","yoshikawa","jitenno_susume.txt","-------------------------------------------------------"
"12","yoshikawa","jitenno_susume.txt",""
"13","yoshikawa","jitenno_susume.txt","とかく、現代人はまだ、辞書辞典などを、ほんとに、自分の頭脳にしきっていない。"
"14","yoshikawa","jitenno_susume.txt","そのくせ、現今ほど、辞典の良書が、ぼくらの書架に、その選択の自由を豊かにされている時代もないのだが、なお遅れているのは、よくその辞典を使い生かす、こちらの頭の方にあるとおもう。"
"15","yoshikawa","jitenno_susume.txt",""
"16","yoshikawa","jitenno_susume.txt","ひとつの理由は、その習慣づけが足りないのである。"
"17","yoshikawa","jitenno_susume.txt","すぐ辞典を引く、またすぐ、辞書に問うてみるという日常の習性が日本人にはいたってすくない。"
"18","yoshikawa","jitenno_susume.txt","ばかなはなしである。"
"19","yoshikawa","jitenno_susume.txt","自分の書架に、ちゃんと、いつでも何でも訊いてくれといわんばかりに輝いている良師良友の辞典を措き忘れて、わからぬ事を、わからぬままに、よそへ向って、うろうろしている愚を、よく自分に見出すことがありはしないか。"
"20","yoshikawa","jitenno_susume.txt","いやひとごとではない。"
"21","yoshikawa","jitenno_susume.txt","私たちのような書斎人といわれる者すら、ままそんな非文化的な徒労をやって、あとから辞典に見いだして、ひと知れずよく苦笑する。"
"22","yoshikawa","jitenno_susume.txt","自嘲をおぼえる。"
"23","yoshikawa","jitenno_susume.txt",""
"24","yoshikawa","jitenno_susume.txt","一冊の良い辞典を備えれば、数十冊のいや数百冊の雑書も不要になるかとさえ思われる。"
"25","yoshikawa","jitenno_susume.txt","それほど辞典のエキスは濃密なのだ。"
"26","yoshikawa","jitenno_susume.txt","私などは独学をやってきたので、ひと頃の青年期には、良い辞書も少なかったし、また容易に買えなかった。"
"27","yoshikawa","jitenno_susume.txt","そこでたまたま、古本の辞典でも手に入れると、辞典の初めの、ア行やイ行から、辞典を読んでしまったりしたものだった。"
"28","yoshikawa","jitenno_susume.txt","――今は良い辞典がありすぎるのか。"
"29","yoshikawa","jitenno_susume.txt","学生諸子のそれの引用度を見ていると、いかにも、せっかくな恩恵を充分に生かしていない。"
"30","yoshikawa","jitenno_susume.txt","もったいない。"
"31","yoshikawa","jitenno_susume.txt","惜しまれる。"
"32","yoshikawa","jitenno_susume.txt","辞典は自己の脳細胞そのものの一部であることを、うっかりしている。"
"33","yoshikawa","jitenno_susume.txt","この大切な鍵を持ち忘れていたんでは、自分の天分の扉を開くこともむりである。"
"34","yoshikawa","jitenno_susume.txt",""
"35","yoshikawa","jitenno_susume.txt","（昭和三十五年）"
"36","yoshikawa","jitenno_susume.txt",""
"37","yoshikawa","jitenno_susume.txt",""
"38","yoshikawa","jitenno_susume.txt",""
"39","yoshikawa","jitenno_susume.txt","底本：「吉川英治全集・47草思堂随筆」講談社"
"40","yoshikawa","jitenno_susume.txt","1970（昭和45）年6月20日第1刷"
"41","yoshikawa","jitenno_susume.txt","入力：川山隆"
"42","yoshikawa","jitenno_susume.txt","校正：門田裕志"
"43","yoshikawa","jitenno_susume.txt","2013年5月4日作成"
"44","yoshikawa","jitenno_susume.txt","青空文庫作成ファイル："
"45","yoshikawa","jitenno_susume.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"46","yoshikawa","jitenno_susume.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"47","yoshikawa","jitenno_susume.txt",""
