"","auth","piece","line"
"0","yoshikawa","keiba.txt","競馬"
"1","yoshikawa","keiba.txt","吉川英治"
"2","yoshikawa","keiba.txt",""
"3","yoshikawa","keiba.txt","-------------------------------------------------------"
"4","yoshikawa","keiba.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","keiba.txt",""
"6","yoshikawa","keiba.txt","《》：ルビ"
"7","yoshikawa","keiba.txt","（例）弊"
"8","yoshikawa","keiba.txt","-------------------------------------------------------"
"9","yoshikawa","keiba.txt",""
"10","yoshikawa","keiba.txt","競馬場がふえ、競馬ファンもふえてきた。"
"11","yoshikawa","keiba.txt","応接間の座談として、競馬が語られる時代がきた。"
"12","yoshikawa","keiba.txt","その中で、時々、知人のあいだにも、“楽しみを楽しまざる人”がまま多い。"
"13","yoshikawa","keiba.txt","――競馬を苦しむ方の人である。"
"14","yoshikawa","keiba.txt",""
"15","yoshikawa","keiba.txt","このあいだも、某社の、記者としても人間としても、有能な若い人だが、競馬に熱中して、社にも負債を生じ、家庭にも困らせている人があるという話が出て――僕はその若い有能な雑誌記者を惜しむのあまり、その人は知らないが、忠告のてがみを送ろうとおもって、客に、姓名まで書いておいてもらったが、やはり未知の者へ、いきなりそんな手紙をやるのもためらわれ、必ず他にも近頃は同病の士も多かろうとおもって、ここに書くことにした。"
"16","yoshikawa","keiba.txt",""
"17","yoshikawa","keiba.txt","――といっても、僕自身、競馬は好きなのであるから、単に、競馬の弊を説くのではない。"
"18","yoshikawa","keiba.txt",""
"19","yoshikawa","keiba.txt","しかし、楽しみを楽しむには、害をも、理性にとめていなければなるまい。"
"20","yoshikawa","keiba.txt",""
"21","yoshikawa","keiba.txt","害を、強調する者は、よく、そのために産を破り、不義理をし、家庭をそこね、夜逃げまでするような例をあげて――だから有為な者が、近よるべきでないと云ったりする。"
"22","yoshikawa","keiba.txt",""
"23","yoshikawa","keiba.txt","国営になっても、その社会害は、かわらないという。"
"24","yoshikawa","keiba.txt",""
"25","yoshikawa","keiba.txt","その通りである。"
"26","yoshikawa","keiba.txt","だが、私はそれだけを思わない。"
"27","yoshikawa","keiba.txt",""
"28","yoshikawa","keiba.txt","あの競馬場の熱鬧は、そのままが、人生の一縮図だと、観るのである。"
"29","yoshikawa","keiba.txt","あの渦の中で、自己の理性を失う者は、実際の社会面でも、いつか、その弱点を、出す者にちがいない。"
"30","yoshikawa","keiba.txt",""
"31","yoshikawa","keiba.txt","あの馬券売場の前で、家庭を賭けたり、自分の信用や前途までを、アナ場へ、突ッこんでしまうものは、世間においても、いつか同じ心理のことをやってしまう危険性のある者にちがいない。"
"32","yoshikawa","keiba.txt","なぜならば、その人間に、あきらかに、そうした素質があることを、あのるつぼの試練が、実証してみせるからだ。"
"33","yoshikawa","keiba.txt","ただ、競馬場は、それを一日の短時間に示し、世間における処世では、それが長い間になされるという――時間のちがいだけしかない。"
"34","yoshikawa","keiba.txt",""
"35","yoshikawa","keiba.txt","競馬場のるつぼほど、自分の脆弱な意志の面と、いろいろな自己の短所がはっきり、心の表に、あらわれてくるものはない。"
"36","yoshikawa","keiba.txt","自分ですら気づかなかった根性が、ありありと露呈してくるものである。"
"37","yoshikawa","keiba.txt","それを意識にとらえて、理性と闘わせてみることは、大きな自己反省のくりかえしになる。"
"38","yoshikawa","keiba.txt","そして、長い人生のあいだに、いつか禍根となるべき自分の短所を、未然に、矯正することができるとおもう。"
"39","yoshikawa","keiba.txt","理性をもって、自由な遊戯心を、撓め正すなんてことは、それ自体、遊びではなくなるという人もあろうが、人生の苦しみをも、楽々遊びうる人ならいいが、そうでない限り、苦しみは遊びではなくなる――という結論はどうしようもない。"
"40","yoshikawa","keiba.txt",""
"41","yoshikawa","keiba.txt","ほんの小費いとして持って行ったものを、負けて帰るさえ、帰り途は、朝のように愉快ではない。"
"42","yoshikawa","keiba.txt","だから私は、以前の一レース二十円限度時代に、朝、右のズボンのかくしに、十レース分、二百円を入れてゆき、そのうち、一回でも、取った配当は、左のかくしに入れて帰った。"
"43","yoshikawa","keiba.txt","その気もちは、どんな遊戯にも、遊興代はかかるものであるから、あらかじめ、遊興費の前払いとおもう額を、右のポケットに入れて出かけるのである。"
"44","yoshikawa","keiba.txt","左のポケットに残って帰る分は、たとえいくらでも、儲かったと思って帰ることなのである。"
"45","yoshikawa","keiba.txt","――だから私は、どうです馬券は、と人にきかれると、負けたことはありません、と常に答えた。"
"46","yoshikawa","keiba.txt","帰り途も、いつでも、朝の出がけの気もちのまま、愉快に帰るために考えついた一方法である。"
"47","yoshikawa","keiba.txt",""
"48","yoshikawa","keiba.txt",""
"49","yoshikawa","keiba.txt",""
"50","yoshikawa","keiba.txt",""
"51","yoshikawa","keiba.txt","底本：「日本の名随筆別巻80競馬」作品社"
"52","yoshikawa","keiba.txt","1997（平成9）年10月25日第1刷発行"
"53","yoshikawa","keiba.txt","底本の親本：「吉川英治全集・47草思堂随筆」講談社"
"54","yoshikawa","keiba.txt","1970（昭和45）年6月20日第1刷"
"55","yoshikawa","keiba.txt","入力：門田裕志"
"56","yoshikawa","keiba.txt","校正：川山隆"
"57","yoshikawa","keiba.txt","2013年5月4日作成"
"58","yoshikawa","keiba.txt","青空文庫作成ファイル："
"59","yoshikawa","keiba.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"60","yoshikawa","keiba.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"61","yoshikawa","keiba.txt",""
