"","auth","piece","line"
"0","yoshikawa","kumokiri_enmacho.txt","雲霧閻魔帳"
"1","yoshikawa","kumokiri_enmacho.txt","吉川英治"
"2","yoshikawa","kumokiri_enmacho.txt",""
"3","yoshikawa","kumokiri_enmacho.txt","-------------------------------------------------------"
"4","yoshikawa","kumokiri_enmacho.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","kumokiri_enmacho.txt",""
"6","yoshikawa","kumokiri_enmacho.txt","《》：ルビ"
"7","yoshikawa","kumokiri_enmacho.txt","（例）人生"
"8","yoshikawa","kumokiri_enmacho.txt",""
"9","yoshikawa","kumokiri_enmacho.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","kumokiri_enmacho.txt","（例）羅宇屋｜煙管"
"11","yoshikawa","kumokiri_enmacho.txt",""
"12","yoshikawa","kumokiri_enmacho.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","kumokiri_enmacho.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","kumokiri_enmacho.txt","（例）※"
"15","yoshikawa","kumokiri_enmacho.txt","-------------------------------------------------------"
"16","yoshikawa","kumokiri_enmacho.txt",""
"17","yoshikawa","kumokiri_enmacho.txt","人生・間の山"
"18","yoshikawa","kumokiri_enmacho.txt",""
"19","yoshikawa","kumokiri_enmacho.txt","なるべく、縁起の吉い日にしようぜ。"
"20","yoshikawa","kumokiri_enmacho.txt","御幣をかつぐ訳じゃないが、物は縁起ということもあるし、お互い様に明日の首の座は分らない。"
"21","yoshikawa","kumokiri_enmacho.txt","こちとら、白浪渡世――"
"22","yoshikawa","kumokiri_enmacho.txt","いうにゃ及ぶ。"
"23","yoshikawa","kumokiri_enmacho.txt",""
"24","yoshikawa","kumokiri_enmacho.txt","さて、その日は？"
"25","yoshikawa","kumokiri_enmacho.txt","そうよ。"
"26","yoshikawa","kumokiri_enmacho.txt","――初日の出の元日――あたりはどうだ。"
"27","yoshikawa","kumokiri_enmacho.txt",""
"28","yoshikawa","kumokiri_enmacho.txt","なるほど、そいつアいい。"
"29","yoshikawa","kumokiri_enmacho.txt",""
"30","yoshikawa","kumokiri_enmacho.txt","元日より縁起の吉い日はねえ理窟だ。"
"31","yoshikawa","kumokiri_enmacho.txt","――次には、場所だが。"
"32","yoshikawa","kumokiri_enmacho.txt",""
"33","yoshikawa","kumokiri_enmacho.txt","その場所は、伊勢の間の山と決める。"
"34","yoshikawa","kumokiri_enmacho.txt","そして、年暮立ちに、各※が、土地を飛び、正月の抜け詣りを装って、落ち合う事にしようじゃないか――というような約束が、何日からか、土地を離れた五人の間に、出来上がっていたのである。"
"35","yoshikawa","kumokiri_enmacho.txt",""
"36","yoshikawa","kumokiri_enmacho.txt","発起人は、絵師の応挙の内弟子、その正月をとって、十七歳になる仁太郎だった。"
"37","yoshikawa","kumokiri_enmacho.txt",""
