"","auth","piece","line"
"0","yoshikawa","kuse.txt","くせ"
"1","yoshikawa","kuse.txt","吉川英治"
"2","yoshikawa","kuse.txt",""
"3","yoshikawa","kuse.txt","-------------------------------------------------------"
"4","yoshikawa","kuse.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","kuse.txt",""
"6","yoshikawa","kuse.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"7","yoshikawa","kuse.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"8","yoshikawa","kuse.txt","（例）※"
"9","yoshikawa","kuse.txt","-------------------------------------------------------"
"10","yoshikawa","kuse.txt",""
"11","yoshikawa","kuse.txt","家康は重大な話のうちに、ひょいと、話を聞いていない顔をする癖があると、何かの書に見た。"
"12","yoshikawa","kuse.txt","信長は、癇癖で有名である。"
"13","yoshikawa","kuse.txt","秀吉は、太閤殿下ともなられながら、昔の小才がぬけないで人に耳こすりをする癖があると時人に眉をひそめられた。"
"14","yoshikawa","kuse.txt",""
"15","yoshikawa","kuse.txt","又、徂徠は講義のうちに、扇のかなめで耳を掻く。"
"16","yoshikawa","kuse.txt","聖堂の学徒松崎万太郎は、放屁癖という人に迷惑なものを持っていた。"
"17","yoshikawa","kuse.txt","あの謹厳な渡辺崋山に、飲むと落涙する癖があり、尾崎紅葉はその反対に、飲むと江戸弁で啖呵を切る。"
"18","yoshikawa","kuse.txt","近くは若槻前民政総裁は、議会で困ると爪を噛む。"
"19","yoshikawa","kuse.txt",""
"20","yoshikawa","kuse.txt","＊"
"21","yoshikawa","kuse.txt","私の友人でユウモア作家の川上三太郎は、右の耳の疣を、弄ぶ癖がある。"
"22","yoshikawa","kuse.txt","初めは、耳朶の端にできた小さな疣だったが、常住坐臥、原稿を書き、恋を語るまも、それをいじるのが、癖となって――イヤ趣味なり快味と迄なって、疣の年経ること十数年、今では、乾葡萄のような色と大きさに育ってしまい、頗るグロテスクな耳環をぶら下げている。"
"23","yoshikawa","kuse.txt",""
"24","yoshikawa","kuse.txt","それにも増して、汚ないのは、越後の僧良寛である。"
"25","yoshikawa","kuse.txt","人と対坐しながら鼻くそを丸める。"
"26","yoshikawa","kuse.txt","わけて気に食わない来客が、五合庵を訪れなどすると、よけいに、それを丸めて、頻々と指先から飛ばすので、たいがいな面の皮の人でも、恐れをなして逃げ帰ったという。"
"27","yoshikawa","kuse.txt",""
"28","yoshikawa","kuse.txt","＊"
"29","yoshikawa","kuse.txt","良寛の鼻くそでは、逸話がある。"
"30","yoshikawa","kuse.txt",""
"31","yoshikawa","kuse.txt","町名主の家へ、かれは或る時、茶の会に招かれた。"
"32","yoshikawa","kuse.txt","主は茶のてまえが自慢である。"
"33","yoshikawa","kuse.txt","客も各※しかつめらしく並んでいたが、ひとり良寛だけが、ぽかんと、退屈そうだった。"
"34","yoshikawa","kuse.txt",""
"35","yoshikawa","kuse.txt","むずむずと、かれの癖が初まった。"
"36","yoshikawa","kuse.txt","良寛は、たんねんに拵えた丸薬大の鼻くそを、場所がら飛ばしかねて、右にいる人の袂へ、そっと、こすりつけようとしたが、その人が、袂を引いたので、今度は左側の人の袖へ持って行った。"
"37","yoshikawa","kuse.txt","所が、その人が、良寛の癖を心得ているので、オッと、そうはさせないと、袖を交して、御免蒙った。"
"38","yoshikawa","kuse.txt",""
"39","yoshikawa","kuse.txt","良寛は、困った顔をしたが、結局、それを元の持主である自分の鼻のあたまにくッつけて、澄まして、お茶を御馳走になっていた。"
"40","yoshikawa","kuse.txt",""
"41","yoshikawa","kuse.txt","＊"
"42","yoshikawa","kuse.txt","他人の癖は、すぐ見つかる。"
"43","yoshikawa","kuse.txt","そして気になる。"
"44","yoshikawa","kuse.txt","ところで自分の癖は――と僕自身を検討してみると、癖なんか、無いように考えられる。"
"45","yoshikawa","kuse.txt",""
"46","yoshikawa","kuse.txt","だが、そう考えるのが、すでに一癖かも知れない。"
"47","yoshikawa","kuse.txt","妻などにいわせたら、さだめし沢山あるだろう。"
"48","yoshikawa","kuse.txt","癇癖、失忘癖、沈黙癖、夜更し癖、間食癖、妻君一喝癖、等々々。"
"49","yoshikawa","kuse.txt",""
"50","yoshikawa","kuse.txt","そういえば、僕は埃嫌いだ。"
"51","yoshikawa","kuse.txt","机の上を、吹く癖がある。"
"52","yoshikawa","kuse.txt","どういうものか、人一倍眼がよく見え過ぎるので、かすかなる毛埃も気にかかる。"
"53","yoshikawa","kuse.txt","インキ壺を吹く、書架を撫でる。"
"54","yoshikawa","kuse.txt","外出する際、帽子にブラシュをかけて渡してくれても、いちど指で、埃を弾く。"
"55","yoshikawa","kuse.txt",""
"56","yoshikawa","kuse.txt","＊"
"57","yoshikawa","kuse.txt","失忘癖に至っては、僕も人後に落ちないものがある。"
"58","yoshikawa","kuse.txt","自分でも屡※おかしくなるのは、昼間便所へはいる際に、電気のスイッチを捻ってはいったりする。"
"59","yoshikawa","kuse.txt",""
"60","yoshikawa","kuse.txt","妻は、経済観念から女中や書生たちに、便所の電気は出る時には消して下さいといってある。"
"61","yoshikawa","kuse.txt","所が、電気は夜半も点け放しになっている。"
"62","yoshikawa","kuse.txt","あなたでしょう、と僕へいうから、イヤ僕は消したつもりだが、と自信をもって言ったが、後でよく考えてみると、自分は、はいる時には点ける事を忘れて、出てくる時に、スイッチをひねって来たのであった。"
"63","yoshikawa","kuse.txt",""
"64","yoshikawa","kuse.txt","＊"
"65","yoshikawa","kuse.txt","手帖、ハンケチ、万年筆、すべて僕は身につけて歩く物は嫌いだ。"
"66","yoshikawa","kuse.txt","一切持たない。"
"67","yoshikawa","kuse.txt","旅行の際には、時計だけはぜひ必要なので、それだけは腕にはめているが、或る時、それを外すのを忘れて、温泉にはいってしまったことがあった。"
"68","yoshikawa","kuse.txt",""
"69","yoshikawa","kuse.txt","急用で、高円寺から万世橋の駅まで電車券を買った。"
"70","yoshikawa","kuse.txt","廿銭出したら一銭銅貨を一枚オツリに渡されて、改札まで来ると電車はもうプラットホームに来ている。"
"71","yoshikawa","kuse.txt","乗りおくれまいと、急いで改札に鋏を求めたが、なぜか、その駅員は私の顔をじっと見たまま、切ってくれないので、電車は出てしまった。"
"72","yoshikawa","kuse.txt",""
"73","yoshikawa","kuse.txt","私は、故意のように、悠長な駅員の態度に、軽い腹立たしさを感じて、なぜ切らないかと咎めたら、駅員は儼然として、"
"74","yoshikawa","kuse.txt","『でも、銅貨は切れません』"
"75","yoshikawa","kuse.txt","と、いった。"
"76","yoshikawa","kuse.txt",""
