"","auth","piece","line"
"0","yoshikawa","nabeshima_kainokami.txt","鍋島甲斐守"
"1","yoshikawa","nabeshima_kainokami.txt","吉川英治"
"2","yoshikawa","nabeshima_kainokami.txt",""
"3","yoshikawa","nabeshima_kainokami.txt","-------------------------------------------------------"
"4","yoshikawa","nabeshima_kainokami.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","nabeshima_kainokami.txt",""
"6","yoshikawa","nabeshima_kainokami.txt","《》：ルビ"
"7","yoshikawa","nabeshima_kainokami.txt","（例）江戸町奉行"
"8","yoshikawa","nabeshima_kainokami.txt",""
"9","yoshikawa","nabeshima_kainokami.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","nabeshima_kainokami.txt","（例）利息｜故"
"11","yoshikawa","nabeshima_kainokami.txt",""
"12","yoshikawa","nabeshima_kainokami.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","nabeshima_kainokami.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","nabeshima_kainokami.txt","（例）※"
"15","yoshikawa","nabeshima_kainokami.txt","-------------------------------------------------------"
"16","yoshikawa","nabeshima_kainokami.txt",""
"17","yoshikawa","nabeshima_kainokami.txt","一"
"18","yoshikawa","nabeshima_kainokami.txt",""
"19","yoshikawa","nabeshima_kainokami.txt","問う者が、"
"20","yoshikawa","nabeshima_kainokami.txt","（世の中に何がいちばん多いか）"
"21","yoshikawa","nabeshima_kainokami.txt","と訊いたところ、答える者が、"
"22","yoshikawa","nabeshima_kainokami.txt","（それは人間でしょう）"
"23","yoshikawa","nabeshima_kainokami.txt","と、云った。"
"24","yoshikawa","nabeshima_kainokami.txt",""
"25","yoshikawa","nabeshima_kainokami.txt","問う者が又、重ねて、"
"26","yoshikawa","nabeshima_kainokami.txt","（では、世の中に何がいちばん少いか）"
"27","yoshikawa","nabeshima_kainokami.txt","すると、答える者が、"
"28","yoshikawa","nabeshima_kainokami.txt","（それも人間でしょう）"
"29","yoshikawa","nabeshima_kainokami.txt","と、云ったという話がある。"
"30","yoshikawa","nabeshima_kainokami.txt",""
"31","yoshikawa","nabeshima_kainokami.txt","江戸町奉行の鍋島甲斐守は、いつもその話を思い出して、その人間の中でもいちばん多いものは悪人ではなかろうかと思い、白洲に出るたび、人間に嫌悪を感じ、常に、不幸な職に就いたものだと、人に語っていた。"
"32","yoshikawa","nabeshima_kainokami.txt",""
"33","yoshikawa","nabeshima_kainokami.txt","捕まえても捕まえても、街に罪悪は絶えないし、白洲は悪人を迎える事で、夜が明ると忙しかった。"
"34","yoshikawa","nabeshima_kainokami.txt","――いや、かえって、捕まえれば捕まえる程、意地わるく悪人の数が殖えるような気もちすらして来る。"
"35","yoshikawa","nabeshima_kainokami.txt",""
"36","yoshikawa","nabeshima_kainokami.txt","『もう伝馬牢には入りきれません。"
"37","yoshikawa","nabeshima_kainokami.txt","牢普請でもしていただかなければ――』"
"38","yoshikawa","nabeshima_kainokami.txt","下役が悲鳴をあげて、こう訴えるほど、甲斐守は、職務に精励した事もあった。"
"39","yoshikawa","nabeshima_kainokami.txt",""
"40","yoshikawa","nabeshima_kainokami.txt","ではそれだけ、街にその時悪人が減っていたかというと、盛り場の事件も、岡場所の情痴沙汰も、夜盗も、強請も、人殺しも、文政末期の世間には相変らず瓦版が賑わって、江戸の街はすこしも澄んで来たとは見えない。"
