"","auth","piece","line"
"0","yoshikawa","narutohicho01.txt","鳴門秘帖"
"1","yoshikawa","narutohicho01.txt","上方の巻"
"2","yoshikawa","narutohicho01.txt","吉川英治"
"3","yoshikawa","narutohicho01.txt",""
"4","yoshikawa","narutohicho01.txt","-------------------------------------------------------"
"5","yoshikawa","narutohicho01.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","narutohicho01.txt",""
"7","yoshikawa","narutohicho01.txt","《》：ルビ"
"8","yoshikawa","narutohicho01.txt","（例）夜魔"
"9","yoshikawa","narutohicho01.txt",""
"10","yoshikawa","narutohicho01.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","narutohicho01.txt","（例）五｜位鷺"
"12","yoshikawa","narutohicho01.txt",""
"13","yoshikawa","narutohicho01.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","narutohicho01.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","narutohicho01.txt","（例）※"
"16","yoshikawa","narutohicho01.txt","-------------------------------------------------------"
"17","yoshikawa","narutohicho01.txt",""
"18","yoshikawa","narutohicho01.txt","夜魔昼魔"
"19","yoshikawa","narutohicho01.txt",""
"20","yoshikawa","narutohicho01.txt","安治川尻に浪が立つのか、寝しずまった町の上を、しきりに夜鳥が越えて行く。"
"21","yoshikawa","narutohicho01.txt",""
"22","yoshikawa","narutohicho01.txt","びッくりさせる、不粋なやつ、ギャーッという五｜位鷺の声も時々、――妙に陰気で、うすら寒い空梅雨の晩なのである。"
"23","yoshikawa","narutohicho01.txt",""
"24","yoshikawa","narutohicho01.txt","起きているのはここ一軒。"
"25","yoshikawa","narutohicho01.txt","青いものがこんもりした町角で、横一窓の油障子に、ボウと黄色い明りが洩れていて、サヤサヤと縞目を描いている柳の糸。"
"26","yoshikawa","narutohicho01.txt","軒には、「堀川会所」とした三尺札が下がっていた。"
"27","yoshikawa","narutohicho01.txt",""
"28","yoshikawa","narutohicho01.txt","と、中から、その戸を開けて踏み出しながら――"
"29","yoshikawa","narutohicho01.txt","「辻斬りが多い、気をつけろよ」"
"30","yoshikawa","narutohicho01.txt","見廻り四、五人と町役人、西奉行所の提灯を先にして、ヒタヒタと向うの辻へ消えてしまった。"
"31","yoshikawa","narutohicho01.txt",""
"32","yoshikawa","narutohicho01.txt","あとは時折、切れの悪い咳払いが中からするほか、いよいよ世間｜森としきった時分。"
"33","yoshikawa","narutohicho01.txt",""
"34","yoshikawa","narutohicho01.txt","「今晩は」"
"35","yoshikawa","narutohicho01.txt","会所の前に佇んだ二人の影がある。"
"36","yoshikawa","narutohicho01.txt","どっちも、露除けの笠に素草鞋、合羽の裾から一本落しの鐺をのぞかせ、及び腰で戸をコツコツとやりながら、"
"37","yoshikawa","narutohicho01.txt","「ええ、ちょっとものを伺いますが……」"
"38","yoshikawa","narutohicho01.txt","「誰だい」と、すぐ内から返辞があった。"
"39","yoshikawa","narutohicho01.txt",""
"40","yoshikawa","narutohicho01.txt","「ありがてえ、起きていますぜ」"
"41","yoshikawa","narutohicho01.txt","後ろの連れへささやいて、ガラリと仕切りを開ける。"
"42","yoshikawa","narutohicho01.txt","中は、土間二｜坪に床が三畳、町印の提灯箱やら、六尺棒、帳簿、世帯道具の類まであって、一人のおやじが寂然と構えている。"
"43","yoshikawa","narutohicho01.txt",""
"44","yoshikawa","narutohicho01.txt","「何だえ、今ごろに」"
"45","yoshikawa","narutohicho01.txt","錫の酒瓶を机にのせて、寝酒を舐めていた会所守の久六は、入ってきたのをジロリと眺めて、"
"46","yoshikawa","narutohicho01.txt","「旅の人だね」"
"47","yoshikawa","narutohicho01.txt","「へい、実は淀の仕舞船で、木村｜堤へ着いたは四刻頃でしたが、忘れ物をしたために、問屋で思わぬ暇を潰しましたんで」"
"48","yoshikawa","narutohicho01.txt","「ははあ、そこで何かい、どこの旅籠でも泊めてくれないという苦情だろう」"
"49","yoshikawa","narutohicho01.txt","「自身番の証札を見せろとか、四刻客はお断りですとか、今日、大阪入りの初ッぱなから、木戸を突かれ通しじゃございませんか」"
"50","yoshikawa","narutohicho01.txt","「当り前だ、町掟も心得なしに」"
"51","yoshikawa","narutohicho01.txt","「叱言を伺いに来た訳じゃござんせん。"
"52","yoshikawa","narutohicho01.txt","恐れいりますが、その宿札と、事のついでに、お心当りの旅籠を一つ……」"
"53","yoshikawa","narutohicho01.txt","「いいとも、宿をさしても上げるが……」と久六、少し役目の形になって、二人の風態を見直した。"
"54","yoshikawa","narutohicho01.txt",""
"55","yoshikawa","narutohicho01.txt","「一応聞きますが、お住居は？」"
"56","yoshikawa","narutohicho01.txt","「江戸浅草の今戸で、こちらは親分の唐草銀五郎、わっしは待乳の多市という乾分で」"
"57","yoshikawa","narutohicho01.txt","「ああ、博奕打ちだな」"
"58","yoshikawa","narutohicho01.txt","「どう致しまして、立派な渡世看板があります。"
"59","yoshikawa","narutohicho01.txt","大名屋敷で使う唐草瓦の窯元で、自然、部屋の者も多いところから、半分はまアそのほうにゃ違いありませんが」"
"60","yoshikawa","narutohicho01.txt","「何をいってるんだ」側から、銀五郎が押し退けて、多市に代った。"
"61","yoshikawa","narutohicho01.txt",""
"62","yoshikawa","narutohicho01.txt","「しゃべらせておくと、きりのねえ奴で恐れ入ります。"
"63","yoshikawa","narutohicho01.txt","殊には夜中、とんだお手数を」"
"64","yoshikawa","narutohicho01.txt","「イヤ、どう致して」見ると、若いが地味づくりの男、落ちつきもあるし人品も立派だ。"
"65","yoshikawa","narutohicho01.txt",""
"66","yoshikawa","narutohicho01.txt","「そこで、も一ツ、行く先だけを伺いましょう」"
"67","yoshikawa","narutohicho01.txt","久六も、グッと丁寧に改まる。"
"68","yoshikawa","narutohicho01.txt",""
"69","yoshikawa","narutohicho01.txt","「的は四国、阿波の御領へ渡ります」"
"70","yoshikawa","narutohicho01.txt","「阿波へ？フーン」少しむずかしい顔をして、"
"71","yoshikawa","narutohicho01.txt","「蜂須賀家では、十年程前から、ばかに他領者の入国を嫌って、よほどの御用筋か、御家中の手引でもなけりゃ、滅多に城下へ入れないという話だが」"
"72","yoshikawa","narutohicho01.txt","「でも、是非の用向きでござりますから」"
"73","yoshikawa","narutohicho01.txt","「そうですか。"
"74","yoshikawa","narutohicho01.txt","イヤ、わしがそれまで糺すのは筋目違い。"
"75","yoshikawa","narutohicho01.txt","いますぐ宿証を上げますから、それを持って大川南の渡辺すじ、土筆屋和平へお泊りなさい」と、こより紙を一枚｜剥いで、スラスラと筆をつけだす。"
"76","yoshikawa","narutohicho01.txt",""
"77","yoshikawa","narutohicho01.txt","その時その間、何とも怪しい女の影。"
"78","yoshikawa","narutohicho01.txt","会所の横の井戸｜側にしゃがみ込んで、ジッと聞き耳をたてていた。"
"79","yoshikawa","narutohicho01.txt",""
"80","yoshikawa","narutohicho01.txt","白い横顔、闇にツイと立ったかと思うと、"
"81","yoshikawa","narutohicho01.txt","「どうも、ありがとう存じました」"
"82","yoshikawa","narutohicho01.txt","中の声と一緒に戸が開いて、さッと明りが流れて来た。"
"83","yoshikawa","narutohicho01.txt","途端に、のしお頭巾の女の魔魅、すばやく姿を消している。"
"84","yoshikawa","narutohicho01.txt",""
