"","auth","piece","line"
"0","yoshikawa","natsumushi_andon.txt","夏虫行燈"
"1","yoshikawa","natsumushi_andon.txt","吉川英治"
"2","yoshikawa","natsumushi_andon.txt",""
"3","yoshikawa","natsumushi_andon.txt","-------------------------------------------------------"
"4","yoshikawa","natsumushi_andon.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","natsumushi_andon.txt",""
"6","yoshikawa","natsumushi_andon.txt","《》：ルビ"
"7","yoshikawa","natsumushi_andon.txt","（例）風"
"8","yoshikawa","natsumushi_andon.txt",""
"9","yoshikawa","natsumushi_andon.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","natsumushi_andon.txt","（例）身｜支度"
"11","yoshikawa","natsumushi_andon.txt",""
"12","yoshikawa","natsumushi_andon.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","natsumushi_andon.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","natsumushi_andon.txt","（例）※"
"15","yoshikawa","natsumushi_andon.txt","-------------------------------------------------------"
"16","yoshikawa","natsumushi_andon.txt",""
"17","yoshikawa","natsumushi_andon.txt","風入れ異変"
"18","yoshikawa","natsumushi_andon.txt",""
"19","yoshikawa","natsumushi_andon.txt",""
"20","yoshikawa","natsumushi_andon.txt","一"
"21","yoshikawa","natsumushi_andon.txt",""
"22","yoshikawa","natsumushi_andon.txt","迅い雲脚である。"
"23","yoshikawa","natsumushi_andon.txt","裾野の方から墨を流すように拡がって、見る間に、盆地の町――甲府の空を蔽ってしまう。"
"24","yoshikawa","natsumushi_andon.txt",""
"25","yoshikawa","natsumushi_andon.txt","遽かに、日蝕のように晦かった。"
"26","yoshikawa","natsumushi_andon.txt",""
"27","yoshikawa","natsumushi_andon.txt","板簾の裾は、大きく風に揚げられて、廂をたたき、庭の樹々は皆、白い葉裏を翻して戦ぎ立つ――"
"28","yoshikawa","natsumushi_andon.txt","『おう。"
"29","yoshikawa","natsumushi_andon.txt","雷鳴か』"
"30","yoshikawa","natsumushi_andon.txt","昼寝をしていた高安平四郎は、顔に乗せていた書籍を落して、むくりと寝転ると、"
"31","yoshikawa","natsumushi_andon.txt","『……襲るかな？一暴れ』"
"32","yoshikawa","natsumushi_andon.txt","頬杖ついて、廂越しに、暫く雲行でも観測しているように、呟いた。"
"33","yoshikawa","natsumushi_andon.txt",""
"34","yoshikawa","natsumushi_andon.txt","――と。"
"35","yoshikawa","natsumushi_andon.txt","その睫毛の先を、白い電光りが、チカッと掠めて、霹靂はすぐ屋の上を翔け廻った。"
"36","yoshikawa","natsumushi_andon.txt",""
"37","yoshikawa","natsumushi_andon.txt","『お、大きいぞ。"
"38","yoshikawa","natsumushi_andon.txt","――これやあ、出向かずばなるまい』"
"39","yoshikawa","natsumushi_andon.txt","平四郎は、刎ね起きて、すぐ身｜支度した。"
"40","yoshikawa","natsumushi_andon.txt",""
"41","yoshikawa","natsumushi_andon.txt","甲府城の森や天主には、過去に幾｜度も落雷の歴史がある。"
