"","auth","piece","line"
"0","yoshikawa","ookaechizen.txt","大岡越前"
"1","yoshikawa","ookaechizen.txt","吉川英治"
"2","yoshikawa","ookaechizen.txt",""
"3","yoshikawa","ookaechizen.txt","-------------------------------------------------------"
"4","yoshikawa","ookaechizen.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","ookaechizen.txt",""
"6","yoshikawa","ookaechizen.txt","《》：ルビ"
"7","yoshikawa","ookaechizen.txt","（例）冗戯"
"8","yoshikawa","ookaechizen.txt",""
"9","yoshikawa","ookaechizen.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","ookaechizen.txt","（例）十人｜十色"
"11","yoshikawa","ookaechizen.txt",""
"12","yoshikawa","ookaechizen.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","ookaechizen.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","ookaechizen.txt","（例）※"
"15","yoshikawa","ookaechizen.txt","-------------------------------------------------------"
"16","yoshikawa","ookaechizen.txt",""
"17","yoshikawa","ookaechizen.txt","第一章"
"18","yoshikawa","ookaechizen.txt",""
"19","yoshikawa","ookaechizen.txt",""
"20","yoshikawa","ookaechizen.txt",""
"21","yoshikawa","ookaechizen.txt","三人男"
"22","yoshikawa","ookaechizen.txt",""
"23","yoshikawa","ookaechizen.txt","「犬がうらやましい。"
"24","yoshikawa","ookaechizen.txt","ああ、なぜ人間なぞに生れたろう」"
"25","yoshikawa","ookaechizen.txt","冗戯にも、人間仲間で、こんなことばを聞くことが近年では、めずらしくもなくなった。"
"26","yoshikawa","ookaechizen.txt",""
"27","yoshikawa","ookaechizen.txt","笑えるうちは、まだよかったが、この頃ではそんな冗戯が出ても、笑う者もなくなった。"
"28","yoshikawa","ookaechizen.txt",""
"29","yoshikawa","ookaechizen.txt","「何しろ、怪ッ態な世の中になったものです。"
"30","yoshikawa","ookaechizen.txt","お犬様には、分るでしょうが、人間どもには何が何だか、わけが分りませんな」"
"31","yoshikawa","ookaechizen.txt","これは、庶民とよぶ人間の群の、一致していうことばだったが、人々のあたまの中は、言葉どおりに、一致してはいなかった。"
"32","yoshikawa","ookaechizen.txt","こういう時代の特徴として、各※の思想も、人生観も、三人よれば、三人。"
"33","yoshikawa","ookaechizen.txt","十人よれば、十人｜十色にちがっていた。"
"34","yoshikawa","ookaechizen.txt","世にたいする考えも、自分というものの生かし方も、皆、まちまちで、ばらばらで、しかも表面だけは妙に、浮わついた風俗と華奢を競い、人間すべてが満足しきッてでもいるような妖しい享楽色と放縦な社会をつくり出していた。"
"35","yoshikawa","ookaechizen.txt",""
"36","yoshikawa","ookaechizen.txt","夏の夜である。"
"37","yoshikawa","ookaechizen.txt","――元禄十四年の盆すぎ。"
"38","yoshikawa","ookaechizen.txt",""
"39","yoshikawa","ookaechizen.txt","蛍狩りでもあるまいに、淀橋上水堀の道もないあたりを、狐にでも化かされたような三人男が歩いていた。"
"40","yoshikawa","ookaechizen.txt",""
"41","yoshikawa","ookaechizen.txt","「おいおい、大亀。"
"42","yoshikawa","ookaechizen.txt","待てやい。"
"43","yoshikawa","ookaechizen.txt","待ってやれよ」"
"44","yoshikawa","ookaechizen.txt","「どうしたい。"
"45","yoshikawa","ookaechizen.txt","阿能十」"
"46","yoshikawa","ookaechizen.txt","「味噌久のやつが、田ン圃へ落ちてしまやがった。"
"47","yoshikawa","ookaechizen.txt","まっ暗で、引っ張り上げてやろうにも、見当がつかねえ」"
"48","yoshikawa","ookaechizen.txt","「よくドジばかりふむ男だ。"
"49","yoshikawa","ookaechizen.txt","味噌久はかまわねえが、背負わせておいた御馳走は、まさか田ン圃へ撒いてしまやアしめえな」"
"50","yoshikawa","ookaechizen.txt","べつな声が、闇の中で、"
"51","yoshikawa","ookaechizen.txt","「ええ、ひでえことをいう。"
"52","yoshikawa","ookaechizen.txt","ふたりとも身軽なくせに。"
"53","yoshikawa","ookaechizen.txt","すこし荷物を代ってくれやい」"
"54","yoshikawa","ookaechizen.txt","と、田の畦を、這い上がっているようだった。"
"55","yoshikawa","ookaechizen.txt",""
"56","yoshikawa","ookaechizen.txt","大亀と阿能十は、おかしさやら、暗さやら、わけもなく笑いあって、"
"57","yoshikawa","ookaechizen.txt","「まあ、そういうなよ。"
"58","yoshikawa","ookaechizen.txt","目ざす中野はもうすぐだ。"
"59","yoshikawa","ookaechizen.txt","辛抱しろ、辛抱しろ」"
"60","yoshikawa","ookaechizen.txt","「だが、着物の裾をしぼらねえことにゃあ、どうにも、脛にベタついてあるけもしねえ」"
"61","yoshikawa","ookaechizen.txt","「阿能。"
"62","yoshikawa","ookaechizen.txt","泣きベソがまた泣いていら。"
"63","yoshikawa","ookaechizen.txt","そこらで一ぷくやるとするか」"
"64","yoshikawa","ookaechizen.txt","小高い雑木林の丘に、男たちは腰をおろした。"
"65","yoshikawa","ookaechizen.txt",""
"66","yoshikawa","ookaechizen.txt","三人とも、二十歳から三十前。"
"67","yoshikawa","ookaechizen.txt","ふたりは、浪人風であり、ひとりは町人。"
"68","yoshikawa","ookaechizen.txt","そしてその味噌久だけが、何やら臭気のつよい包み物を首に背負っていた。"
"69","yoshikawa","ookaechizen.txt","真夜中、街道もあるのに、わざわざこんな闇を、この変な荷物をたずさえ、一体どこから来て、どこへ行くのか。"
"70","yoshikawa","ookaechizen.txt","これも時代の生んだ“分らない物づくし”のうちに入る巷の一組とでもいうのだろうか。"
"71","yoshikawa","ookaechizen.txt",""
"72","yoshikawa","ookaechizen.txt",""
"73","yoshikawa","ookaechizen.txt","梟"
"74","yoshikawa","ookaechizen.txt",""
"75","yoshikawa","ookaechizen.txt","どう人間を信じたらいいのか。"
"76","yoshikawa","ookaechizen.txt","どう世の中を考えていいのか。"
"77","yoshikawa","ookaechizen.txt","また、どう自分を生かしてゆくのが真実なのか。"
"78","yoshikawa","ookaechizen.txt","元禄の当代人には、厳密にいって、たれにも分っていないらしい。"
"79","yoshikawa","ookaechizen.txt","それを明らかにしてよく生命を愛しんでいる人間などは、寥々たる星のごときものであろう。"
"80","yoshikawa","ookaechizen.txt",""
"81","yoshikawa","ookaechizen.txt","ことに、若い者には、刹那的な享楽をぬすむほかは、なんの方向があるでもなく、希望もなかった。"
"82","yoshikawa","ookaechizen.txt","いまよりはまだ健康な世代といわれる寛永から万治までの世を知っていないかれらには、前期との比較がないので、慨嘆もなく、煩悶もせず、易々と、自堕落な世に同調してゆけるのもある。"
"83","yoshikawa","ookaechizen.txt","町で売っている刷り物の“当世分らない物づくし”などを見ても、ある年齢層以下では、その分らない物づくしの諷刺がすでに分らなかった。"
"84","yoshikawa","ookaechizen.txt",""
"85","yoshikawa","ookaechizen.txt","「こう、阿能十、あれ見ねえ。"
"86","yoshikawa","ookaechizen.txt","こんな御府外からでも、堺町の夜空がぼうっと赤く見える」"
"87","yoshikawa","ookaechizen.txt","「ほんに、今ごろは、芝居小屋も蔭間茶屋も、灯の色に染まっている頃だろうて」"
"88","yoshikawa","ookaechizen.txt","「よせやい阿能。"
"89","yoshikawa","ookaechizen.txt","アアいけねえ、ここらは虫の声ばかり、女の顔をおもい出すと、今夜の先が急に恐くなってきた」"
"90","yoshikawa","ookaechizen.txt","「兄貴らしくもねえことを。"
"91","yoshikawa","ookaechizen.txt","……なあ、味噌久」"
"92","yoshikawa","ookaechizen.txt","「そうだとも。"
"93","yoshikawa","ookaechizen.txt","そっちが弱音をふいたひにゃ、この久助なざ、なおのこと、ここらでお別れと願いたくなッちまう」"
"94","yoshikawa","ookaechizen.txt","「ばかをいえ」"
"95","yoshikawa","ookaechizen.txt","阿能十は、ここぞと強がった。"
"96","yoshikawa","ookaechizen.txt",""
"97","yoshikawa","ookaechizen.txt","あばた顔の大亀が、この仲間では、年かさで、体つきも頑丈だが、小柄ながら阿能十には、武家息子らしい風骨と敏捷さがある。"
"98","yoshikawa","ookaechizen.txt",""
"99","yoshikawa","ookaechizen.txt","「今夜のことは、おれの発議だ。"
"100","yoshikawa","ookaechizen.txt","まちがっても、大亀にもてめえにも、ヘマを喰わせてすむものか。"
"101","yoshikawa","ookaechizen.txt","おれがいる。"
"102","yoshikawa","ookaechizen.txt","さあ行こうぜ」"
"103","yoshikawa","ookaechizen.txt","阿能十は、頬被りを解いて、ぽんと払って、顔に被り直しながら、長い刀に反りを打たせて立ち上がった。"
"104","yoshikawa","ookaechizen.txt",""
"105","yoshikawa","ookaechizen.txt","色街でもない真ッくら闇を、いつもの癖で、阿能がイヤに気取って歩くのをうしろから見て笑いながら、あばたの大亀も、のそのそと味噌久を中に挟んで歩き出した。"
"106","yoshikawa","ookaechizen.txt",""
"107","yoshikawa","ookaechizen.txt","だん畠の傾斜地を下り、谷をわたって、向うがわの丘へ上がる。"
"108","yoshikawa","ookaechizen.txt","そして雑木林の細道を半里ほども行くと、いんいんとして犬の遠吠えが聞えてきた。"
"109","yoshikawa","ookaechizen.txt","一頭や二頭ではない。"
"110","yoshikawa","ookaechizen.txt","何百、何千ともしれない群犬の声である。"
"111","yoshikawa","ookaechizen.txt","それが谺して、一瞬この世の声ともおもえぬ凄味に夜をつつんだ。"
"112","yoshikawa","ookaechizen.txt",""
"113","yoshikawa","ookaechizen.txt","「お、あれだ、お犬小屋は」"
"114","yoshikawa","ookaechizen.txt","「ちがった人間の臭いがしてくると思ってか。"
"115","yoshikawa","ookaechizen.txt","もう吠えたてていやがる。"
"116","yoshikawa","ookaechizen.txt","気をつけろよ」"
"117","yoshikawa","ookaechizen.txt","遠吠えは、まもなくやみ、三人はまた道をさぐった。"
"118","yoshikawa","ookaechizen.txt",""
"119","yoshikawa","ookaechizen.txt","林を出端れると、高い板囲いにつき当った。"
"120","yoshikawa","ookaechizen.txt","夜目にはただ長い長い塀の線が果てなく闇を縫っているとしか見えない。"
"121","yoshikawa","ookaechizen.txt","世に聞えた中野の原のお犬小屋というのがこれらしい。"
"122","yoshikawa","ookaechizen.txt",""
"123","yoshikawa","ookaechizen.txt","「しッ。"
"124","yoshikawa","ookaechizen.txt","もどろう。"
"125","yoshikawa","ookaechizen.txt","そっちへ行くと、番所の明りがさしている」"
"126","yoshikawa","ookaechizen.txt","「いや、犬になって行け。"
"127","yoshikawa","ookaechizen.txt","犬になって」"
"128","yoshikawa","ookaechizen.txt","「ど、どうするんだ。"
"129","yoshikawa","ookaechizen.txt","犬になれとは」"
"130","yoshikawa","ookaechizen.txt","「こうよ。"
"131","yoshikawa","ookaechizen.txt","こうやって……」"
"132","yoshikawa","ookaechizen.txt","と、阿能は、四ツん這いになって、柵門の際を、先に通ってみせた。"
"133","yoshikawa","ookaechizen.txt",""
"134","yoshikawa","ookaechizen.txt","大亀も、味噌久も、それに倣って、通り越し、番所の灯をふりむいて、声なく笑いあった。"
"135","yoshikawa","ookaechizen.txt",""
"136","yoshikawa","ookaechizen.txt","目的にかかり出した。"
"137","yoshikawa","ookaechizen.txt","味噌久に背負わせて来た風呂敷には、犬どもの食欲をそそるにちがいない魚肉の揚団子が大きな魚籠にいっぱい入っていた。"
"138","yoshikawa","ookaechizen.txt","味噌久を踏み台にして、阿能十が板囲いの内をのぞく。"
"139","yoshikawa","ookaechizen.txt","そして大亀の手から揚団子をうけ取っては、つぶてのように中の広場へそれを撒いてあるくという段取だ。"
