"","auth","piece","line"
"0","yoshikawa","oriorino_ki.txt","折々の記"
"1","yoshikawa","oriorino_ki.txt","吉川英治"
"2","yoshikawa","oriorino_ki.txt",""
"3","yoshikawa","oriorino_ki.txt","-------------------------------------------------------"
"4","yoshikawa","oriorino_ki.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","oriorino_ki.txt",""
"6","yoshikawa","oriorino_ki.txt","《》：ルビ"
"7","yoshikawa","oriorino_ki.txt","（例）羽村"
"8","yoshikawa","oriorino_ki.txt",""
"9","yoshikawa","oriorino_ki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","oriorino_ki.txt","（例）お歌所｜寄人"
"11","yoshikawa","oriorino_ki.txt",""
"12","yoshikawa","oriorino_ki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","oriorino_ki.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","oriorino_ki.txt","（例）※"
"15","yoshikawa","oriorino_ki.txt",""
"16","yoshikawa","oriorino_ki.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","yoshikawa","oriorino_ki.txt","（例）高イ／＼"
"18","yoshikawa","oriorino_ki.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"19","yoshikawa","oriorino_ki.txt","-------------------------------------------------------"
"20","yoshikawa","oriorino_ki.txt",""
"21","yoshikawa","oriorino_ki.txt","折々の記"
"22","yoshikawa","oriorino_ki.txt",""
"23","yoshikawa","oriorino_ki.txt",""
"24","yoshikawa","oriorino_ki.txt",""
"25","yoshikawa","oriorino_ki.txt",""
"26","yoshikawa","oriorino_ki.txt","世の“名ヅケ子”"
"27","yoshikawa","oriorino_ki.txt",""
"28","yoshikawa","oriorino_ki.txt",""
"29","yoshikawa","oriorino_ki.txt","子が生まれる。"
"30","yoshikawa","oriorino_ki.txt","子の命名が夫婦話題の悶着になる。"
"31","yoshikawa","oriorino_ki.txt","いや、生まれない前からといつてよい。"
"32","yoshikawa","oriorino_ki.txt","最初の子をもつ夫婦ほど、事は重大に考へられるらしい。"
"33","yoshikawa","oriorino_ki.txt","思案にあぐねて、知己先輩へ「ひとつ、子どもの名を」と、世の幸福者に選ばれた人間のやうに、相好くづして、もちこんで來る良人もある。"
"34","yoshikawa","oriorino_ki.txt",""
"35","yoshikawa","oriorino_ki.txt","ぼくなども、頼まれてはつい、世の幾十人もの、あかン坊たちのために、名づけ親となつて來た。"
"36","yoshikawa","oriorino_ki.txt","うれしい煩瑣と輕い責任を感じるものである。"
