"","auth","piece","line"
"0","yoshikawa","shinsho_taikoki02.txt","新書太閤記"
"1","yoshikawa","shinsho_taikoki02.txt","第二分冊"
"2","yoshikawa","shinsho_taikoki02.txt","吉川英治"
"3","yoshikawa","shinsho_taikoki02.txt",""
"4","yoshikawa","shinsho_taikoki02.txt","-------------------------------------------------------"
"5","yoshikawa","shinsho_taikoki02.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","shinsho_taikoki02.txt",""
"7","yoshikawa","shinsho_taikoki02.txt","《》：ルビ"
"8","yoshikawa","shinsho_taikoki02.txt","（例）寧子"
"9","yoshikawa","shinsho_taikoki02.txt",""
"10","yoshikawa","shinsho_taikoki02.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","shinsho_taikoki02.txt","（例）弟｜信行"
"12","yoshikawa","shinsho_taikoki02.txt",""
"13","yoshikawa","shinsho_taikoki02.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","shinsho_taikoki02.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","shinsho_taikoki02.txt","（例）※"
"16","yoshikawa","shinsho_taikoki02.txt","-------------------------------------------------------"
"17","yoshikawa","shinsho_taikoki02.txt",""
"18","yoshikawa","shinsho_taikoki02.txt","寧子の胸"
"19","yoshikawa","shinsho_taikoki02.txt",""
"20","yoshikawa","shinsho_taikoki02.txt","「こひ！」"
"21","yoshikawa","shinsho_taikoki02.txt","浅野又右衛門は、家に帰ると、すぐ大きな声で、妻の名をどなった。"
"22","yoshikawa","shinsho_taikoki02.txt",""
"23","yoshikawa","shinsho_taikoki02.txt","於こひは、あわただしく、出迎えて、"
"24","yoshikawa","shinsho_taikoki02.txt","「お帰りなさいませ」"
"25","yoshikawa","shinsho_taikoki02.txt","「酒の支度せい」"
"26","yoshikawa","shinsho_taikoki02.txt","いきなりいって――"
"27","yoshikawa","shinsho_taikoki02.txt","「お客を拾うて来たぞ」"
"28","yoshikawa","shinsho_taikoki02.txt","「それはそれは。"
"29","yoshikawa","shinsho_taikoki02.txt","どなた様でいらっしゃいますか」"
"30","yoshikawa","shinsho_taikoki02.txt","「娘の友達だ」"
"31","yoshikawa","shinsho_taikoki02.txt","「ま……」"
"32","yoshikawa","shinsho_taikoki02.txt","と、後からはいって来た藤吉郎の姿を見て、"
"33","yoshikawa","shinsho_taikoki02.txt","「木下様でございますか」"
"34","yoshikawa","shinsho_taikoki02.txt","「こひ」"
"35","yoshikawa","shinsho_taikoki02.txt","「はい……」"
"36","yoshikawa","shinsho_taikoki02.txt","「武家の妻として、不埒であろうぞ。"
"37","yoshikawa","shinsho_taikoki02.txt","――今日までわしに黙っておるなぞ。"
"38","yoshikawa","shinsho_taikoki02.txt","木下殿と娘とは、夙くからお交際をして戴いておるそうではないか。"
"39","yoshikawa","shinsho_taikoki02.txt","存じておりながら、なぜわしに黙っていたか」"
"40","yoshikawa","shinsho_taikoki02.txt","「お叱りうけまして、恐れ入りました」"
"41","yoshikawa","shinsho_taikoki02.txt","「恐れ入るではすまない。"
"42","yoshikawa","shinsho_taikoki02.txt","とんだ親馬鹿を知られてしもうたわ」"
"43","yoshikawa","shinsho_taikoki02.txt","「けれどお手紙などいただいても、寧子は、私に隠していたことはございませぬ」"
"44","yoshikawa","shinsho_taikoki02.txt","「当りまえじゃ」"
