"","auth","piece","line"
"0","yoshikawa","shinshu_tenmakyo.txt","神州天馬侠"
"1","yoshikawa","shinshu_tenmakyo.txt","吉川英治"
"2","yoshikawa","shinshu_tenmakyo.txt",""
"3","yoshikawa","shinshu_tenmakyo.txt","-------------------------------------------------------"
"4","yoshikawa","shinshu_tenmakyo.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","shinshu_tenmakyo.txt",""
"6","yoshikawa","shinshu_tenmakyo.txt","《》：ルビ"
"7","yoshikawa","shinshu_tenmakyo.txt","（例）大人"
"8","yoshikawa","shinshu_tenmakyo.txt",""
"9","yoshikawa","shinshu_tenmakyo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","shinshu_tenmakyo.txt","（例）太郎｜信勝"
"11","yoshikawa","shinshu_tenmakyo.txt",""
"12","yoshikawa","shinshu_tenmakyo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","shinshu_tenmakyo.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","shinshu_tenmakyo.txt","（例）※"
"15","yoshikawa","shinshu_tenmakyo.txt","-------------------------------------------------------"
"16","yoshikawa","shinshu_tenmakyo.txt",""
"17","yoshikawa","shinshu_tenmakyo.txt","序"
"18","yoshikawa","shinshu_tenmakyo.txt",""
"19","yoshikawa","shinshu_tenmakyo.txt",""
"20","yoshikawa","shinshu_tenmakyo.txt",""
"21","yoshikawa","shinshu_tenmakyo.txt",""
"22","yoshikawa","shinshu_tenmakyo.txt","私は、元来、少年小説を書くのが好きである。"
"23","yoshikawa","shinshu_tenmakyo.txt","大人の世界にあるような、きゅうくつな概念にとらわれないでいいからだ。"
"24","yoshikawa","shinshu_tenmakyo.txt",""
"25","yoshikawa","shinshu_tenmakyo.txt","少年小説を書いている間は、自分もまったく、童心のむかしに返る、少年の気もちになりきッてしまう。"
"26","yoshikawa","shinshu_tenmakyo.txt","――今のわたくしは、もう古い大人だが、この天馬侠を読み直し、校訂の筆を入れていると、そのあいだにも、少年の日が胸によみがえッてくる。"
"27","yoshikawa","shinshu_tenmakyo.txt",""
"28","yoshikawa","shinshu_tenmakyo.txt","ああ少年の日。"
"29","yoshikawa","shinshu_tenmakyo.txt","一生のうちの、尊い季節だ。"
"30","yoshikawa","shinshu_tenmakyo.txt","この小説は、わたくしが少年へ書いた長編の最初のもので、また、いちばん長いものである。"
"31","yoshikawa","shinshu_tenmakyo.txt","諸君の楽しい季節のために、この書が諸君の退屈な雨の日や、淋しい夜の友になりうればと思い、自分も好きなまま、つい、こんなに長く書いてしまったものである。"
"32","yoshikawa","shinshu_tenmakyo.txt",""
"33","yoshikawa","shinshu_tenmakyo.txt","いまの日本は、大人の世界でも、子どもの天地でも、心に楽しむものが少ない。"
"34","yoshikawa","shinshu_tenmakyo.txt","だが、少年の日の夢は、痩せさせてはいけない。"
"35","yoshikawa","shinshu_tenmakyo.txt","少年の日の自然な空想は、いわば少年の花園だ。"
"36","yoshikawa","shinshu_tenmakyo.txt","昔にも、今にも、将来へも、つばさをひろげて、遊びまわるべきである。"
"37","yoshikawa","shinshu_tenmakyo.txt",""
"38","yoshikawa","shinshu_tenmakyo.txt","この書は、過去の伝奇と歴史とを、わたくしの夢のまま書いたものだが、過去にも、今と比較して、考えていいところは多分にある。"
"39","yoshikawa","shinshu_tenmakyo.txt","悪いところは反省し、よいところは知るべきだと思う。"
"40","yoshikawa","shinshu_tenmakyo.txt","その意味で、鞍馬の竹童も、泣き虫の蛾次郎も、諸君の友だち仲間へ入れておいてくれ給え。"
"41","yoshikawa","shinshu_tenmakyo.txt","時代はちがうが、よく見てみたまえ、諸君の友だち仲間の腕白にも、竹童もいれば、蛾次郎もいるだろう。"
"42","yoshikawa","shinshu_tenmakyo.txt","大人についても、同じことがいえる。"
"43","yoshikawa","shinshu_tenmakyo.txt",""
"44","yoshikawa","shinshu_tenmakyo.txt","以前、これが「少年倶楽部」に連載されていた当時の愛読者は、成人して、今日では政治家になったり、実業家になったり、文化人になったりして、みな社会の一線に立っている。"
"45","yoshikawa","shinshu_tenmakyo.txt","諸君のお父さんや兄さんのうちにも、その頃の愛読者がたくさんおられることと思う。"
"46","yoshikawa","shinshu_tenmakyo.txt",""
"47","yoshikawa","shinshu_tenmakyo.txt","わたくしはよくそういう人たちから、少年時代、天馬侠の愛読者でした――と聞かされて、年月の流れに、おどろくことがある。"
"48","yoshikawa","shinshu_tenmakyo.txt","もし諸君がこの書を手にしたら、諸君の父兄やおじさんたちにも、見せて上げてもらいたい。"
"49","yoshikawa","shinshu_tenmakyo.txt","そして、著者の言伝てを、おつたえして欲しい。"
"50","yoshikawa","shinshu_tenmakyo.txt",""
"51","yoshikawa","shinshu_tenmakyo.txt","――ご健在ですか。"
"52","yoshikawa","shinshu_tenmakyo.txt","わたくしは健在です、と。"
"53","yoshikawa","shinshu_tenmakyo.txt",""
"54","yoshikawa","shinshu_tenmakyo.txt","そして、いまの少年も、また天馬侠を読むようになりました、と。"
"55","yoshikawa","shinshu_tenmakyo.txt",""
"56","yoshikawa","shinshu_tenmakyo.txt",""
"57","yoshikawa","shinshu_tenmakyo.txt","昭和二四・春"
