"","auth","piece","line"
"0","yoshikawa","shizuka_gozen.txt","日本名婦伝"
"1","yoshikawa","shizuka_gozen.txt","静御前"
"2","yoshikawa","shizuka_gozen.txt","吉川英治"
"3","yoshikawa","shizuka_gozen.txt",""
"4","yoshikawa","shizuka_gozen.txt","-------------------------------------------------------"
"5","yoshikawa","shizuka_gozen.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","shizuka_gozen.txt",""
"7","yoshikawa","shizuka_gozen.txt","《》：ルビ"
"8","yoshikawa","shizuka_gozen.txt","（例）義経"
"9","yoshikawa","shizuka_gozen.txt",""
"10","yoshikawa","shizuka_gozen.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","shizuka_gozen.txt","（例）六条｜室町"
"12","yoshikawa","shizuka_gozen.txt",""
"13","yoshikawa","shizuka_gozen.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","shizuka_gozen.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","shizuka_gozen.txt","（例）※"
"16","yoshikawa","shizuka_gozen.txt","-------------------------------------------------------"
"17","yoshikawa","shizuka_gozen.txt",""
"18","yoshikawa","shizuka_gozen.txt","一"
"19","yoshikawa","shizuka_gozen.txt",""
"20","yoshikawa","shizuka_gozen.txt","義経はもろ肌を脱いで、小冠者に、背なかの灸をすえさせていた。"
"21","yoshikawa","shizuka_gozen.txt",""
"22","yoshikawa","shizuka_gozen.txt","やや離れて、広縁をうしろにし、じっと、先刻から手をつかえているのは、夫人の静の前であった。"
"23","yoshikawa","shizuka_gozen.txt",""
"24","yoshikawa","shizuka_gozen.txt","八月の真昼である。"
"25","yoshikawa","shizuka_gozen.txt",""
"26","yoshikawa","shizuka_gozen.txt","六条｜室町の町中とは思えぬほど、館は木々に囲まれている。"
"27","yoshikawa","shizuka_gozen.txt","照り映える青葉の色と匂いに室内も染りそうだった。"
"28","yoshikawa","shizuka_gozen.txt",""
"29","yoshikawa","shizuka_gozen.txt","――が、静にとって、気になるのは、二十九という良人の若い肉体まで、そのせいか翡翠を削ったように蒼く見えることだった。"
"30","yoshikawa","shizuka_gozen.txt",""
"31","yoshikawa","shizuka_gozen.txt","「…………」"
"32","yoshikawa","shizuka_gozen.txt","蝉の声ばかりであった。"
"33","yoshikawa","shizuka_gozen.txt","小冠者は細心に、主君の肌へ火を点じていた。"
"34","yoshikawa","shizuka_gozen.txt",""
"35","yoshikawa","shizuka_gozen.txt","義経は、熱いともいわず、身もだえ一つしなかった。"
"36","yoshikawa","shizuka_gozen.txt","けれど、見ている静のほうが、その一火一火に、骨のしんまで灸かれるような怺えに締めつけられていた。"
"37","yoshikawa","shizuka_gozen.txt",""
"38","yoshikawa","shizuka_gozen.txt","（――お熱くはないのかしら）"
