"","auth","piece","line"
"0","yoshikawa","shosointen'o_miru.txt","正倉院展を観る"
"1","yoshikawa","shosointen'o_miru.txt","吉川英治"
"2","yoshikawa","shosointen'o_miru.txt",""
"3","yoshikawa","shosointen'o_miru.txt","-------------------------------------------------------"
"4","yoshikawa","shosointen'o_miru.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","shosointen'o_miru.txt",""
"6","yoshikawa","shosointen'o_miru.txt","《》：ルビ"
"7","yoshikawa","shosointen'o_miru.txt","（例）楽毅論"
"8","yoshikawa","shosointen'o_miru.txt",""
"9","yoshikawa","shosointen'o_miru.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","shosointen'o_miru.txt","（例）華｜奢"
"11","yoshikawa","shosointen'o_miru.txt",""
"12","yoshikawa","shosointen'o_miru.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","shosointen'o_miru.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","shosointen'o_miru.txt","（例）※"
"15","yoshikawa","shosointen'o_miru.txt","-------------------------------------------------------"
"16","yoshikawa","shosointen'o_miru.txt",""
"17","yoshikawa","shosointen'o_miru.txt","ちかごろこんなにみたされた気もちはなかった。"
"18","yoshikawa","shosointen'o_miru.txt","正倉院宝物展を見てである。"
"19","yoshikawa","shosointen'o_miru.txt","その晩は“咲く花の匂うが如き”とうたわれた千二百年前の天平びとに返った夢でもみるかもしれないと思ったほどだ。"
"20","yoshikawa","shosointen'o_miru.txt",""
"21","yoshikawa","shosointen'o_miru.txt","博物館の第一室では、いきなりあの楽毅論の臨書にふれ、光明皇后その人をじかに見た気がしたのである。"
"22","yoshikawa","shosointen'o_miru.txt","華｜奢高遊の風流天子、聖武天皇のおきさきで、次代孝謙帝のむずかしい政情のころまで皇太后の権をきかせていたお方である。"
"23","yoshikawa","shosointen'o_miru.txt","ずっと格はおちるが鎌倉の尼将軍政子とどこか似通っている。"
"24","yoshikawa","shosointen'o_miru.txt","博物館の堀江知彦氏がなにかで『いわゆる姉さん女房の型か』といっていた比喩はおもしろい。"
"25","yoshikawa","shosointen'o_miru.txt","ゆらい日本の女性は、ひとえに内向的で内気な弱い花といわれてきたが、この藤三娘（藤原氏の三女のいみ）の書の勝ち気で自由奔放なふうは、現代の日本女性にも負けていない。"
"26","yoshikawa","shosointen'o_miru.txt","そしてこのような皇后や正倉院宝物のすべてを産んだ世代は、日本の総人口もまだ四百五十八万四千人（僧・行基の調べ）そこそこの土壌でしかなかったことも、あたまにおいて見るべきだろう。"
"27","yoshikawa","shosointen'o_miru.txt",""
"28","yoshikawa","shosointen'o_miru.txt","それと、日本の仏教興隆のあけぼのは、やはりこのような女性の手が大きく受けとっていたこともまた見のがせない。"
"29","yoshikawa","shosointen'o_miru.txt","聖武天皇を鼓舞してそれをなさしめたのは麗姿｜光耀を放つといわれたこの美しいおきさきだった。"
"30","yoshikawa","shosointen'o_miru.txt","もしこのひとがなかったら今日の正倉院宝物をかくも現代の下で多くは見られなかったであろう。"
"31","yoshikawa","shosointen'o_miru.txt","この企画を「皇太子殿下の御結婚記念」とうたって、第一室にこれをおいた当事者のあたまは見事に全館すべての展列品に効いている。"
"32","yoshikawa","shosointen'o_miru.txt",""
"33","yoshikawa","shosointen'o_miru.txt","とてもいちいちはいいきれないが、会場中央のケースの五弦｜琵琶のまわりを私はなんど巡りあるいたろう。"
"34","yoshikawa","shosointen'o_miru.txt","かりに近世琵琶をこのそばにおいたとして見ると、こうも違うものかと思う。"
"35","yoshikawa","shosointen'o_miru.txt","なんについてもいえることだが美術工芸も時とともに堕落と迷いの一方をたどってきたといっていい。"
"36","yoshikawa","shosointen'o_miru.txt","この五弦琵琶の姿にすぐ湧いてくる気もちは、これをかなでた人が目に見えてくることだった。"
"37","yoshikawa","shosointen'o_miru.txt","また自分にも抱いてみたい意欲をそそられることである。"
"38","yoshikawa","shosointen'o_miru.txt","抱いてみたい心をもたせる琵琶などはかつてよそでは見たこともない。"
"39","yoshikawa","shosointen'o_miru.txt",""
"40","yoshikawa","shosointen'o_miru.txt","触感を思う物では、羊毛の花もうせんがある。"
"41","yoshikawa","shosointen'o_miru.txt","花もようの中に陶画の人形手といったような童女の姿が織りこんであり、作者の意匠にほほ笑まれる。"
"42","yoshikawa","shosointen'o_miru.txt","女帝孝謙も、僧侶政府の道鏡大臣も、ある日こうした物を踏んでいたのかとそぞろおもう。"
"43","yoshikawa","shosointen'o_miru.txt","もひとつの向日葵のような大きな強いもようの方には古いアジアが反射している。"
"44","yoshikawa","shosointen'o_miru.txt",""
"45","yoshikawa","shosointen'o_miru.txt",""
"46","yoshikawa","shosointen'o_miru.txt","ほかの専門家がいうだろうから私はなるべく目につかない物を拾おう。"
"47","yoshikawa","shosointen'o_miru.txt",""
"48","yoshikawa","shosointen'o_miru.txt","ふと見のがしやすいが薬種の部に、※蜜がある。"
"49","yoshikawa","shosointen'o_miru.txt","唐朝輸入品で蜂蜜を固形したものだ、なめてみるわけにはゆかないが、これはきっと甘いはずだ。"
"50","yoshikawa","shosointen'o_miru.txt","工芸にも使われたが、現代のローヤルゼリーのような栄養補強にも愛用されていたのではあるまいか。"
"51","yoshikawa","shosointen'o_miru.txt","矢を入れる矢入れ、手箱、薬種の草根をつつんだ編み物、そのほか注意してみると、蔦や葛や紙やいろんな材料で編んだ物がかなりあった。"
"52","yoshikawa","shosointen'o_miru.txt","女子の技芸の上達を祈る七夕まつりの赤糸や針も出ていた。"
"53","yoshikawa","shosointen'o_miru.txt","それらをみると日本の庶民の指先のすぐれていたことが信じられる。"
"54","yoshikawa","shosointen'o_miru.txt","いじらしいほどみな繊細で美しい。"
"55","yoshikawa","shosointen'o_miru.txt","こんな自然で高尚な天性の技はいまどこへいってしまったのか。"
"56","yoshikawa","shosointen'o_miru.txt",""
"57","yoshikawa","shosointen'o_miru.txt","竹製のハジキ弓にもおなじ感をおぼえた。"
"58","yoshikawa","shosointen'o_miru.txt","竹の削ぎ肌になんともいえない稜線と神経がとおっている。"
"59","yoshikawa","shosointen'o_miru.txt","やれ古伊賀のヘラだの光悦茶碗のケズリがどうのといっても、しょせん、これからみれば末期の一歩てまえのものだ。"
"60","yoshikawa","shosointen'o_miru.txt","さらには、この半弓は遊戯の具だから、これの工人もこの中でうんと遊んでいるのだった。"
"61","yoshikawa","shosointen'o_miru.txt","細い弓身の全面にわたって唐風俗の舞踊者、曲芸者、奇術師、楽人など九十六人の演舞を墨絵でかいているのである。"
"62","yoshikawa","shosointen'o_miru.txt","おどろくべき作者の“遊び心”だと、うらやましくなってきた。"
"63","yoshikawa","shosointen'o_miru.txt",""
"64","yoshikawa","shosointen'o_miru.txt",""
"65","yoshikawa","shosointen'o_miru.txt","ただの紙がある。"
"66","yoshikawa","shosointen'o_miru.txt","色がみである。"
"67","yoshikawa","shosointen'o_miru.txt","当時の便せんといっていい。"
"68","yoshikawa","shosointen'o_miru.txt","それと用途不明の地模様のある一枚もあり、それは奈良朝にはめずらしいスピード感のある刷毛描きで飛雲と飛鳥の胡粉絵なのだ。"
"69","yoshikawa","shosointen'o_miru.txt","やがては人間界の住みかも現代のようなマスコミになるという幻想がそのころの人のあたまにも無自覚にあったような幻想画で、見つめているとふとそんな空想にまきこまれる。"
"70","yoshikawa","shosointen'o_miru.txt",""
"71","yoshikawa","shosointen'o_miru.txt","線といえば麻布の菩薩図には見｜飽かなかった。"
"72","yoshikawa","shosointen'o_miru.txt","この時代はまだ絵画の描線も衣紋の筆法などもごく幼稚なものとばかり思惟していたのが一ぺんにくつがえされた。"
"73","yoshikawa","shosointen'o_miru.txt","わけて菩薩の指、左手の指の正確さなどは、全幅の筆勢を目でたどってきて、そこにいたると、もうただ嘆をのむほかはない。"
"74","yoshikawa","shosointen'o_miru.txt","観者として見ているつもりの自分がじつは天平の一仏性から微笑の下に見られていたのだと、よほどたってから気がついてきたことだった。"
"75","yoshikawa","shosointen'o_miru.txt",""
"76","yoshikawa","shosointen'o_miru.txt","密陀絵の花喰い鳥の盆、びょうぶ絵の樹下美人、蝋染めや板ジメ染めなど、絵と見てもわるくないが、どれも工匠の設図である。"
"77","yoshikawa","shosointen'o_miru.txt","だが横長の麻布山水図だけはどうもただのアマチュアかセミ・プロ程度の人の余戯らしい。"
"78","yoshikawa","shosointen'o_miru.txt","それだけに稚拙愛すべき墨絵で、庶民の天平と、その生活とがよく出ている。"
"79","yoshikawa","shosointen'o_miru.txt","そして、この絵に対して、ひょうびょうとしてくるうちには、千二百年前の漁村に身をひきもどされて、鴫の声を耳に寒々と夕がたの飯など思う天平の庶民の一人にいつか自分がなっている。"
"80","yoshikawa","shosointen'o_miru.txt",""
"81","yoshikawa","shosointen'o_miru.txt","私はここで一つのことに思いあたった。"
"82","yoshikawa","shosointen'o_miru.txt","本来の人間は、生まれながらの人間は――元々みな芸術家なのだ。"
"83","yoshikawa","shosointen'o_miru.txt","といっても繩文や弥生土器にみるような長い長い知識の胎内期を出てからのことだが、みなすばらしい芸術家だったのだ。"
