"","auth","piece","line"
"0","yoshikawa","taiko_fujin.txt","日本名婦伝"
"1","yoshikawa","taiko_fujin.txt","太閤夫人"
"2","yoshikawa","taiko_fujin.txt","吉川英治"
"3","yoshikawa","taiko_fujin.txt",""
"4","yoshikawa","taiko_fujin.txt","-------------------------------------------------------"
"5","yoshikawa","taiko_fujin.txt","【テキスト中に現れる記号について】"
"6","yoshikawa","taiko_fujin.txt",""
"7","yoshikawa","taiko_fujin.txt","《》：ルビ"
"8","yoshikawa","taiko_fujin.txt","（例）寧子"
"9","yoshikawa","taiko_fujin.txt",""
"10","yoshikawa","taiko_fujin.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","yoshikawa","taiko_fujin.txt","（例）尾張｜清洲"
"12","yoshikawa","taiko_fujin.txt",""
"13","yoshikawa","taiko_fujin.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","yoshikawa","taiko_fujin.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","yoshikawa","taiko_fujin.txt","（例）※"
"16","yoshikawa","taiko_fujin.txt","-------------------------------------------------------"
"17","yoshikawa","taiko_fujin.txt",""
"18","yoshikawa","taiko_fujin.txt","一"
"19","yoshikawa","taiko_fujin.txt",""
"20","yoshikawa","taiko_fujin.txt","寧子は十六になった。"
"21","yoshikawa","taiko_fujin.txt",""
"22","yoshikawa","taiko_fujin.txt","妹の於ややと二人して、伯父伯母にあたる浅野家に養われて来た。"
"23","yoshikawa","taiko_fujin.txt","ふたり共、養女なのである。"
"24","yoshikawa","taiko_fujin.txt",""
"25","yoshikawa","taiko_fujin.txt","世間は知らなかった。"
"26","yoshikawa","taiko_fujin.txt","それほど、浅野又右衛門夫婦の愛は、世の親たちと変りなかった。"
"27","yoshikawa","taiko_fujin.txt",""
"28","yoshikawa","taiko_fujin.txt","十六というと、寧子も人知れず、「女の先」を考え始めた。"
"29","yoshikawa","taiko_fujin.txt","時代は早婚の風である。"
"30","yoshikawa","taiko_fujin.txt","もう他から結婚のはなしがいろいろ持込まれるのであった。"
"31","yoshikawa","taiko_fujin.txt",""
"32","yoshikawa","taiko_fujin.txt","その数々の縁談のくちで、親たちの眼に選り残されているのは、もちろん皆、尾張｜清洲の織田家中ではあるが、とりわけ、"
"33","yoshikawa","taiko_fujin.txt",""
"34","yoshikawa","taiko_fujin.txt","藩の侍頭大学信盛の舎弟、佐久間左京"
"35","yoshikawa","taiko_fujin.txt","信長の小姓組、前田｜犬千代"
"36","yoshikawa","taiko_fujin.txt","槍組衆の河尻与兵衛"
