"","auth","piece","line"
"0","yoshikawa","tazaki_sounto_sonoko.txt","田崎草雲とその子"
"1","yoshikawa","tazaki_sounto_sonoko.txt","吉川英治"
"2","yoshikawa","tazaki_sounto_sonoko.txt",""
"3","yoshikawa","tazaki_sounto_sonoko.txt","-------------------------------------------------------"
"4","yoshikawa","tazaki_sounto_sonoko.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","tazaki_sounto_sonoko.txt",""
"6","yoshikawa","tazaki_sounto_sonoko.txt","《》：ルビ"
"7","yoshikawa","tazaki_sounto_sonoko.txt","（例）梅渓餓鬼草紙"
"8","yoshikawa","tazaki_sounto_sonoko.txt",""
"9","yoshikawa","tazaki_sounto_sonoko.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","tazaki_sounto_sonoko.txt","（例）十｜字舎"
"11","yoshikawa","tazaki_sounto_sonoko.txt",""
"12","yoshikawa","tazaki_sounto_sonoko.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","tazaki_sounto_sonoko.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","tazaki_sounto_sonoko.txt","（例）※"
"15","yoshikawa","tazaki_sounto_sonoko.txt","-------------------------------------------------------"
"16","yoshikawa","tazaki_sounto_sonoko.txt",""
"17","yoshikawa","tazaki_sounto_sonoko.txt",""
"18","yoshikawa","tazaki_sounto_sonoko.txt",""
"19","yoshikawa","tazaki_sounto_sonoko.txt","梅渓餓鬼草紙の中に住む"
"20","yoshikawa","tazaki_sounto_sonoko.txt","一九先生に会うの機縁"
"21","yoshikawa","tazaki_sounto_sonoko.txt",""
"22","yoshikawa","tazaki_sounto_sonoko.txt",""
"23","yoshikawa","tazaki_sounto_sonoko.txt",""
"24","yoshikawa","tazaki_sounto_sonoko.txt","山谷堀の船宿、角中の亭主は、狂歌や戯作などやって、ちっとばかり筆が立つ。"
"25","yoshikawa","tazaki_sounto_sonoko.txt","号を十｜字舎三九といっていたが、後に、十｜返舎一九と改めて、例の膝栗毛を世間に出した。"
"26","yoshikawa","tazaki_sounto_sonoko.txt",""
"27","yoshikawa","tazaki_sounto_sonoko.txt","それが馬鹿な売れ行きをみせて、馬琴物も種彦物も影をひそめてしまったので、一九は、すっかりいい気持だった。"
"28","yoshikawa","tazaki_sounto_sonoko.txt",""
"29","yoshikawa","tazaki_sounto_sonoko.txt","待乳山が近い二階の北窓に、文人ごのみの机をすえて、よく鼻毛など抜いていたが、この頃、毎日のように、ぴイぴイ泣く、近所の子供の声が、神経にさわってならないので、女房が上ってきた所を、いきなり呶鳴りつけた。"
"30","yoshikawa","tazaki_sounto_sonoko.txt",""
"31","yoshikawa","tazaki_sounto_sonoko.txt","『てめえの耳は、ぬか袋か。"
"32","yoshikawa","tazaki_sounto_sonoko.txt","あれが気にならねえのかよ。"
"33","yoshikawa","tazaki_sounto_sonoko.txt","なんでえ、あの餓鬼ゃあ、きのうも今日も、まんまー、まんまー、と雨垂れみてえに、朝から晩まで、泣きいびってやがる。"
"34","yoshikawa","tazaki_sounto_sonoko.txt","なんとかして来い』"
"35","yoshikawa","tazaki_sounto_sonoko.txt","『よその子を、どうなるものかね。"
"36","yoshikawa","tazaki_sounto_sonoko.txt","それに、御浪人じゃないか。"
"37","yoshikawa","tazaki_sounto_sonoko.txt","うっかりした事を、いえやしない』"
"38","yoshikawa","tazaki_sounto_sonoko.txt","ふくれながら、女房は、外へ出て行ったが、戻ってくると、慌てて、大きな塩握飯を二つこしらえて、前掛の下に、小皿を隠して出て行った。"
"39","yoshikawa","tazaki_sounto_sonoko.txt",""
"40","yoshikawa","tazaki_sounto_sonoko.txt","ひどい裏店で、一軒一軒が生ける餓鬼草紙の絵だった。"
"41","yoshikawa","tazaki_sounto_sonoko.txt","ドブ板さえ焚き付にされている狭い路地を、女房は、何気なく通りかかった振りをして、雨垂れ泣きの洩れる台所から、"
"42","yoshikawa","tazaki_sounto_sonoko.txt","『おや、坊ッちゃま、どうなさいましたえ』と、覗きこんだ。"
"43","yoshikawa","tazaki_sounto_sonoko.txt",""
"44","yoshikawa","tazaki_sounto_sonoko.txt","『あれ、これが、欲しいんでございますか。"
"45","yoshikawa","tazaki_sounto_sonoko.txt","これは、坊ッちゃまの食がるような物じゃございませんよ。"
"46","yoshikawa","tazaki_sounto_sonoko.txt","オヤ、お泣きなさいますね。"
"47","yoshikawa","tazaki_sounto_sonoko.txt","じゃ、置いて参りましょう。"
"48","yoshikawa","tazaki_sounto_sonoko.txt","玩具になさいましよ』"
"49","yoshikawa","tazaki_sounto_sonoko.txt","と、握飯の皿を置いて、大急ぎで帰ってしまった。"
"50","yoshikawa","tazaki_sounto_sonoko.txt",""
"51","yoshikawa","tazaki_sounto_sonoko.txt","画家の田崎｜梅渓と妻女のお菊は、奥で――といっても、六畳一間、やぶれ障子と、屑屋も逃げるような雑器のほか、何物もない。"
"52","yoshikawa","tazaki_sounto_sonoko.txt","――暗然と、顔を見あわせて、"
"53","yoshikawa","tazaki_sounto_sonoko.txt","『ああ、美味そうな……』"
"54","yoshikawa","tazaki_sounto_sonoko.txt","と、握飯の皿へ、本能的にしがみついて、音をたてて食べているわが子、まだ、五歳の格太郎を、夫婦で、じっと見つめていた。"
"55","yoshikawa","tazaki_sounto_sonoko.txt",""
"56","yoshikawa","tazaki_sounto_sonoko.txt","梅渓は、眼が熱くなった。"
"57","yoshikawa","tazaki_sounto_sonoko.txt","お菊も泣いた。"
