"","auth","piece","line"
"0","yoshikawa","tennoto_keiba.txt","天皇と競馬"
"1","yoshikawa","tennoto_keiba.txt","吉川英治"
"2","yoshikawa","tennoto_keiba.txt",""
"3","yoshikawa","tennoto_keiba.txt","-------------------------------------------------------"
"4","yoshikawa","tennoto_keiba.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","tennoto_keiba.txt",""
"6","yoshikawa","tennoto_keiba.txt","《》：ルビ"
"7","yoshikawa","tennoto_keiba.txt","（例）鹵簿"
"8","yoshikawa","tennoto_keiba.txt","-------------------------------------------------------"
"9","yoshikawa","tennoto_keiba.txt",""
"10","yoshikawa","tennoto_keiba.txt","五月五日には天皇賞レースがある。"
"11","yoshikawa","tennoto_keiba.txt","淀競馬場は沸くだろう。"
"12","yoshikawa","tennoto_keiba.txt","日本のクラシック・レースでも最長距離の力戦である。"
"13","yoshikawa","tennoto_keiba.txt",""
"14","yoshikawa","tennoto_keiba.txt","天皇賞レースには、御紋章づきの楯が授与されるが、陛下が競馬場へおいでになったことはない。"
"15","yoshikawa","tennoto_keiba.txt",""
"16","yoshikawa","tennoto_keiba.txt","なぜだろうか。"
"17","yoshikawa","tennoto_keiba.txt","側近の思案もあろうし、陛下御自身の好き嫌いもおありだろう。"
"18","yoshikawa","tennoto_keiba.txt","もし、両陛下とも“見ず嫌い”でいらっしゃるなら、ぜひ一度は御覧ねがいたい。"
"19","yoshikawa","tennoto_keiba.txt","また、側近も、考え直して欲しいとおもう。"
"20","yoshikawa","tennoto_keiba.txt",""
"21","yoshikawa","tennoto_keiba.txt","明治天皇は、よほど競馬がお好きであった。"
"22","yoshikawa","tennoto_keiba.txt","春秋の横浜根岸競馬へは、前後十八回も行幸になった。"
"23","yoshikawa","tennoto_keiba.txt","横浜じゅうは、ロンドン市民がダービーに熱するみたいな他愛なさと国際色に雑鬧する。"
"24","yoshikawa","tennoto_keiba.txt","鹵簿はたしかオープンの三頭立て馬車で、道幅せまい相沢の貧民街も通ってゆく。"
"25","yoshikawa","tennoto_keiba.txt",""
"26","yoshikawa","tennoto_keiba.txt","その両側に、ぼくら小学生も立ち並んだことがある。"
"27","yoshikawa","tennoto_keiba.txt","みんなで紙旗を打振るのが、鹵簿の車輪やお体にも触れるほどだった。"
"28","yoshikawa","tennoto_keiba.txt","白い手袋とニコニコしたお顔が、小学生や貧民街の人々や競馬ファンにこたえて行かれた。"
"29","yoshikawa","tennoto_keiba.txt",""
"30","yoshikawa","tennoto_keiba.txt","ああしたオープンな陛下の姿は、以後、絶対に庶民の眼から遠ざかった。"
"31","yoshikawa","tennoto_keiba.txt","思い出すと、その日のみは、陛下も、ファンのおひとりだった。"
"32","yoshikawa","tennoto_keiba.txt","明治天皇が、わけても民情に通じておられたのも、偶然ではない。"
"33","yoshikawa","tennoto_keiba.txt",""
"34","yoshikawa","tennoto_keiba.txt","競馬は、宮廷が最初の主催者である。"
"35","yoshikawa","tennoto_keiba.txt","奈良朝の文武帝に始まるというから、仏教と前後して渡った事かもしれぬ。"
"36","yoshikawa","tennoto_keiba.txt","聖武帝と光明皇后。"
"37","yoshikawa","tennoto_keiba.txt","また、代々の天皇、春宮、上皇、女院、藤壺ノ君などが、群集と共に、笑みを並べて競馬を見る――そんな絵画的想像もわく。"
"38","yoshikawa","tennoto_keiba.txt",""
"39","yoshikawa","tennoto_keiba.txt","わけて、平安期の末期には、年表にも「天皇、皇后、競馬を覧給ふ」の項が随所に多い。"
"40","yoshikawa","tennoto_keiba.txt","神泉苑の競馬、仁和寺の競馬、加茂の競馬、時には、公卿の邸地でも、都の大路でも、臨時競馬をやった。"
"41","yoshikawa","tennoto_keiba.txt",""
"42","yoshikawa","tennoto_keiba.txt","すべて直線コースで、今の千二百メートルぐらいがせいぜいであったらしい。"
"43","yoshikawa","tennoto_keiba.txt","騎手は、朝臣たちだ。"
"44","yoshikawa","tennoto_keiba.txt","中には、負けたくやしさに、切腹した者もある。"
"45","yoshikawa","tennoto_keiba.txt",""
"46","yoshikawa","tennoto_keiba.txt","「賭物貢ノ式」というのが、春と秋に、宮中で行われる。"
"47","yoshikawa","tennoto_keiba.txt","天皇の前で、負け組から勝組へ、罰として“貢”を贈る儀式である。"
"48","yoshikawa","tennoto_keiba.txt","あとは無礼講となり、敵味方、勝敗を忘れて、大らかに飲み遊ぶ。"
"49","yoshikawa","tennoto_keiba.txt",""
"50","yoshikawa","tennoto_keiba.txt","いったいに、その頃は、賭け事を、そう危険視や不潔視していなかったようである。"
"51","yoshikawa","tennoto_keiba.txt","僧侶をあいてに天皇が、賭け碁をしたりしておいでになる。"
"52","yoshikawa","tennoto_keiba.txt",""
"53","yoshikawa","tennoto_keiba.txt","とにかく、競馬場には、素裸な庶民が、終日、他愛もなく渦まいている。"
"54","yoshikawa","tennoto_keiba.txt","偽似君子でなければ、この中にも人間の真を見出すであろう。"
"55","yoshikawa","tennoto_keiba.txt","本来の人間とは、何と愛すべき生態で、そして無邪気なものか。"
"56","yoshikawa","tennoto_keiba.txt","いろいろな人間図、本能図、可憐なる家族図なども、御覧になれることとおもう。"
"57","yoshikawa","tennoto_keiba.txt","馬は見給わずとも、いちどは、おいでになる価値はあろう。"
"58","yoshikawa","tennoto_keiba.txt",""
"59","yoshikawa","tennoto_keiba.txt",""
"60","yoshikawa","tennoto_keiba.txt",""
"61","yoshikawa","tennoto_keiba.txt",""
