"","auth","piece","line"
"0","yoshikawa","utsukushii_nihonno_rekishi.txt","美しい日本の歴史"
"1","yoshikawa","utsukushii_nihonno_rekishi.txt","吉川英治"
"2","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"3","yoshikawa","utsukushii_nihonno_rekishi.txt","-------------------------------------------------------"
"4","yoshikawa","utsukushii_nihonno_rekishi.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"6","yoshikawa","utsukushii_nihonno_rekishi.txt","《》：ルビ"
"7","yoshikawa","utsukushii_nihonno_rekishi.txt","（例）尊良"
"8","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"9","yoshikawa","utsukushii_nihonno_rekishi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","utsukushii_nihonno_rekishi.txt","（例）千葉｜胤明"
"11","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"12","yoshikawa","utsukushii_nihonno_rekishi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","utsukushii_nihonno_rekishi.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","yoshikawa","utsukushii_nihonno_rekishi.txt","（例）※"
"15","yoshikawa","utsukushii_nihonno_rekishi.txt","-------------------------------------------------------"
"16","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"17","yoshikawa","utsukushii_nihonno_rekishi.txt","鼻の白粉"
"18","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"19","yoshikawa","utsukushii_nihonno_rekishi.txt","一夜、ある映画館で私はつい飛んでもない自分の阿呆をあたりのつつましい観客たちに暴露していた。"
"20","yoshikawa","utsukushii_nihonno_rekishi.txt","人気者のユル・ブリンナー主演の「大海賊」を観ているうち、誰もがシュンとしていたラストの恋人との別れのシーンへ来てつい私はクツクツ笑いが止まらなくなってしまったのだ。"
"21","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"22","yoshikawa","utsukushii_nihonno_rekishi.txt","主役の海賊のブリンナーが恋人の胸をつき放して言いつづける。"
"23","yoshikawa","utsukushii_nihonno_rekishi.txt","『祖国のない海、定住のない海。"
"24","yoshikawa","utsukushii_nihonno_rekishi.txt","君は連れて行けない』『君は残れ。"
"25","yoshikawa","utsukushii_nihonno_rekishi.txt","愛すればこそ、永遠に愛すればこそ、君を連れて行くわけにはゆかないのだ』。"
"26","yoshikawa","utsukushii_nihonno_rekishi.txt","どうもお古いセリフである。"
"27","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"28","yoshikawa","utsukushii_nihonno_rekishi.txt","だが私は、それでおかしくなったわけではない。"
"29","yoshikawa","utsukushii_nihonno_rekishi.txt","ちょうど時代もこの映画が扱っている十八世紀ごろの日本にあった一組の男女を思い出して、つい二重唱に画面を観ていたせいなのだった。"
"30","yoshikawa","utsukushii_nihonno_rekishi.txt","では日本版のそのラヴ・シーンとは何かというと、大ざっぱに言って、幕末維新の先駆をなした天誅組の首領、藤本鉄石（真金）にこんな一話があったのを、書名は忘れたがふと思い出したのである。"
"31","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"32","yoshikawa","utsukushii_nihonno_rekishi.txt","淡路島の洲本に、廻船や穀問屋などしている旧家があり、当時、志士達のパトロンだった。"
"33","yoshikawa","utsukushii_nihonno_rekishi.txt","鉄石も西遊中に、長らく滞留していたことがあって、その洲本屋の娘に絵など教えているうちついいい仲になっていた。"
"34","yoshikawa","utsukushii_nihonno_rekishi.txt","しかしその後、いよいよ天誅組一味の大和旗挙げの機も熟したので、鉄石は淡路へ渡って、旧恩のある洲本屋へそれとなく別れを告げ、そして一晩はそこに泊った。"
"35","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"36","yoshikawa","utsukushii_nihonno_rekishi.txt","すると翌朝、いざ立ち際になると、前夜は得心していたはずの娘が俄に泣きみだれて、どうしても一しょに連れて行けといっておさまらない。"
"37","yoshikawa","utsukushii_nihonno_rekishi.txt","鉄石も弱ったろうが、然し四十男の彼でもあった。"
"38","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"39","yoshikawa","utsukushii_nihonno_rekishi.txt","『よしよし、泣け泣け、連れて行く連れて行く』"
"40","yoshikawa","utsukushii_nihonno_rekishi.txt","子供をあやすように泣きじゃくる恋人の背を撫でてやった。"
"41","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"42","yoshikawa","utsukushii_nihonno_rekishi.txt","『ほんとに』"
"43","yoshikawa","utsukushii_nihonno_rekishi.txt","と、彼女はうれしげに涙を拭いた。"
"44","yoshikawa","utsukushii_nihonno_rekishi.txt","鉄石は大きく『うん』と、うなずきながら、なに思ったか、彼女の鏡台の白粉ツボへ指を入れて、自分の鼻の頭へその白い物をすこしくッ付けて見せた。"
"45","yoshikawa","utsukushii_nihonno_rekishi.txt","娘はハッとしたきりで言うべき言葉も出て来ない。"
"46","yoshikawa","utsukushii_nihonno_rekishi.txt","そのすきに男はもう座を去って言い捨てていたという事である。"
"47","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"48","yoshikawa","utsukushii_nihonno_rekishi.txt","『いいだろ、こうして連れて行けば。"
"49","yoshikawa","utsukushii_nihonno_rekishi.txt","――どこまでもお前の匂いは忘れッこないよ』"
"50","yoshikawa","utsukushii_nihonno_rekishi.txt","この話を、私は総天然色の大がかりなセシル・Ｂ・デミル指揮の現代版へ二重写しとして観ていたものだから、何ともはやユル・ブリンナーの藤本鉄石も不粋なでくの坊に見えて手が届くものなら彼の野暮にシャチコ張ッた鼻の頭へ白粉をつけてやりたくなっていたのだった。"
"51","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"52","yoshikawa","utsukushii_nihonno_rekishi.txt","松ニ古今ノ色ナシというが、どうもお約束のラヴ・シーンや別れの会話などになると、男女の古今も洋の東西もないらしい。"
"53","yoshikawa","utsukushii_nihonno_rekishi.txt","その中では鉄石の別れかたなど愛情の東洋的表現ではあるがユーモアで気がきいている。"
"54","yoshikawa","utsukushii_nihonno_rekishi.txt","後人の作話かもしれないが、作話とすればなお秀逸の方だろう。"
"55","yoshikawa","utsukushii_nihonno_rekishi.txt","近代人のドライでもここまでのドライと救いの両方は持ちえない。"
"56","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"57","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"58","yoshikawa","utsukushii_nihonno_rekishi.txt","敗戦の狐窟"
"59","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"60","yoshikawa","utsukushii_nihonno_rekishi.txt","御成婚の挙式をひかえて、山田康彦氏が東宮侍従長に昇格された。"
"61","yoshikawa","utsukushii_nihonno_rekishi.txt","と発表のあった略歴記事のうちにこんな数行が載っていた。"
"62","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"63","yoshikawa","utsukushii_nihonno_rekishi.txt","終戦切迫のさいである。"
"64","yoshikawa","utsukushii_nihonno_rekishi.txt","旧陸軍の一部では、皇太子を擁して、なおも戦争をつづけようとする計画があるらしいと聞き、時の山田侍従は皇太子とともに群馬県沼田の山野へ奔ろうとしたという事である。"
"65","yoshikawa","utsukushii_nihonno_rekishi.txt","万が一にも、一部陸軍のそんな計画がおこなわれていたら、どうなっていたろうか。"
"66","yoshikawa","utsukushii_nihonno_rekishi.txt","とても今日の御盛儀などありえたかどうか分らない。"
"67","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"68","yoshikawa","utsukushii_nihonno_rekishi.txt","もっとも旧陸軍教育からいえば、それはたしかに当時の一策であったであろう。"
"69","yoshikawa","utsukushii_nihonno_rekishi.txt","太平記の吉野朝を地で行く考え方になる。"
"70","yoshikawa","utsukushii_nihonno_rekishi.txt","だが、あんな国内戦争にすぎない南北朝の乱でも、後醍醐天皇のかず多い皇子たちが、みなどんな末路をとげたか、分っていそうなものである。"
"71","yoshikawa","utsukushii_nihonno_rekishi.txt","鎌倉の名所の一ツとなった大塔ノ宮の土牢は嘘だが殺されたのは事実である。"
"72","yoshikawa","utsukushii_nihonno_rekishi.txt","尊良、恒良、成良、義良、宗良、懐良などの諸皇子たれひとり人生を完うされたお方はない。"
"73","yoshikawa","utsukushii_nihonno_rekishi.txt","雑兵に交じって火中を馳け歩いた皇子もある。"
"74","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"75","yoshikawa","utsukushii_nihonno_rekishi.txt","直木賞作家の城山三郎氏の「大義の末」を読みながらも思い出されたが、終戦直後のこと。"
"76","yoshikawa","utsukushii_nihonno_rekishi.txt","私の疎開していた奥多摩附近の山の洞窟へ詔勅で解散した溝ノ口陸軍部隊の一部が、弾薬、食糧物資などをかくして、不穏なもくろみをもっているという噂が、あの辺の近村に真しやかに拡がった。"
"77","yoshikawa","utsukushii_nihonno_rekishi.txt","つまり解散はしたが『おれたちはあくまで降伏せず』という彰義隊的な一部の壮烈な同志が、騎虎の勢い、なにか密盟を結んで他日を期していたものらしい。"
"78","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"79","yoshikawa","utsukushii_nihonno_rekishi.txt","『どうしました、その後、洞窟の志士たちは。"
"80","yoshikawa","utsukushii_nihonno_rekishi.txt","それともあれは、単なる流言だったのでしょうか』"
"81","yoshikawa","utsukushii_nihonno_rekishi.txt","噂もさっぱり消えかけていた頃、私は土地の警察署長が見えたついでに訊いてみた。"
"82","yoshikawa","utsukushii_nihonno_rekishi.txt","すると署長さんは、"
"83","yoshikawa","utsukushii_nihonno_rekishi.txt","『いや調べてみたら、まんざら嘘じゃなかったんですな。"
"84","yoshikawa","utsukushii_nihonno_rekishi.txt","しかし、附近の農家などから訊いた所を綜合してみると、いやおかしいの何のッて』"
"85","yoshikawa","utsukushii_nihonno_rekishi.txt","と、ここでげらげら笑い出して、かねて半信半疑だった私の疑問に、こう結論をつけてくれた。"
"86","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"87","yoshikawa","utsukushii_nihonno_rekishi.txt","『いったい人員は、何十人だったのか知れませんが、確かに最初の結束だけはどうやら一本気の本物だったらしいんです。"
"88","yoshikawa","utsukushii_nihonno_rekishi.txt","調べたところ、穴の中には武器やら何やら持ち込まれてありましたから。"
"89","yoshikawa","utsukushii_nihonno_rekishi.txt","ところがですね。"
"90","yoshikawa","utsukushii_nihonno_rekishi.txt","砂糖、油、カンパン、煙草といったような物は、もうあとかたもありませんわ。"
"91","yoshikawa","utsukushii_nihonno_rekishi.txt","いちどは慨然と殉国を誓った結束組も、別れてみると、やはり穴ぐらの物資というやつがお互いの心配になり気懸りで仕方がない。"
"92","yoshikawa","utsukushii_nihonno_rekishi.txt","そこでこッそり単独で穴ぐらを覗きに行ってみると、果たせるかな、もう先に来たやつが砂糖や煙草に手をつけて、はッきりと減っている。"
"93","yoshikawa","utsukushii_nihonno_rekishi.txt","すると自分も馬鹿正直が馬鹿らしくなって持って帰る。"
"94","yoshikawa","utsukushii_nihonno_rekishi.txt","といった按配に、毛布からガソリンまでいつかしらお互いにコソコソ持ち去ってしまったもんですな。"
"95","yoshikawa","utsukushii_nihonno_rekishi.txt","それやあ、農家もくすねたかもしれませんがね。"
"96","yoshikawa","utsukushii_nihonno_rekishi.txt","なにしろ極めて自然にかたづいておりますよ。"
"97","yoshikawa","utsukushii_nihonno_rekishi.txt","ええ、赤サビの機関銃などは、進駐軍をつれていって、その後われわれの方で処分しましたがね』"
"98","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"99","yoshikawa","utsukushii_nihonno_rekishi.txt","兵隊と天皇"
"100","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"101","yoshikawa","utsukushii_nihonno_rekishi.txt","こんど東宮の御新居となる青山御所の正門寄りの鮫ヶ橋に、以前、お歌所の千葉｜胤明翁が住んでおられた。"
"102","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"103","yoshikawa","utsukushii_nihonno_rekishi.txt","千葉さんも戦時中、私とおなじ奥多摩の福生に一時疎開され、そこでついに亡くなられたが、戦前から私も赤坂表町にいたので、早朝の散歩のついでには、よく私の家の縁先へ寄っては、番茶などすすりながら一ト話ししてゆくことがままあった。"
"104","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"105","yoshikawa","utsukushii_nihonno_rekishi.txt","千葉さんは典型的な宮中の、つまり寄人らしい風骨の歌人であった。"
"106","yoshikawa","utsukushii_nihonno_rekishi.txt","明治から三代の天皇につかえたというのが何よりのご自慢である。"
"107","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"108","yoshikawa","utsukushii_nihonno_rekishi.txt","わけて明治天皇のはなしというと時をわすれてはなしこまれる風だった。"
"109","yoshikawa","utsukushii_nihonno_rekishi.txt","私も興のままに伺っては、ついその場かぎりで忘れてしまった事の方が多いけれど、忘れえない幾つかの話もある。"
"110","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"111","yoshikawa","utsukushii_nihonno_rekishi.txt","天皇が指揮官として整列を命じられるときというと、極っていつも容易に兵列が揃わない。"
"112","yoshikawa","utsukushii_nihonno_rekishi.txt","とかく凸凹がちになる。"
"113","yoshikawa","utsukushii_nihonno_rekishi.txt","で陛下は、いちいち側へ行って、その兵の姿勢を直される。"
"114","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"115","yoshikawa","utsukushii_nihonno_rekishi.txt","どうも変だ変だと、ほかの武官たちが首をひねッているうちに、やっとその原因が判明した。"
"116","yoshikawa","utsukushii_nihonno_rekishi.txt","兵隊たちの意識的な現象だった。"
"117","yoshikawa","utsukushii_nihonno_rekishi.txt","故意に分らないほどずつ、列から出たり引っ込んだりしていた兵が少なからずあったらしい。"
"118","yoshikawa","utsukushii_nihonno_rekishi.txt","すると天皇がツカツカ進んでいってその兵の姿勢を正す。"
"119","yoshikawa","utsukushii_nihonno_rekishi.txt","つまり兵隊たちは天皇のお手に触って貰いたかったものなのである。"
"120","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"121","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"122","yoshikawa","utsukushii_nihonno_rekishi.txt","皇居文明開化に開く日"
"123","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"124","yoshikawa","utsukushii_nihonno_rekishi.txt","ある朝、千葉さんが私へ言った。"
"125","yoshikawa","utsukushii_nihonno_rekishi.txt","『吉川君、東京じゅうで、電燈がいちばん遅く灯いた所は、どこだか知ってる？』『さあ。"
"126","yoshikawa","utsukushii_nihonno_rekishi.txt","いずれ場末でしょうか』『いや、もう東京全市にランプなど見られなくなっていたのに、まだ何年も蝋燭でいた所があるんだ。"
"127","yoshikawa","utsukushii_nihonno_rekishi.txt","皇居ですよ。"
"128","yoshikawa","utsukushii_nihonno_rekishi.txt","皇居といっても、宮内省にはいの一番に電燈も布設されていたが、明治天皇のご起居なすっていた一郭だけが、いつまでも京都御所以来のままな古風な百目蝋燭でお過しでしたよ』"
"129","yoshikawa","utsukushii_nihonno_rekishi.txt","これが千葉さんの前おきである。"
"130","yoshikawa","utsukushii_nihonno_rekishi.txt","そして、話の骨子は、相手の私から『なぜ？』と訊いて貰いたいらしかった。"
"131","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"132","yoshikawa","utsukushii_nihonno_rekishi.txt","文明開化の恩恵として電燈ほど利便あきらかなものはない。"
"133","yoshikawa","utsukushii_nihonno_rekishi.txt","なのに明治天皇のお座所を中心とする諸殿だけは、宮内省やほかの官衙がすべて電燈化されても『電気にしていい』というお許しがないのだった。"
"134","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"135","yoshikawa","utsukushii_nihonno_rekishi.txt","『陛下はやはり古風がお好きなのかもしれない』"
"136","yoshikawa","utsukushii_nihonno_rekishi.txt","宮内当局は内々こうも考えてみた。"
"137","yoshikawa","utsukushii_nihonno_rekishi.txt","しかしほかの事では洋風化も決してお嫌いな様子ではない。"
"138","yoshikawa","utsukushii_nihonno_rekishi.txt","いや進取の御気風は積極的な方ですらあった。"
"139","yoshikawa","utsukushii_nihonno_rekishi.txt","で、折あるごとに、大官たちは電燈のこころよさ、火災の危険もないことなど、それとなくお耳に入れてみては、そこで『いかがでしょう、御便殿なども』と触れてみるが、陛下は『まあよい、まあよい』で、いつか二年余も経ってしまった。"
"140","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"141","yoshikawa","utsukushii_nihonno_rekishi.txt","すると宮内官吏の或る者が、自分のふと気づいた儘を、上司へそっと告げてみた。"
"142","yoshikawa","utsukushii_nihonno_rekishi.txt","それは陛下のお座所から諸殿の廊下にまでともされる毎晩の百目蝋燭は一本百匁以上もある大きな物であり数も相当な消費になるが、やがて陛下がご寝所にお入りになると、むかしで言う舎人のような下級宮内官吏が、蝋燭バサミと黒塗りの鑵のような物を提げて、その一本一本のとぼし残りをふッと吹いては鑵に入れて消して廻る。"
"143","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"144","yoshikawa","utsukushii_nihonno_rekishi.txt","そこでこの蝋燭屑が、毎晩のことなので、一年には相当な量になる。"
"145","yoshikawa","utsukushii_nihonno_rekishi.txt","しかしこれは半年毎に、宮内省御用達の蝋燭屋が、裏門からそっと引き取って行って、代りにこの蝋屑の“お蝋代”なる金一封が、その係りの袖の下へ内々渡されるという多年のしきたりになっている。"
"146","yoshikawa","utsukushii_nihonno_rekishi.txt","それから又、このささやかなるお蝋代の分配にあずかって、彼ら薄給仲間のお座所廻りの小官吏たちは、年末ならそれを家庭の餅代に当てたり、中元ならお盆の用途や女房子のために浴衣の一枚ずつも買ってやったりしていたのである。"
"147","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"148","yoshikawa","utsukushii_nihonno_rekishi.txt","『どうも、なにも仰っしゃらないけれど、陛下はちゃんとそれを御存知なのじゃないでしょうか。"
"149","yoshikawa","utsukushii_nihonno_rekishi.txt","どう考えても、ほかに陛下が電燈嫌いなわけは思い当りませんし、それにお座所まわりの下級官吏たちの給料は、物価はずいぶん上って来ているのに、いぜん昔の儘ですから』"
"150","yoshikawa","utsukushii_nihonno_rekishi.txt","こう聞いたので、上司がさっそく調べさせてみると、じっさい彼らの薄給はひどかった。"
"151","yoshikawa","utsukushii_nihonno_rekishi.txt","で、その年度の代りに、物価とやや均衡のとれた昇給を行って、それからまた折を見て、陛下に伺いを出してみた。"
"152","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"153","yoshikawa","utsukushii_nihonno_rekishi.txt","『いかがでしょうか。"
"154","yoshikawa","utsukushii_nihonno_rekishi.txt","吹上からごらんになってもお分りでございましょうが、東京全市すべて夜々あのとおりな電燈の灯の海です。"
"155","yoshikawa","utsukushii_nihonno_rekishi.txt","ここのお座所もひとつ電燈になされましては』"
"156","yoshikawa","utsukushii_nihonno_rekishi.txt","すると、今度はすぐ頷かれたとの事である。"
"157","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"158","yoshikawa","utsukushii_nihonno_rekishi.txt","『いいだろう、電燈は結構だ、ひくがいい』"
"159","yoshikawa","utsukushii_nihonno_rekishi.txt","やはり陛下はおそばの下級官吏たちの薄給と蝋燭屑との不可分な関係を知っておられたのだった。"
"160","yoshikawa","utsukushii_nihonno_rekishi.txt","電燈をひけばその年の盆暮から彼らの生計の切廻しがつくまいと案じられていたし、そうかといって、そういう宮内行政の末梢におくちばしを出すのも控えられて、結局、数年のご不自由をしのんでおられたものとみえる。"
"161","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"162","yoshikawa","utsukushii_nihonno_rekishi.txt","私は千葉胤明翁から聞いたこの番茶ばなしを、いつも夜の三宅坂あたりでは、つい思い出すのだった。"
"163","yoshikawa","utsukushii_nihonno_rekishi.txt","あの辺から見る日比谷、数寄屋橋、銀座へかけての近年の夜景などは、いかにそんな話などは早や古くさいかを嘲っている不夜の虹のようなものだ。"
"164","yoshikawa","utsukushii_nihonno_rekishi.txt","しかしすぐ横の暗い静かなお濠の水は、明治の水とも余り変ってはいない。"
"165","yoshikawa","utsukushii_nihonno_rekishi.txt","私は錯覚することがある。"
"166","yoshikawa","utsukushii_nihonno_rekishi.txt","日本の縮図といってしまえばそれまでだが、考えてみると、東京ッてじつに不思議な風景を両極に持って、しかもそれの調和で保っている構造らしい。"
"167","yoshikawa","utsukushii_nihonno_rekishi.txt","何よりもバランスが難かしそうだ。"
"168","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"169","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"170","yoshikawa","utsukushii_nihonno_rekishi.txt","“ままごと棚”世相"
"171","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"172","yoshikawa","utsukushii_nihonno_rekishi.txt","夕刊一面の各紙の寸鉄欄（たとえば朝日の素粒子、毎日の近事片々、読売のよみうり寸評、産経の夕拾など）などそれぞれ独自な筆鋒で諷刺と諧謔のうちに快感のある論調をみせているが、とくに毎日の近事片々には、折々、痛烈なこと対者の陣に声なからしむるような筆風がある。"
"173","yoshikawa","utsukushii_nihonno_rekishi.txt","もう先月のことにはなるが"
"174","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"175","yoshikawa","utsukushii_nihonno_rekishi.txt","高利貸森脇将光が政局の中心と"
"176","yoshikawa","utsukushii_nihonno_rekishi.txt","なる。"
"177","yoshikawa","utsukushii_nihonno_rekishi.txt","結構な国の、結構な政治。"
"178","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"179","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"180","yoshikawa","utsukushii_nihonno_rekishi.txt","とやったなど、一例といってよい。"
"181","yoshikawa","utsukushii_nihonno_rekishi.txt","とかく汚職というような活字も一般観念からして何か麻痺状を呈しているようだが、こう書かれると今さらのごとく現代の奇怪な国会風景に肌を寒うせずにいられなくなる。"
"182","yoshikawa","utsukushii_nihonno_rekishi.txt",""
"183","yoshikawa","utsukushii_nihonno_rekishi.txt","誰かが『現代は、いくら内閣が代っても、結局、田沼内閣になっちまう』と言っていたが、この言葉にも半分の真理は観ていい。"
"184","yoshikawa","utsukushii_nihonno_rekishi.txt","もちろん収賄はその破廉恥さや利官意識からいっても、二重三重な罪悪だが、同様に、それをさせる贈賄の風潮にも、もっと厳しい社会悪としての蔑視と糾弾をお互いに持ち合わなければ駄目なんじゃないかしら。"
