"","auth","piece","line"
"0","yoshikawa","zocho_tenno.txt","増長天王"
"1","yoshikawa","zocho_tenno.txt","吉川英治"
"2","yoshikawa","zocho_tenno.txt",""
"3","yoshikawa","zocho_tenno.txt","-------------------------------------------------------"
"4","yoshikawa","zocho_tenno.txt","【テキスト中に現れる記号について】"
"5","yoshikawa","zocho_tenno.txt",""
"6","yoshikawa","zocho_tenno.txt","《》：ルビ"
"7","yoshikawa","zocho_tenno.txt","（例）峡谷"
"8","yoshikawa","zocho_tenno.txt",""
"9","yoshikawa","zocho_tenno.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","yoshikawa","zocho_tenno.txt","（例）鈴木｜杢之進"
"11","yoshikawa","zocho_tenno.txt",""
"12","yoshikawa","zocho_tenno.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","yoshikawa","zocho_tenno.txt","（例）山目付"
"14","yoshikawa","zocho_tenno.txt","-------------------------------------------------------"
"15","yoshikawa","zocho_tenno.txt",""
"16","yoshikawa","zocho_tenno.txt","山目付"
"17","yoshikawa","zocho_tenno.txt",""
"18","yoshikawa","zocho_tenno.txt","こんな奥深い峡谷は、町から思うと寒い筈だが、案外冷たい風もなく、南勾配を選って山歩きをしていると草萌頃のむしむしとする地息に、毛の根が痒くなる程な汗を覚える。"
"19","yoshikawa","zocho_tenno.txt",""
"20","yoshikawa","zocho_tenno.txt","天明二年の春さきである。"
"21","yoshikawa","zocho_tenno.txt",""
"22","yoshikawa","zocho_tenno.txt","木の芽の色、玲瓏な空、もえる陽炎、まことに春らしい山村の春。"
"23","yoshikawa","zocho_tenno.txt",""
"24","yoshikawa","zocho_tenno.txt","肥前鍋島家の役人、山目付の鈴木杢之進という色の黒い侍、手に寒竹の杖をもち、日当たりのいい灌木の傾斜を、ノソリ、ガサリ、と歩いている。"
"25","yoshikawa","zocho_tenno.txt",""
"26","yoshikawa","zocho_tenno.txt","「どうも、さっぱり面白くないな」"
"27","yoshikawa","zocho_tenno.txt","といわんばかりな顔つきで、恰好な場所を見つけると、ドッカリ山芝へ腰をおろしてしまった。"
"28","yoshikawa","zocho_tenno.txt",""
