"","auth","piece","line"
"0","yoshikawa","zoku_soku_bodai.txt","俗即菩提"
"1","yoshikawa","zoku_soku_bodai.txt","吉川英治"
"2","yoshikawa","zoku_soku_bodai.txt",""
"3","yoshikawa","zoku_soku_bodai.txt","みんな金を持って、金を捨てにゆく群衆が、どうして皆あんなに愉快そうな顔を揃えてゆくだろうか。"
"4","yoshikawa","zoku_soku_bodai.txt","時にふと、あの朝の夥しい足なみを、ふしぎに眺めることがある。"
"5","yoshikawa","zoku_soku_bodai.txt",""
"6","yoshikawa","zoku_soku_bodai.txt","競馬は、人間のひとつの強い欲望を、済度する不可思議な力をもっている。"
"7","yoshikawa","zoku_soku_bodai.txt",""
"8","yoshikawa","zoku_soku_bodai.txt","競馬場に集まるほどの者は、もとより君子賢人ではない。"
"9","yoshikawa","zoku_soku_bodai.txt","利慾にも旺盛なら、金銭にも一ばい貪慾であるべきはずのように思われている。"
"10","yoshikawa","zoku_soku_bodai.txt","事実、見るからに、紙幣の洪水の中で、血眼な顔が無数である。"
"11","yoshikawa","zoku_soku_bodai.txt",""
"12","yoshikawa","zoku_soku_bodai.txt","だが、自分の知っている範囲や、バスの中で一しょになる人たちを見てもその朝の他愛なさといったら、事競馬に関するかぎり、誰も彼も、まるで子どもみたいな稚気に返っている。"
"13","yoshikawa","zoku_soku_bodai.txt","どんな強慾でも抜け目ない男といわれる者でも、例外なく、少年時代の遠足気分をそのまま持って出かけてゆく。"
"14","yoshikawa","zoku_soku_bodai.txt",""
"15","yoshikawa","zoku_soku_bodai.txt","また、競馬場の中では、案外、スリや強奪が少ない。"
"16","yoshikawa","zoku_soku_bodai.txt","国電などの場合と比較したら、予想外に、そんな被害はない。"
"17","yoshikawa","zoku_soku_bodai.txt","おもうに、スリも、あの他愛なきるつぼに立ち交じっては、ただ単に、人のポケットの物を、自分の懐中へ移転させるだけでは、彼のほんとうの欲望が満足できなくなるにちがいない。"
"18","yoshikawa","zoku_soku_bodai.txt","スリも、馬券を買って、的中した歓喜を穴場で味わいたくなるのだ。"
"19","yoshikawa","zoku_soku_bodai.txt","私はそう思う。"
"20","yoshikawa","zoku_soku_bodai.txt",""
"21","yoshikawa","zoku_soku_bodai.txt","競馬の真味を知らない人が、あの混雑と血眼だけを冷眼視して、もしそれを、浅ましい俗のすがたというならば、そういう人自身のうちに、つつまれているものこそ、もっと浅ましい、俗の俗なるものである。"
"22","yoshikawa","zoku_soku_bodai.txt",""
"23","yoshikawa","zoku_soku_bodai.txt",""
"24","yoshikawa","zoku_soku_bodai.txt",""
"25","yoshikawa","zoku_soku_bodai.txt",""
"26","yoshikawa","zoku_soku_bodai.txt","底本：「日本の名随筆別巻80競馬」作品社"
"27","yoshikawa","zoku_soku_bodai.txt","1997（平成9）年10月25日第1刷発行"
"28","yoshikawa","zoku_soku_bodai.txt","底本の親本：「吉川英治全集・47草思堂随筆」講談社"
"29","yoshikawa","zoku_soku_bodai.txt","1970（昭和45）年6月20日"
"30","yoshikawa","zoku_soku_bodai.txt","入力：門田裕志"
"31","yoshikawa","zoku_soku_bodai.txt","校正：川山隆"
"32","yoshikawa","zoku_soku_bodai.txt","2013年5月4日作成"
"33","yoshikawa","zoku_soku_bodai.txt","青空文庫作成ファイル："
"34","yoshikawa","zoku_soku_bodai.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"35","yoshikawa","zoku_soku_bodai.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"36","yoshikawa","zoku_soku_bodai.txt",""
